model,auc_roc,brier,log_loss,classification_threshold,precision,recall,f1,mean_predicted_prob,empirical_diverge_rate
Logistic Regression,0.7351819972747546,0.06844533532506505,0.26350311052457887,0.11,0.21443568064461216,0.47993395986791976,0.29642703063105463,0.0700770677298377,0.07753510447643618
Random Forest,0.6644263984994665,0.06987631431502732,0.2697376516898067,0.09999999999999999,0.16554003304791948,0.27990855981711965,0.20804228808759676,0.07119021243824225,0.07753510447643618
LightGBM,0.6247269331857195,0.07086022895516747,0.344267201287802,0.09999999999999999,0.11677037486720292,0.48856997713995426,0.18849065386217204,0.06992123289052361,0.07753510447643618
