threshold,trades,mean_proxy_return,total_proxy_return,diverge_rate
0.01,9100,0.011254835164835183,102.41900000000017,0.04263736263736264
0.014915254237288136,10446,0.01208472142446871,126.23700000000015,0.04192992533026996
0.01983050847457627,11653,0.014332875654337957,167.0210000000002,0.040332961469149574
0.024745762711864405,12552,0.015535930528999372,195.00700000000012,0.03935627788400255
0.02966101694915254,13136,0.016193590133982957,212.7190000000001,0.03882460414129111
0.034576271186440674,14305,0.017265990912268447,246.99000000000012,0.038028661307235236
0.039491525423728815,14428,0.01733407263654007,250.09600000000012,0.03791239257000277
0.04440677966101695,15465,0.01850966698997738,286.2520000000002,0.03698674426123505
0.049322033898305084,15586,0.018445848838701408,287.4970000000001,0.03702040292570255
0.05423728813559322,16934,0.019029703554978163,322.2490000000002,0.036376520609424826
0.05915254237288135,19545,0.018709132770529564,365.6700000000003,0.03642875415707342
0.06406779661016948,20663,0.018928180806272094,391.1130000000003,0.03619997096259014
0.06898305084745762,20665,0.01893399467699009,391.27100000000024,0.03619646745705299
0.07389830508474575,23551,0.01920699757972062,452.3440000000003,0.035879580484905096
0.07881355932203389,31417,0.015513989241493475,487.40300000000053,0.03937358754814273
0.08372881355932202,31417,0.015513989241493475,487.40300000000053,0.03937358754814273
0.08864406779661016,31418,0.015515086892863976,487.45300000000043,0.03937233433063849
0.0935593220338983,42440,0.008727073515551381,370.37700000000063,0.046017907634307256
0.09847457627118643,55368,0.0027442566103164454,151.94400000000095,0.053063141164571594
0.10338983050847457,58999,-0.0014885506534008835,-87.82299999999873,0.057441651553416156
0.1083050847457627,58999,-0.0014885506534008835,-87.82299999999873,0.057441651553416156
0.11322033898305084,59682,-0.0027815589289902974,-166.00899999999893,0.05876143560872625
0.11813559322033897,61812,-0.00612782307642527,-378.7729999999988,0.06220474988675338
0.12305084745762711,63873,-0.010079251013730356,-643.791999999999,0.06627213376544079
0.12796610169491526,72724,-0.025924756614047605,-1885.351999999998,0.08298498432429459
0.13288135593220338,74790,-0.03161406605161116,-2364.415999999999,0.08900922583233052
0.13779661016949152,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.14271186440677966,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.1476271186440678,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.15254237288135594,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.15745762711864406,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.1623728813559322,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.16728813559322034,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.17220338983050848,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.17711864406779662,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.18203389830508473,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.18694915254237288,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.19186440677966102,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.19677966101694916,75645,-0.0344592240068742,-2606.6679999999988,0.09208804283164783
0.20169491525423727,75697,-0.03459883482832872,-2619.027999999999,0.09227578371665984
0.20661016949152541,75697,-0.03459883482832872,-2619.027999999999,0.09227578371665984
0.21152542372881356,75697,-0.03459883482832872,-2619.027999999999,0.09227578371665984
0.2164406779661017,75697,-0.03459883482832872,-2619.027999999999,0.09227578371665984
0.22135593220338984,75697,-0.03459883482832872,-2619.027999999999,0.09227578371665984
0.22627118644067795,76095,-0.035716485971483,-2717.8459999999986,0.09373809054471384
0.2311864406779661,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.23610169491525423,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.24101694915254238,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.24593220338983052,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.25084745762711863,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.25576271186440674,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.2606779661016949,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.265593220338983,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.2705084745762712,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.2754237288135593,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.2803389830508474,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.2852542372881356,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.2901694915254237,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.2950847457627119,76096,-0.03572915790580317,-2718.845999999998,0.09375
0.3,76096,-0.03572915790580317,-2718.845999999998,0.09375
