ticker,close_time_utc,close_date_utc,close_time_et,close_date_et,close_hour_et,close_hour_bucket_et,horizon_seconds,selected_timestamp_utc,selected_remaining_seconds,horizon_abs_error_seconds,yes_mid,more_likely_side,more_likely_mid,cost,price_bin,official_outcome,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,resolved,success,gross_pnl
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,60,2026-06-01T03:59:01.132000Z,58.868,1.132,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,120,2026-06-01T03:58:01.019000Z,118.981,1.019,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,180,2026-06-01T03:57:00.906000Z,179.094,0.906,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,240,2026-06-01T03:56:00.788000Z,239.212,0.788,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,300,2026-06-01T03:55:00.676000Z,299.324,0.676,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,360,2026-06-01T03:54:00.563000Z,359.437,0.563,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,420,2026-06-01T03:53:00.449000Z,419.551,0.449,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,480,2026-06-01T03:52:00.331000Z,479.669,0.331,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,540,2026-06-01T03:51:00.212000Z,539.788,0.212,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
KXHYPE15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,600,2026-06-01T03:50:00.024000Z,599.976,0.024,0.850500,YES,0.850500,0.851000,0.80-0.90,YES,yes,finalized,2026-06-01T04:00:10.616311Z,1.0000,73.2825,72.7641,1,1,0.149000
