scope,horizon_seconds,price_range,band_low,band_high,band_width,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,minus_log10_p_value,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
0.50-1.00,285,0.70-0.90,0.70,0.90,0.20,54,185,0.291892,44,10,0.814815,0.827407,-0.012593,-0.680000,-0.003676,0.677225915995,0.169266,26,5,0.192308,-0.009934,0,0.000000,0
0.50-1.00,285,0.70-0.95,0.70,0.95,0.25,88,185,0.475676,75,13,0.852273,0.865511,-0.013239,-1.165000,-0.006297,0.710716400792,0.148304,26,1,0.038462,-0.013953,0,0.000000,0
0.50-1.00,285,0.70-1.00,0.70,1.00,0.30,164,185,0.886486,149,15,0.908537,0.918646,-0.010110,-1.658000,-0.008962,0.74591477227,0.127311,17,0,0.000000,-0.015812,0,0.000000,0
0.50-1.00,285,0.75-0.80,0.75,0.80,0.05,14,185,0.075676,11,3,0.785714,0.786429,-0.000714,-0.010000,-0.000054,0.65087139411,0.186505,8,3,0.375000,-0.004486,0,0.000000,0
0.50-1.00,285,0.75-0.85,0.75,0.85,0.10,30,185,0.162162,24,6,0.800000,0.811333,-0.011333,-0.340000,-0.001838,0.667537663523,0.175524,16,3,0.187500,-0.006625,0,0.000000,0
0.50-1.00,285,0.75-0.90,0.75,0.90,0.15,49,185,0.264865,39,10,0.795918,0.838571,-0.042653,-2.090000,-0.011297,0.844694208955,0.073300,23,3,0.130435,-0.008344,0,0.000000,0
0.50-1.00,285,0.75-0.95,0.75,0.95,0.20,83,185,0.448649,70,13,0.843373,0.874398,-0.031024,-2.575000,-0.013919,0.849116871003,0.071033,26,0,0.000000,-0.011427,0,0.000000,0
0.50-1.00,285,0.75-1.00,0.75,1.00,0.25,159,185,0.859459,144,15,0.905660,0.924956,-0.019296,-3.068000,-0.016584,0.865331045749,0.062818,17,0,0.000000,-0.013087,0,0.000000,0
0.50-1.00,285,0.80-0.85,0.80,0.85,0.05,16,185,0.086486,13,3,0.812500,0.833125,-0.020625,-0.330000,-0.001784,0.728406081364,0.137626,10,2,0.200000,-0.006595,0,0.000000,0
0.50-1.00,285,0.80-0.90,0.80,0.90,0.10,35,185,0.189189,28,7,0.800000,0.859429,-0.059429,-2.080000,-0.011243,0.891900812351,0.049683,18,2,0.111111,-0.008719,0,0.000000,0
0.50-1.00,285,0.80-0.95,0.80,0.95,0.15,69,185,0.372973,59,10,0.855072,0.892246,-0.037174,-2.565000,-0.013865,0.882134469268,0.054465,24,1,0.041667,-0.010921,0,0.000000,0
0.50-1.00,285,0.80-1.00,0.80,1.00,0.20,145,185,0.783784,133,12,0.917241,0.938331,-0.021090,-3.058000,-0.016530,0.892433522879,0.049424,17,0,0.000000,-0.012473,0,0.000000,0
0.50-1.00,285,0.85-0.90,0.85,0.90,0.05,19,185,0.102703,15,4,0.789474,0.881579,-0.092105,-1.750000,-0.009459,0.934799235971,0.029282,13,1,0.076923,-0.006224,0,0.000000,0
0.50-1.00,285,0.85-0.95,0.85,0.95,0.10,53,185,0.286486,46,7,0.867925,0.910094,-0.042170,-2.235000,-0.012081,0.900959984627,0.045294,21,1,0.047619,-0.007658,0,0.000000,0
0.50-1.00,285,0.85-1.00,0.85,1.00,0.15,129,185,0.697297,120,9,0.930233,0.951380,-0.021147,-2.728000,-0.014746,0.905165989608,0.043272,17,0,0.000000,-0.008535,0,0.000000,0
0.50-1.00,285,0.90-0.95,0.90,0.95,0.05,34,185,0.183784,31,3,0.911765,0.926029,-0.014265,-0.485000,-0.002622,0.758791344133,0.119878,15,2,0.133333,-0.006467,0,0.000000,0
0.50-1.00,285,0.90-1.00,0.90,1.00,0.10,110,185,0.594595,105,5,0.954545,0.963436,-0.008891,-0.978000,-0.005286,0.786552111761,0.104272,14,1,0.071429,-0.006988,0,0.000000,0
0.50-1.00,285,0.95-1.00,0.95,1.00,0.05,76,185,0.410811,74,2,0.973684,0.980171,-0.006487,-0.493000,-0.002665,0.808998619963,0.092052,8,1,0.125000,-0.004636,0,0.000000,0
0.50-1.00,300,0.50-0.55,0.50,0.55,0.05,2,185,0.010811,1,1,0.500000,0.535000,-0.035000,-0.070000,-0.000378,0.784,0.105684,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,300,0.50-0.60,0.50,0.60,0.10,7,185,0.037838,2,5,0.285714,0.568571,-0.282857,-1.980000,-0.010703,0.97177202176,0.012436,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,300,0.50-0.65,0.50,0.65,0.15,14,185,0.075676,7,7,0.500000,0.597143,-0.097143,-1.360000,-0.007351,0.845249578778,0.073015,4,0,0.000000,-0.011554,0,0.000000,0
0.50-1.00,300,0.50-0.70,0.50,0.70,0.20,21,185,0.113514,11,10,0.523810,0.626667,-0.102857,-2.160000,-0.011676,0.885232799704,0.052943,9,1,0.111111,-0.012162,0,0.000000,0
0.50-1.00,300,0.50-0.75,0.50,0.75,0.25,30,185,0.162162,18,12,0.600000,0.658333,-0.058333,-1.750000,-0.009459,0.810375013427,0.091314,15,2,0.133333,-0.014256,0,0.000000,0
0.50-1.00,300,0.50-0.80,0.50,0.80,0.30,41,185,0.221622,24,17,0.585366,0.691707,-0.106341,-4.360000,-0.023568,0.949528641532,0.022492,17,2,0.117647,-0.015854,0,0.000000,0
0.50-1.00,300,0.50-0.85,0.50,0.85,0.35,59,185,0.318919,38,21,0.644068,0.734576,-0.090508,-5.340000,-0.028865,0.957745589293,0.018750,17,1,0.058824,-0.018408,0,0.000000,0
0.50-1.00,300,0.50-0.90,0.50,0.90,0.40,82,185,0.443243,59,23,0.719512,0.776780,-0.057268,-4.696000,-0.025384,0.919899414518,0.036260,17,0,0.000000,-0.021872,0,0.000000,0
0.50-1.00,300,0.50-0.95,0.50,0.95,0.45,119,185,0.643243,92,27,0.773109,0.824042,-0.050933,-6.061000,-0.032762,0.947296110554,0.023514,17,0,0.000000,-0.023864,0,0.000000,0
0.50-1.00,300,0.50-1.00,0.50,1.00,0.50,185,185,1.000000,157,28,0.848649,0.879968,-0.031319,-5.794000,-0.031319,0.933262689449,0.029996,11,0,0.000000,-0.025772,0,0.000000,0
0.50-1.00,300,0.55-0.60,0.55,0.60,0.05,5,185,0.027027,1,4,0.200000,0.582000,-0.382000,-1.910000,-0.010324,0.98729984,0.005551,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,300,0.55-0.65,0.55,0.65,0.10,12,185,0.064865,6,6,0.500000,0.607500,-0.107500,-1.290000,-0.006973,0.855095552407,0.067985,4,0,0.000000,-0.011554,0,0.000000,0
0.50-1.00,300,0.55-0.70,0.55,0.70,0.15,19,185,0.102703,10,9,0.526316,0.636316,-0.110000,-2.090000,-0.011297,0.89120692179,0.050021,12,2,0.166667,-0.011590,0,0.000000,0
0.50-1.00,300,0.55-0.75,0.55,0.75,0.20,28,185,0.151351,17,11,0.607143,0.667143,-0.060000,-1.680000,-0.009081,0.812210967432,0.090331,20,3,0.150000,-0.013551,0,0.000000,0
0.50-1.00,300,0.55-0.80,0.55,0.80,0.25,39,185,0.210811,23,16,0.589744,0.699744,-0.110000,-4.290000,-0.023189,0.951835441103,0.021438,25,3,0.120000,-0.014899,0,0.000000,0
0.50-1.00,300,0.55-0.85,0.55,0.85,0.30,57,185,0.308108,37,20,0.649123,0.741579,-0.092456,-5.270000,-0.028486,0.959180097617,0.018100,26,1,0.038462,-0.017214,0,0.000000,0
0.50-1.00,300,0.55-0.90,0.55,0.90,0.35,80,185,0.432432,58,22,0.725000,0.782825,-0.057825,-4.626000,-0.025005,0.920841549577,0.035815,26,0,0.000000,-0.020545,0,0.000000,0
0.50-1.00,300,0.55-0.95,0.55,0.95,0.40,117,185,0.632432,91,26,0.777778,0.828983,-0.051205,-5.991000,-0.032384,0.948020768354,0.023182,26,0,0.000000,-0.022640,0,0.000000,0
0.50-1.00,300,0.55-1.00,0.55,1.00,0.45,183,185,0.989189,156,27,0.852459,0.883738,-0.031279,-5.724000,-0.030941,0.933804931783,0.029744,17,0,0.000000,-0.024520,0,0.000000,0
0.50-1.00,300,0.60-0.65,0.60,0.65,0.05,7,185,0.037838,5,2,0.714286,0.625714,0.088571,0.620000,0.003351,0.476912186831,0.321562,1,0,0.000000,-0.014757,0,0.000000,0
0.50-1.00,300,0.60-0.70,0.60,0.70,0.10,14,185,0.075676,9,5,0.642857,0.655714,-0.012857,-0.180000,-0.000973,0.657931429521,0.181819,7,1,0.142857,-0.012911,0,0.000000,0
0.50-1.00,300,0.60-0.75,0.60,0.75,0.15,23,185,0.124324,16,7,0.695652,0.685652,0.010000,0.230000,0.001243,0.559192536731,0.252439,15,0,0.000000,-0.015034,1,0.001243,0
0.50-1.00,300,0.60-0.80,0.60,0.80,0.20,34,185,0.183784,22,12,0.647059,0.717059,-0.070000,-2.380000,-0.012865,0.864916304751,0.063026,23,1,0.043478,-0.015274,0,0.000000,0
0.50-1.00,300,0.60-0.85,0.60,0.85,0.25,52,185,0.281081,36,16,0.692308,0.756923,-0.064615,-3.360000,-0.018162,0.895166567514,0.048096,26,0,0.000000,-0.016787,0,0.000000,0
0.50-1.00,300,0.60-0.90,0.60,0.90,0.30,75,185,0.405405,57,18,0.760000,0.796213,-0.036213,-2.716000,-0.014681,0.828257239602,0.081835,26,0,0.000000,-0.020118,0,0.000000,0
0.50-1.00,300,0.60-0.95,0.60,0.95,0.35,112,185,0.605405,90,22,0.803571,0.840009,-0.036438,-4.081000,-0.022059,0.88716312618,0.051997,26,0,0.000000,-0.022214,0,0.000000,0
0.50-1.00,300,0.60-1.00,0.60,1.00,0.40,178,185,0.962162,155,23,0.870787,0.892213,-0.021427,-3.814000,-0.020616,0.864194894255,0.063388,17,0,0.000000,-0.024288,0,0.000000,0
0.50-1.00,300,0.65-0.70,0.65,0.70,0.05,7,185,0.037838,4,3,0.571429,0.685714,-0.114286,-0.800000,-0.004324,0.8548094528,0.068131,3,1,0.333333,-0.011586,0,0.000000,0
0.50-1.00,300,0.65-0.75,0.65,0.75,0.10,16,185,0.086486,11,5,0.687500,0.711875,-0.024375,-0.390000,-0.002108,0.698578418661,0.155785,11,1,0.090909,-0.012541,0,0.000000,0
0.50-1.00,300,0.65-0.80,0.65,0.80,0.15,27,185,0.145946,17,10,0.629630,0.740741,-0.111111,-3.000000,-0.016216,0.934317330278,0.029506,19,2,0.105263,-0.012532,0,0.000000,0
0.50-1.00,300,0.65-0.85,0.65,0.85,0.20,45,185,0.243243,31,14,0.688889,0.777333,-0.088444,-3.980000,-0.021514,0.94288519827,0.025541,25,1,0.040000,-0.013035,0,0.000000,0
0.50-1.00,300,0.65-0.90,0.65,0.90,0.25,68,185,0.367568,52,16,0.764706,0.813765,-0.049059,-3.336000,-0.018032,0.885505820279,0.052809,26,1,0.038462,-0.015574,0,0.000000,0
0.50-1.00,300,0.65-0.95,0.65,0.95,0.30,105,185,0.567568,85,20,0.809524,0.854295,-0.044771,-4.701000,-0.025411,0.926008975785,0.033385,26,0,0.000000,-0.017669,0,0.000000,0
0.50-1.00,300,0.65-1.00,0.65,1.00,0.35,171,185,0.924324,150,21,0.877193,0.903123,-0.025930,-4.434000,-0.023968,0.905951531837,0.042895,17,0,0.000000,-0.019588,0,0.000000,0
0.50-1.00,300,0.70-0.75,0.70,0.75,0.05,9,185,0.048649,7,2,0.777778,0.732222,0.045556,0.410000,0.002216,0.550933363584,0.258901,6,0,0.000000,-0.013522,0,0.000000,0
0.50-1.00,300,0.70-0.80,0.70,0.80,0.10,20,185,0.108108,13,7,0.650000,0.760000,-0.110000,-2.200000,-0.011892,0.917010574839,0.037626,14,2,0.142857,-0.011456,0,0.000000,0
0.50-1.00,300,0.70-0.85,0.70,0.85,0.15,38,185,0.205405,27,11,0.710526,0.794211,-0.083684,-3.180000,-0.017189,0.926455314004,0.033176,22,3,0.136364,-0.010948,0,0.000000,0
0.50-1.00,300,0.70-0.90,0.70,0.90,0.20,61,185,0.329730,48,13,0.786885,0.828459,-0.041574,-2.536000,-0.013708,0.851314114013,0.069910,26,3,0.115385,-0.012827,0,0.000000,0
0.50-1.00,300,0.70-0.95,0.70,0.95,0.25,98,185,0.529730,81,17,0.826531,0.866337,-0.039806,-3.901000,-0.021086,0.905116046403,0.043296,26,1,0.038462,-0.014922,0,0.000000,0
0.50-1.00,300,0.70-1.00,0.70,1.00,0.30,164,185,0.886486,146,18,0.890244,0.912402,-0.022159,-3.634000,-0.019643,0.880190876715,0.055423,17,0,0.000000,-0.016873,0,0.000000,0
0.50-1.00,300,0.75-0.80,0.75,0.80,0.05,11,185,0.059459,6,5,0.545455,0.782727,-0.237273,-2.610000,-0.014108,0.982534966239,0.007652,8,2,0.250000,-0.008432,0,0.000000,0
0.50-1.00,300,0.75-0.85,0.75,0.85,0.10,29,185,0.156757,20,9,0.689655,0.813448,-0.123793,-3.590000,-0.019405,0.968283905381,0.013997,16,4,0.250000,-0.006881,0,0.000000,0
0.50-1.00,300,0.75-0.90,0.75,0.90,0.15,52,185,0.281081,41,11,0.788462,0.845115,-0.056654,-2.946000,-0.015924,0.904105781195,0.043781,23,4,0.173913,-0.008816,0,0.000000,0
0.50-1.00,300,0.75-0.95,0.75,0.95,0.20,89,185,0.481081,74,15,0.831461,0.879899,-0.048438,-4.311000,-0.023303,0.938540220246,0.027547,26,2,0.076923,-0.010159,0,0.000000,0
0.50-1.00,300,0.75-1.00,0.75,1.00,0.25,155,185,0.837838,139,16,0.896774,0.922865,-0.026090,-4.044000,-0.021859,0.91621072637,0.038005,17,0,0.000000,-0.011973,0,0.000000,0
0.50-1.00,300,0.80-0.85,0.80,0.85,0.05,18,185,0.097297,14,4,0.777778,0.832222,-0.054444,-0.980000,-0.005297,0.828467110194,0.081725,11,5,0.454545,-0.004544,0,0.000000,0
0.50-1.00,300,0.80-0.90,0.80,0.90,0.10,41,185,0.221622,35,6,0.853659,0.861854,-0.008195,-0.336000,-0.001816,0.664835567512,0.177286,19,5,0.263158,-0.007263,0,0.000000,0
0.50-1.00,300,0.80-0.95,0.80,0.95,0.15,78,185,0.421622,68,10,0.871795,0.893603,-0.021808,-1.701000,-0.009195,0.797425818235,0.098310,25,4,0.160000,-0.007976,0,0.000000,0
0.50-1.00,300,0.80-1.00,0.80,1.00,0.20,144,185,0.778378,133,11,0.923611,0.933569,-0.009958,-1.434000,-0.007751,0.754326417979,0.122441,17,0,0.000000,-0.010081,0,0.000000,0
0.50-1.00,300,0.85-0.90,0.85,0.90,0.05,23,185,0.124324,21,2,0.913043,0.885043,0.028000,0.644000,0.003481,0.497577694298,0.303139,13,2,0.153846,-0.005696,847,0.014431,0
0.50-1.00,300,0.85-0.95,0.85,0.95,0.10,60,185,0.324324,54,6,0.900000,0.912017,-0.012017,-0.721000,-0.003897,0.726206677048,0.138940,22,3,0.136364,-0.005983,0,0.000000,0
0.50-1.00,300,0.85-1.00,0.85,1.00,0.15,126,185,0.681081,119,7,0.944444,0.948048,-0.003603,-0.454000,-0.002454,0.669099063,0.174510,17,0,0.000000,-0.007527,0,0.000000,0
0.50-1.00,300,0.90-0.95,0.90,0.95,0.05,37,185,0.200000,33,4,0.891892,0.928784,-0.036892,-1.365000,-0.007378,0.880222338909,0.055408,16,4,0.250000,-0.003874,0,0.000000,0
0.50-1.00,300,0.90-1.00,0.90,1.00,0.10,103,185,0.556757,98,5,0.951456,0.962117,-0.010660,-1.098000,-0.005935,0.805483814134,0.093943,14,2,0.142857,-0.004934,0,0.000000,0
0.50-1.00,300,0.95-1.00,0.95,1.00,0.05,66,185,0.356757,65,1,0.984848,0.980803,0.004045,0.267000,0.001443,0.637305188071,0.195653,8,1,0.125000,-0.004380,3,0.001230,0
0.50-1.00,315,0.50-0.55,0.50,0.55,0.05,3,185,0.016216,2,1,0.666667,0.530000,0.136667,0.410000,0.002216,0.544968,0.263629,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,315,0.50-0.60,0.50,0.60,0.10,9,185,0.048649,4,5,0.444444,0.563333,-0.118889,-1.070000,-0.005784,0.854407384301,0.068335,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,315,0.50-0.65,0.50,0.65,0.15,16,185,0.086486,8,8,0.500000,0.594375,-0.094375,-1.510000,-0.008162,0.847749766875,0.071732,5,0,0.000000,-0.011643,0,0.000000,0
0.50-1.00,315,0.50-0.70,0.50,0.70,0.20,26,185,0.140541,14,12,0.538462,0.627692,-0.089231,-2.320000,-0.012541,0.874458005821,0.058261,10,0,0.000000,-0.012670,0,0.000000,0
0.50-1.00,315,0.50-0.75,0.50,0.75,0.25,36,185,0.194595,19,17,0.527778,0.656111,-0.128333,-4.620000,-0.024973,0.962867534056,0.016433,16,0,0.000000,-0.015444,0,0.000000,0
0.50-1.00,315,0.50-0.80,0.50,0.80,0.30,46,185,0.248649,27,19,0.586957,0.685217,-0.098261,-4.520000,-0.024432,0.944623818986,0.024741,17,0,0.000000,-0.018282,0,0.000000,0
0.50-1.00,315,0.50-0.85,0.50,0.85,0.35,64,185,0.345946,42,22,0.656250,0.726406,-0.070156,-4.490000,-0.024270,0.921536531376,0.035487,17,0,0.000000,-0.020085,0,0.000000,0
0.50-1.00,315,0.50-0.90,0.50,0.90,0.40,85,185,0.459459,61,24,0.717647,0.765765,-0.048118,-4.090000,-0.022108,0.886432035286,0.052355,17,0,0.000000,-0.021247,0,0.000000,0
0.50-1.00,315,0.50-0.95,0.50,0.95,0.45,124,185,0.670270,96,28,0.774194,0.817581,-0.043387,-5.380000,-0.029081,0.921735352595,0.035394,17,0,0.000000,-0.022112,0,0.000000,0
0.50-1.00,315,0.50-1.00,0.50,1.00,0.50,185,185,1.000000,156,29,0.843243,0.870930,-0.027686,-5.122000,-0.027686,0.905192288835,0.043259,11,0,0.000000,-0.024162,0,0.000000,0
0.50-1.00,315,0.55-0.60,0.55,0.60,0.05,6,185,0.032432,2,4,0.333333,0.580000,-0.246667,-1.480000,-0.008000,0.94907233216,0.022701,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,315,0.55-0.65,0.55,0.65,0.10,13,185,0.070270,6,7,0.461538,0.609231,-0.147692,-1.920000,-0.010378,0.914352697025,0.038886,5,0,0.000000,-0.011643,0,0.000000,0
0.50-1.00,315,0.55-0.70,0.55,0.70,0.15,23,185,0.124324,12,11,0.521739,0.640435,-0.118696,-2.730000,-0.014757,0.918614555809,0.036867,13,2,0.153846,-0.010601,0,0.000000,0
0.50-1.00,315,0.55-0.75,0.55,0.75,0.20,33,185,0.178378,17,16,0.515152,0.667576,-0.152424,-5.030000,-0.027189,0.977941859003,0.009687,22,2,0.090909,-0.013520,0,0.000000,0
0.50-1.00,315,0.55-0.80,0.55,0.80,0.25,43,185,0.232432,25,18,0.581395,0.696047,-0.114651,-4.930000,-0.026649,0.962932985182,0.016404,26,3,0.115385,-0.015178,0,0.000000,0
0.50-1.00,315,0.55-0.85,0.55,0.85,0.30,61,185,0.329730,40,21,0.655738,0.736066,-0.080328,-4.900000,-0.026486,0.942123283385,0.025892,26,2,0.076923,-0.016943,0,0.000000,0
0.50-1.00,315,0.55-0.90,0.55,0.90,0.35,82,185,0.443243,59,23,0.719512,0.774390,-0.054878,-4.500000,-0.024324,0.910652647641,0.040647,26,2,0.076923,-0.018041,0,0.000000,0
0.50-1.00,315,0.55-0.95,0.55,0.95,0.40,121,185,0.654054,94,27,0.776860,0.824711,-0.047851,-5.790000,-0.031297,0.938620117139,0.027510,26,1,0.038462,-0.019023,0,0.000000,0
0.50-1.00,315,0.55-1.00,0.55,1.00,0.45,182,185,0.983784,154,28,0.846154,0.876549,-0.030396,-5.532000,-0.029903,0.923782744716,0.034430,17,0,0.000000,-0.020937,0,0.000000,0
0.50-1.00,315,0.60-0.65,0.60,0.65,0.05,7,185,0.037838,4,3,0.571429,0.634286,-0.062857,-0.440000,-0.002378,0.77354787259,0.111513,2,0,0.000000,-0.010449,0,0.000000,0
0.50-1.00,315,0.60-0.70,0.60,0.70,0.10,17,185,0.091892,10,7,0.588235,0.661765,-0.073529,-1.250000,-0.006757,0.816999791174,0.087778,10,3,0.300000,-0.007437,0,0.000000,0
0.50-1.00,315,0.60-0.75,0.60,0.75,0.15,27,185,0.145946,15,12,0.555556,0.687037,-0.131481,-3.550000,-0.019189,0.950900486076,0.021865,18,4,0.222222,-0.010471,0,0.000000,0
0.50-1.00,315,0.60-0.80,0.60,0.80,0.20,37,185,0.200000,23,14,0.621622,0.714865,-0.093243,-3.450000,-0.018649,0.923483489126,0.034571,25,6,0.240000,-0.011368,0,0.000000,0
0.50-1.00,315,0.60-0.85,0.60,0.85,0.25,55,185,0.297297,38,17,0.690909,0.753091,-0.062182,-3.420000,-0.018486,0.891246819679,0.050002,26,5,0.192308,-0.012777,0,0.000000,0
0.50-1.00,315,0.60-0.90,0.60,0.90,0.30,76,185,0.410811,57,19,0.750000,0.789737,-0.039737,-3.020000,-0.016324,0.844808354489,0.073242,26,5,0.192308,-0.013875,0,0.000000,0
0.50-1.00,315,0.60-0.95,0.60,0.95,0.35,115,185,0.621622,92,23,0.800000,0.837478,-0.037478,-4.310000,-0.023297,0.894032680813,0.048647,26,4,0.153846,-0.014857,0,0.000000,0
0.50-1.00,315,0.60-1.00,0.60,1.00,0.40,176,185,0.951351,152,24,0.863636,0.886659,-0.023023,-4.052000,-0.021903,0.872786109568,0.059092,17,2,0.117647,-0.016846,0,0.000000,0
0.50-1.00,315,0.65-0.70,0.65,0.70,0.05,10,185,0.054054,6,4,0.600000,0.681000,-0.081000,-0.810000,-0.004378,0.815409262057,0.088624,5,3,0.600000,-0.003103,0,0.000000,0
0.50-1.00,315,0.65-0.75,0.65,0.75,0.10,20,185,0.108108,11,9,0.550000,0.705500,-0.155500,-3.110000,-0.016811,0.957798242873,0.018726,13,4,0.307692,-0.007677,0,0.000000,0
0.50-1.00,315,0.65-0.80,0.65,0.80,0.15,30,185,0.162162,19,11,0.633333,0.733667,-0.100333,-3.010000,-0.016270,0.92386163129,0.034393,22,7,0.318182,-0.008375,0,0.000000,0
0.50-1.00,315,0.65-0.85,0.65,0.85,0.20,48,185,0.259459,34,14,0.708333,0.770417,-0.062083,-2.980000,-0.016108,0.884360092418,0.053371,26,7,0.269231,-0.009153,0,0.000000,0
0.50-1.00,315,0.65-0.90,0.65,0.90,0.25,69,185,0.372973,53,16,0.768116,0.805507,-0.037391,-2.580000,-0.013946,0.830826008716,0.080490,26,7,0.269231,-0.010251,0,0.000000,0
0.50-1.00,315,0.65-0.95,0.65,0.95,0.30,108,185,0.583784,88,20,0.814815,0.850648,-0.035833,-3.870000,-0.020919,0.88570569103,0.052711,26,5,0.192308,-0.011234,0,0.000000,0
0.50-1.00,315,0.65-1.00,0.65,1.00,0.35,169,185,0.913514,148,21,0.875740,0.897112,-0.021373,-3.612000,-0.019524,0.861915719428,0.064535,17,2,0.117647,-0.013198,0,0.000000,0
0.50-1.00,315,0.70-0.75,0.70,0.75,0.05,10,185,0.054054,5,5,0.500000,0.730000,-0.230000,-2.300000,-0.012432,0.971374277946,0.012613,8,2,0.250000,-0.008007,0,0.000000,0
0.50-1.00,315,0.70-0.80,0.70,0.80,0.10,20,185,0.108108,13,7,0.650000,0.760000,-0.110000,-2.200000,-0.011892,0.917174114807,0.037548,16,5,0.312500,-0.007671,0,0.000000,0
0.50-1.00,315,0.70-0.85,0.70,0.85,0.15,38,185,0.205405,28,10,0.736842,0.793947,-0.057105,-2.170000,-0.011730,0.858705853935,0.066156,23,7,0.304348,-0.007673,0,0.000000,0
0.50-1.00,315,0.70-0.90,0.70,0.90,0.20,59,185,0.318919,47,12,0.796610,0.826610,-0.030000,-1.770000,-0.009568,0.789255910973,0.102782,26,7,0.269231,-0.008882,0,0.000000,0
0.50-1.00,315,0.70-0.95,0.70,0.95,0.25,98,185,0.529730,82,16,0.836735,0.867959,-0.031224,-3.060000,-0.016541,0.860171348417,0.065415,26,5,0.192308,-0.009864,0,0.000000,0
0.50-1.00,315,0.70-1.00,0.70,1.00,0.30,159,185,0.859459,142,17,0.893082,0.910704,-0.017623,-2.802000,-0.015146,0.830940930855,0.080430,17,2,0.117647,-0.011888,0,0.000000,0
0.50-1.00,315,0.75-0.80,0.75,0.80,0.05,10,185,0.054054,8,2,0.800000,0.790000,0.010000,0.100000,0.000541,0.647458975049,0.188788,9,2,0.222222,-0.008640,0,0.000000,0
0.50-1.00,315,0.75-0.85,0.75,0.85,0.10,28,185,0.151351,23,5,0.821429,0.816786,0.004643,0.130000,0.000703,0.591343182844,0.228160,17,5,0.294118,-0.006120,847,0.014431,0
0.50-1.00,315,0.75-0.90,0.75,0.90,0.15,49,185,0.264865,42,7,0.857143,0.846327,0.010816,0.530000,0.002865,0.513466619532,0.289488,23,6,0.260870,-0.006891,847,0.014431,0
0.50-1.00,315,0.75-0.95,0.75,0.95,0.20,88,185,0.475676,77,11,0.875000,0.883636,-0.008636,-0.760000,-0.004108,0.67644285678,0.169769,26,6,0.230769,-0.006857,0,0.000000,0
0.50-1.00,315,0.75-1.00,0.75,1.00,0.25,149,185,0.805405,137,12,0.919463,0.922832,-0.003369,-0.502000,-0.002714,0.637542120846,0.195491,17,2,0.117647,-0.009066,0,0.000000,0
0.50-1.00,315,0.80-0.85,0.80,0.85,0.05,18,185,0.097297,15,3,0.833333,0.831667,0.001667,0.030000,0.000162,0.640521823894,0.193466,12,6,0.500000,-0.001651,0,0.000000,0
0.50-1.00,315,0.80-0.90,0.80,0.90,0.10,39,185,0.210811,34,5,0.871795,0.860769,0.011026,0.430000,0.002324,0.535277966399,0.271421,20,6,0.300000,-0.004008,847,0.014431,0
0.50-1.00,315,0.80-0.95,0.80,0.95,0.15,78,185,0.421622,69,9,0.884615,0.895641,-0.011026,-0.860000,-0.004649,0.706638149302,0.150803,26,7,0.269231,-0.003845,0,0.000000,0
0.50-1.00,315,0.80-1.00,0.80,1.00,0.20,139,185,0.751351,129,10,0.928058,0.932388,-0.004331,-0.602000,-0.003254,0.662551944804,0.178780,17,2,0.117647,-0.005983,0,0.000000,0
0.50-1.00,315,0.85-0.90,0.85,0.90,0.05,21,185,0.113514,19,2,0.904762,0.885714,0.019048,0.400000,0.002162,0.563399272504,0.249184,14,4,0.285714,-0.002096,847,0.014431,0
0.50-1.00,315,0.85-0.95,0.85,0.95,0.10,60,185,0.324324,54,6,0.900000,0.914833,-0.014833,-0.890000,-0.004811,0.752713812344,0.123370,23,6,0.260870,-0.002351,0,0.000000,0
0.50-1.00,315,0.85-1.00,0.85,1.00,0.15,121,185,0.654054,114,7,0.942149,0.947372,-0.005223,-0.632000,-0.003416,0.695998202732,0.157392,17,2,0.117647,-0.004181,0,0.000000,0
0.50-1.00,315,0.90-0.95,0.90,0.95,0.05,39,185,0.210811,35,4,0.897436,0.930513,-0.033077,-1.290000,-0.006973,0.868865020432,0.061048,17,5,0.294118,-0.002647,0,0.000000,0
0.50-1.00,315,0.90-1.00,0.90,1.00,0.10,100,185,0.540541,95,5,0.950000,0.960320,-0.010320,-1.032000,-0.005578,0.795076410239,0.099591,14,3,0.214286,-0.003666,0,0.000000,0
0.50-1.00,315,0.95-1.00,0.95,1.00,0.05,61,185,0.329730,60,1,0.983607,0.979377,0.004230,0.258000,0.001395,0.640491340204,0.193487,8,2,0.250000,-0.004117,3,0.001230,0
0.50-1.00,330,0.50-0.55,0.50,0.55,0.05,8,184,0.043478,3,5,0.375000,0.535000,-0.160000,-1.280000,-0.006957,0.896820153591,0.047295,0,0,0.000000,0.000000,0,0.000000,0
