scope,horizon_seconds,price_range,band_low,band_high,band_width,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,minus_log10_p_value,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
0.50-1.00,120,0.55-0.60,0.55,0.60,0.05,2,178,0.011236,0,2,0.000000,0.585000,-0.585000,-1.170000,-0.006573,1,-0.000000,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.55-0.65,0.55,0.65,0.10,3,178,0.016854,1,2,0.333333,0.596667,-0.263333,-0.790000,-0.004438,0.93464,0.029356,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.55-0.70,0.55,0.70,0.15,5,178,0.028090,2,3,0.400000,0.630000,-0.230000,-1.150000,-0.006461,0.935053892,0.029163,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.55-0.75,0.55,0.75,0.20,9,178,0.050562,4,5,0.444444,0.678889,-0.234444,-2.110000,-0.011854,0.966178586293,0.014943,2,0,0.000000,-0.012122,0,0.000000,0
0.50-1.00,120,0.55-0.80,0.55,0.80,0.25,15,178,0.084270,7,8,0.466667,0.719333,-0.252667,-3.790000,-0.021292,0.991222415274,0.003829,9,0,0.000000,-0.011677,0,0.000000,0
0.50-1.00,120,0.55-0.85,0.55,0.85,0.30,23,178,0.129213,14,9,0.608696,0.756957,-0.148261,-3.410000,-0.019157,0.96836909302,0.013959,17,1,0.058824,-0.009892,0,0.000000,0
0.50-1.00,120,0.55-0.90,0.55,0.90,0.35,26,178,0.146067,17,9,0.653846,0.770000,-0.116154,-3.020000,-0.016966,0.947485736471,0.023427,24,1,0.041667,-0.009498,0,0.000000,0
0.50-1.00,120,0.55-0.95,0.55,0.95,0.40,41,178,0.230337,32,9,0.780488,0.826805,-0.046317,-1.899000,-0.010669,0.847931480948,0.071639,26,2,0.076923,-0.008121,0,0.000000,0
0.50-1.00,120,0.55-1.00,0.55,1.00,0.45,172,178,0.966292,162,10,0.941860,0.951924,-0.010064,-1.731000,-0.009725,0.810597819911,0.091195,17,1,0.058824,-0.007639,0,0.000000,0
0.50-1.00,120,0.60-0.65,0.60,0.65,0.05,1,178,0.005618,1,0,1.000000,0.620000,0.380000,0.380000,0.002135,0.62,0.207608,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.60-0.70,0.60,0.70,0.10,3,178,0.016854,2,1,0.666667,0.660000,0.006667,0.020000,0.000112,0.732248,0.135342,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.60-0.75,0.60,0.75,0.15,7,178,0.039326,4,3,0.571429,0.705714,-0.134286,-0.940000,-0.005281,0.8825713575,0.054250,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.60-0.80,0.60,0.80,0.20,13,178,0.073034,7,6,0.538462,0.740000,-0.201538,-2.620000,-0.014719,0.971017786015,0.012773,6,0,0.000000,-0.010401,0,0.000000,0
