scope,horizon_seconds,price_range,band_low,band_high,band_width,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,minus_log10_p_value,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
0.50-0.80,225,0.55-0.70,0.55,0.70,0.15,16,185,0.086486,12,4,0.750000,0.628125,0.121875,1.950000,0.010541,0.229599085456,0.639030,6,5,0.833333,0.012523,0,0.000000,0
0.50-0.80,225,0.55-0.75,0.55,0.75,0.20,22,185,0.118919,17,5,0.772727,0.653636,0.119091,2.620000,0.014162,0.170092603455,0.769315,13,9,0.692308,0.006821,21,0.011585,0
0.50-0.80,225,0.55-0.80,0.55,0.80,0.25,26,185,0.140541,20,6,0.769231,0.673462,0.095769,2.490000,0.013459,0.202314120089,0.693974,12,8,0.666667,0.005993,21,0.011585,0
0.50-0.80,225,0.60-0.65,0.60,0.65,0.05,4,185,0.021622,3,1,0.750000,0.635000,0.115000,0.460000,0.002486,0.5364052,0.270507,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,225,0.60-0.70,0.60,0.70,0.10,9,185,0.048649,6,3,0.666667,0.656667,0.010000,0.090000,0.000486,0.625642802788,0.203674,2,2,1.000000,0.016320,0,0.000000,0
0.50-0.80,225,0.60-0.75,0.60,0.75,0.15,15,185,0.081081,11,4,0.733333,0.682667,0.050667,0.760000,0.004108,0.456276031969,0.340772,7,5,0.714286,0.007182,0,0.000000,0
0.50-0.80,225,0.60-0.80,0.60,0.80,0.20,19,185,0.102703,14,5,0.736842,0.703684,0.033158,0.630000,0.003405,0.487531295146,0.311998,7,5,0.714286,0.007182,0,0.000000,0
0.50-0.80,225,0.65-0.70,0.65,0.70,0.05,5,185,0.027027,3,2,0.600000,0.674000,-0.074000,-0.370000,-0.002000,0.8009263448,0.096407,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,225,0.65-0.75,0.65,0.75,0.10,11,185,0.059459,8,3,0.727273,0.700000,0.027273,0.300000,0.001622,0.569560297911,0.244460,2,1,0.500000,0.001175,0,0.000000,0
0.50-0.80,225,0.65-0.80,0.65,0.80,0.15,15,185,0.081081,11,4,0.733333,0.722000,0.011333,0.170000,0.000919,0.591574148062,0.227991,2,1,0.500000,0.001175,0,0.000000,0
0.50-0.80,225,0.70-0.75,0.70,0.75,0.05,6,185,0.032432,5,1,0.833333,0.721667,0.111667,0.670000,0.003622,0.4680523131,0.329706,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,225,0.70-0.80,0.70,0.80,0.10,10,185,0.054054,8,2,0.800000,0.746000,0.054000,0.540000,0.002919,0.513332555924,0.289601,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,225,0.75-0.80,0.75,0.80,0.05,4,185,0.021622,3,1,0.750000,0.782500,-0.032500,-0.130000,-0.000703,0.7918526,0.101356,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,240,0.50-0.55,0.50,0.55,0.05,6,185,0.032432,2,4,0.333333,0.525000,-0.191667,-1.150000,-0.006216,0.912463264,0.039785,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,240,0.50-0.60,0.50,0.60,0.10,7,185,0.037838,2,5,0.285714,0.532857,-0.247143,-1.730000,-0.009351,0.956592966938,0.019273,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,240,0.50-0.65,0.50,0.65,0.15,12,185,0.064865,5,7,0.416667,0.571667,-0.155000,-1.860000,-0.010054,0.916227676289,0.037997,1,1,1.000000,0.017459,0,0.000000,0
0.50-0.80,240,0.50-0.70,0.50,0.70,0.20,14,185,0.075676,7,7,0.500000,0.587143,-0.087143,-1.220000,-0.006595,0.827037585229,0.082475,6,3,0.500000,0.003729,0,0.000000,0
0.50-0.80,240,0.50-0.75,0.50,0.75,0.25,20,185,0.108108,11,9,0.550000,0.629500,-0.079500,-1.590000,-0.008595,0.837433003584,0.077050,11,5,0.454545,0.001081,0,0.000000,0
0.50-0.80,240,0.50-0.80,0.50,0.80,0.30,27,185,0.145946,14,13,0.518519,0.668148,-0.149630,-4.040000,-0.021838,0.968491417534,0.013904,10,4,0.400000,0.000767,0,0.000000,0
0.50-0.80,240,0.55-0.60,0.55,0.60,0.05,1,185,0.005405,0,1,0.000000,0.580000,-0.580000,-0.580000,-0.003135,1,-0.000000,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,240,0.55-0.65,0.55,0.65,0.10,6,185,0.032432,3,3,0.500000,0.618333,-0.118333,-0.710000,-0.003838,0.8454511669,0.072911,1,1,1.000000,0.017459,0,0.000000,0
0.50-0.80,240,0.55-0.70,0.55,0.70,0.15,8,185,0.043243,5,3,0.625000,0.633750,-0.008750,-0.070000,-0.000378,0.671277656409,0.173098,6,3,0.500000,0.003729,0,0.000000,0
