regime,n_avail,n_trade,n_yes,n_no,ev_avail,ev_trig,wr,ci95_lo,ci95_hi
UP,208,144,46,98,0.032384171385565784,0.04677713644581724,0.5277777777777778,-0.11678714913592622,0.18254317657794772
FLAT,849,549,246,303,0.01251955834107697,0.01936084705204799,0.5519125683060109,-0.051012821419244174,0.07885317371036896
DOWN,175,118,43,75,0.10326567085096894,0.15314824066880986,0.5508474576271186,-0.08687499337880839,0.34374733698966436
ALL,1232,811,335,476,0.028763396979457453,0.043694827470643134,0.5474722564734895,-0.029436190682956498,0.09219229382506193
