skip_bonus,mean_model_ev,mean_bench_ev,model_ci_lo,model_ci_hi,bench_ci_lo,bench_ci_hi,diff_ci_lo,diff_ci_hi,pct_pos,trade_rate,win_rate,yes_ev_trig,no_ev_trig,yes_wr,no_wr,avg_yes,avg_no,model_beats,T1,n
0.03,0.03415690776010274,0.005533245665015958,0.026745559026561963,0.04124569955575091,0.005151820253870455,0.005903719214359058,0.021227281284912854,0.03592091512215566,0.725,0.7594722222222222,0.566709667383191,0.0023318899474048657,0.08362974060717071,0.5645384615384615,0.5686144620319364,130.0,143.41,True,180,1798
0.05,0.03423754134175249,0.005533245665015958,0.026999490056344406,0.04121426726401426,0.005151820253870455,0.005903719214359058,0.021439787475353602,0.035974086720738256,0.74,0.6785694444444446,0.5520758326679691,-0.000440810193154097,0.09735827893659928,0.5523025052281166,0.5516007236686856,117.155,127.13,True,180,1798
0.08,0.03128056878274999,0.005533245665015958,0.024311082072396455,0.03782329601224551,0.005151820253870455,0.005903719214359058,0.0188953814668904,0.03251039811252399,0.735,0.565,0.5251015817485625,-0.0008712584375180825,0.10948299846533939,0.5370426065162908,0.512638687891944,99.75,103.65,True,180,1798
0.12,0.028272188614599143,0.005533245665015958,0.021701031971205285,0.03464561467511497,0.005151820253870455,0.005903719214359058,0.01634128140580044,0.029240289177046887,0.72,0.4414166666666667,0.4882701774994831,-0.006078729581640411,0.13336019458094928,0.5082288897328776,0.46684184184184185,78.99,79.92,True,180,1798
