variant,trades,pool,ev_avail,ev_trig,win_rate
baseline,1161,1760,0.026662995869057758,0.04041935635619436,0.5322997416020672
band,699,1760,0.007470948248334441,0.018810971269053817,0.6094420600858369
huber,940,1760,0.013558044126167568,0.025385274108569063,0.6510638297872341
huber_band,628,1760,0.0027946143311975676,0.007832040163865794,0.60828025477707
binary_cut,893,1760,0.010173474821643436,0.020050745449151676,0.5431131019036954
huber_cut,737,1760,0.008954908832377756,0.02138485691314091,0.5644504748982361
