mc,mean_trades,ev_avail,win_capped,trim10,true_ci_lo_mean,pass_rate
150,873.8,0.02924367251496065,0.03974251754807939,0.05167314497522215,0.00010519624226921521,3/5
200,808.0,0.02009922787213097,0.03185742375515145,0.04422694741540176,0.0005390131887443954,3/5
300,989.4,0.005925356149995239,-0.08310052360889042,-0.10254282620311539,-0.053740672757218354,0/5
500,794.4,0.0058512089637497875,-0.10334755762667877,-0.12900638349888402,-0.07962275294755967,0/5
750,582.6,-0.005943079729887323,-0.17177899551833573,-0.21448444315772033,-0.13753474760330492,0/5
1000,440.0,-0.002204906301481659,-0.21153097752950084,-0.26333021044404786,-0.2225916896473668,0/5
