config,changed,trades,ev_avail,ev_trig,win_rate,win_capped,trim10,true_ev_ci_lo,GATE
baseline,(baseline),940,0.013558044126167568,0.025385274108569063,0.6510638297872341,-0.03326912680566272,-0.04158640850707841,-0.016961500086312628,False
depth_up,"max_depth=5,num_leaves=31",1047,0.0029752642927026083,0.005001399384103716,0.606494746895893,-0.0784569205002185,-0.09771290876949507,-0.048667525107401265,False
lr_down,"learning_rate=0.02,n_rounds=750",941,0.013368642043352974,0.025004048880235104,0.6514346439957492,-0.033715485483651136,-0.04213316313428378,-0.009349147431531311,False
rounds_up,n_rounds=600,1052,0.007464820986803473,0.01248867389427197,0.6254752851711026,-0.06186659497554611,-0.07729650583643054,-0.028114912907976578,False
huber_d_0.5,huber_alpha=0.5,1242,0.014569647303445028,0.020646199077345613,0.6859903381642513,-0.001520257576987218,0.0037029326381032325,-0.029782928241157174,False
huber_d_2.0,huber_alpha=2.0,1099,0.0028560462119753575,0.004573831968222593,0.5896269335759782,-0.10868087583795089,-0.13400555726301466,-0.026270285849255236,False
l2_strong,lambda_l2=20.0,942,0.02842602472534043,0.053110194815922676,0.6740976645435244,-0.001375430206621901,-0.0015103348932888562,0.0031787464440231504,False
min_child_50,min_child_samples=50,942,0.02613402754642573,0.04882790709310965,0.667728237791932,-0.007162750229690257,-0.008948687952742996,0.003926396692307651,False
