label,mean_ev,ci_lo,ci_hi,pct_pos,n_seeds
ALL,0.06022652149958658,0.05290762708727583,0.06716479741322988,0.895,200
UP,-0.025018075538817762,-0.03473958041898587,-0.01524252448492658,0.34,200
FLAT,0.010167323672199332,-0.001761144654067412,0.022382371641330015,0.565,200
DOWN,0.06679107686078835,0.051744014720432774,0.08210420157909086,0.69,200
v3.2,0.05199612421557541,0.044656729178233906,0.05885720787892896,0.86,200
