label,delta_mean,paired_lo,paired_hi,verdict
regime_UP vs v3p1,-0.03052043798151578,-0.04102764707227173,-0.020282693072174503,✗ worse
regime_FLAT vs v3p1,-0.006098277259186689,-0.019336190062983,0.0071764053317397705,~ same
regime_DOWN vs v3p1,0.02833251873528581,0.012671507738632203,0.04368948662985312,✓ better
v3.2 vs v3.1_all,-0.008230397284011166,-0.013521900238283821,-0.002875084026388174,✗ worse
