UP,FLAT,DOWN,ALL,v3.2,v3p1_on_UP,v3p1_on_FLAT,v3p1_on_DOWN
0.03952945925801394,0.10735074352618817,0.12428180478445752,0.07294603805209866,-0.05088253197400936,0.04017838430466509,0.023941033648846397,0.008826620098587177
0.05650670341553475,0.003907474495711045,0.12230845267370426,-0.006907536523889862,0.08175773543550861,-0.012542587531910544,-0.026517243227635708,0.03215229423565639
-0.09010163322780036,0.08248558411233566,0.2726822861259292,0.08843320368304232,0.10451662544926422,-0.0307898467846253,0.031194019110416842,0.08802903135725076
-0.020425552558981656,-0.06152518413918405,-0.016155884327489135,0.11555216569685064,0.08478078664543709,0.051723040179330174,0.023218091960683272,0.040611033556837206
0.03223666031521282,0.09262492368784142,-0.05708636569004678,0.10319934118207533,0.11151043802532232,-0.010914983460014939,0.03513619048410316,0.0789781341579871
0.0623516435000453,0.1315103241808517,0.015718585682836975,0.06629258464977707,0.039692537783987666,0.029791341141998703,0.009498472680109366,0.027002770827668995
0.09962862076105021,0.005832273773712609,-0.08618618464460288,0.014306508686919541,0.041546699725814186,-0.011787062216167392,0.0020860850946408356,0.024007485808446097
-0.01173964512406249,-0.031637190534218054,0.20762898096048507,0.10179153394336274,0.0456987382632256,0.03688934497735442,-0.027997798469705622,0.09289998743571394
0.028453729122788624,-0.12587295200968257,-0.09337030510451101,-0.014450698636029768,0.00972322267628854,-0.04006310831062721,0.020948886123035502,0.004663523551561946
-0.08876122713800444,-0.20013661879641997,0.38971988887327624,0.11584477234004444,0.1282998920897528,-0.006945351954710239,0.018745901035297614,0.10404422325945707
-0.020948488002118067,0.06569955580964411,0.03659213653607225,0.06283518290750406,0.06304782142426942,0.02692645883176175,0.018630259687100734,0.01727846438864158
0.03819014695757096,-0.03669888875210361,-0.061974615249766024,0.012572536364343372,0.037770825580490316,0.0021499305959985443,-0.0011088671953795402,0.011531472963724367
-0.11485962386199326,-0.2125625384699703,-0.03655878029754494,0.06776524488248706,0.07934839281091445,0.005512258532730056,0.009740496313705565,0.05251249003605145
-0.08166873653699244,0.11373217273080141,0.2604063446506877,0.06507534519379009,0.04980927560499515,0.06184165575891617,-0.01581541448482778,0.019049103919701705
-0.08291892899916647,-0.017051770433811116,-0.031017822441483153,0.018915873584035,0.05365648411649595,-0.021297065314435544,0.02149079578173669,0.01872214311673386
-0.043323496865248806,-0.02015561833560318,0.12741147887690452,0.0363329378354634,0.06930393177494434,-0.012178264889513088,0.009029584471318356,0.03948161825365813
0.09978934779010651,0.09801209551212733,0.04130970878293541,0.0401438767713505,0.10606825275686152,0.0055657319343966685,0.008128348825310222,0.02644979601164361
-0.05960714593036196,-0.023160101578088624,-0.0940570951406368,-0.0012721406088417487,-0.004481104275414368,-0.032345493824076386,0.005856062919840143,0.025217290295394493
0.028909554244482143,-0.07371977570230873,0.173200298448508,0.03674566002976786,-0.016771195382854435,0.0010946224137698924,0.03959061724943714,-0.003939579633439174
-0.0410627569066375,-0.03880086833695001,0.07670223416607624,0.15455846984570543,0.11047974763771583,0.020222462045877188,0.04432900574181164,0.0900070020580166
-0.06984855035310197,0.15888414842735954,-0.01425023121404837,0.10095293211473413,0.07191095020814262,0.00365029925820748,-0.003723257667980706,0.10102589052450738
-0.04772140140131482,0.0314231257696385,0.11281013087946538,0.15635502238832882,0.17591916283685963,0.0032820625179605595,0.066946390777933,0.08612656909243525
0.003918181670894157,0.15773719083465848,0.16394817818365845,0.047952052144947646,0.0239199742101539,0.022856979329434368,-0.0012092473092492721,0.02630432012476255
-0.05241292591975782,-0.1291096121649496,0.07373280397011951,0.02789632494398482,0.03585095772907625,0.011756560683162514,-0.005730198679862375,0.021869962940684683
-0.14262134016862177,-0.16260793430957599,0.0059409834121154186,0.1539669369205843,0.07898235660245345,0.04268957464563291,0.07402237365104883,0.037254988623902564
0.002394152569627943,0.09284272244492224,-0.07898600627088415,-0.029964138989754578,0.016242067994696605,-0.0180856064490098,-0.020749674348016677,0.008871141807271894
-0.010879909223672171,0.1625081846645944,-0.02671656160683046,0.07697545328512953,0.06872523898003131,0.012143756872663967,-0.0064006265983240695,0.07123232301078963
-0.12397544315671949,0.03307587241422976,0.037507104241851275,0.02109768269227461,0.009276289728869336,-0.016686690086862396,0.05479671366296914,-0.01701234088383214
-0.05807104773850063,0.08199649177053274,0.0069636489387692475,0.04000786556175622,0.037031918502746584,0.020017271409849022,-0.0018679697442593962,0.021858563896166597
-0.06933575203085503,0.15032940474635215,0.050143843940194895,0.051632143313498524,0.048775515305479696,-0.03462618049982002,0.010153940504605247,0.07610438330871329
0.06518603023043955,-0.09300201568480615,-0.052667039333385214,0.05764922335120828,0.07927106913352303,0.025169603539318044,0.02176185941119513,0.010717760400695098
-0.06857372361955817,0.053771100479531174,0.02390098093740611,0.02398082718272324,0.04132344577548566,0.038763856764720446,-0.040753571599548344,0.025970542017551144
-0.04587236479749609,-0.09879493471846067,0.08507989680462166,0.003760351732200945,0.03758483163354854,0.0015057173052875263,-0.0102041972174439,0.012458831644357318
-0.0354899377293906,-0.055432961428683016,0.17446155919599873,0.02714704799462004,-0.02476438249561928,-0.016366892641736453,0.018329116909612128,0.02518482372674436
-0.05182150727496993,0.14089200046380973,0.14108373510282243,0.025878710196280318,0.03204548659182785,-0.016043706498679748,0.03743034060237053,0.004492076092589528
0.04589192561175511,0.10497463999476342,0.032086317659244995,0.14545506937843808,0.12177853731603491,0.012906203728793041,0.042190590485747914,0.09035827516389712
-0.021297161898255427,-0.07084916206334013,-0.07861230345765252,0.14596600424663414,0.09528607120398153,-0.03484708580238167,0.04537605470462164,0.13543703534439416
0.023687343651847284,0.09017453557516034,0.05026004139630171,0.0990893471463291,0.04243584834882919,0.057378617431465155,0.021555155389376336,0.020155574325487598
