rule,available_contracts,usable_entry_rows,traded,successful,unsuccessful,skipped,win_rate,avg_mid,avg_ask,avg_fee,spot_agree_rate,total_net_pnl,net_per_available_contract,net_per_traded_contract
"Existing T=630 mid [0.55,0.80)",186,180,110,87,23,76,0.7909090909090909,0.6873181818181818,0.6925454545454546,0.014498399999999998,0.8454545454545455,9.225176,0.049597720430107524,0.08386523636363635
"New T=630 ask (0.50,0.78) + spot",186,180,90,70,20,96,0.7777777777777778,0.658,0.6632222222222222,0.015156944444444445,1.0,8.945875,0.04809610215053763,0.0993986111111111
"Existing T=630 mid [0.55,0.80) + spot",186,180,93,76,17,93,0.8172043010752689,0.6950000000000001,0.7002150537634411,0.014309505376344088,1.0,9.549216,0.05133987096774193,0.10267974193548386
"Ask (0.50,0.78), no spot filter",186,180,114,83,31,72,0.7280701754385965,0.6457456140350876,0.6509649122807019,0.015402149122807018,0.7894736842105263,7.034154999999999,0.0378180376344086,0.061703114035087714
"Old live-like T=600 mid [0.60,0.80)",186,180,80,60,20,106,0.75,0.7071875000000001,0.712375,0.0141084125,0.9375,1.881326999999998,0.01011466129032257,0.023516587499999974
