contract_id,file,t_seconds,timestamp_utc,close_time,remaining_seconds,yes_mid,selected_side,selected_label,selected_mid,selected_ask,selected_ask_qty,entry_spot,entry_target,entry_delta,spot_agrees,actual_label,actual_side,success,fee,net_pnl,final_price,final_target
KXBTC15M-26JUN030815-15,cli_predictor_polymarket_KXBTC15M-26JUN030815-15.csv,630,2026-06-03T12:04:29.539Z,2026-06-03T12:15:00+00:00,630.461,0.4649999999999999,NO,0,0.5350000000000001,0.54,634.94,66916.74,66985.33,-68.58999999999651,True,0,NO,True,0.017388,0.44261199999999995,66891.91,66985.33
KXBTC15M-26JUN030830-30,cli_predictor_polymarket_KXBTC15M-26JUN030830-30.csv,600,2026-06-03T12:20:00.195Z,2026-06-03T12:30:00+00:00,599.805,0.215,NO,0,0.785,0.79,2776.4,66739.19,66874.58,-135.38999999999942,True,1,YES,False,0.011613,-0.801613,66980.81,66874.58
KXBTC15M-26JUN030830-30,cli_predictor_polymarket_KXBTC15M-26JUN030830-30.csv,630,2026-06-03T12:19:32.185Z,2026-06-03T12:30:00+00:00,627.815,0.195,NO,0,0.8049999999999999,0.81,305.01,66745.07,66874.58,-129.50999999999476,True,1,YES,False,0.010772999999999998,-0.8207730000000001,66980.81,66874.58
KXBTC15M-26JUN030845-45,cli_predictor_polymarket_KXBTC15M-26JUN030845-45.csv,600,2026-06-03T12:34:58.253Z,2026-06-03T12:45:00+00:00,601.747,0.745,YES,1,0.745,0.75,349.91,67082.06,66955.24,126.81999999999243,True,0,NO,False,0.013125000000000001,-0.763125,66843.46,66955.24
KXBTC15M-26JUN030845-45,cli_predictor_polymarket_KXBTC15M-26JUN030845-45.csv,630,2026-06-03T12:34:29.139Z,2026-06-03T12:45:00+00:00,630.861,0.795,YES,1,0.795,0.8,1538.27,67069.15,66955.24,113.90999999998894,True,0,NO,False,0.0112,-0.8112,66843.46,66955.24
KXBTC15M-26JUN030900-00,cli_predictor_polymarket_KXBTC15M-26JUN030900-00.csv,600,2026-06-03T12:50:00.412Z,2026-06-03T13:00:00+00:00,599.588,0.645,YES,1,0.645,0.65,4577.88,66925.48,66874.73,50.75,True,1,YES,True,0.015925,0.33407499999999996,67010.61,66874.73
KXBTC15M-26JUN030900-00,cli_predictor_polymarket_KXBTC15M-26JUN030900-00.csv,630,2026-06-03T12:49:31.049Z,2026-06-03T13:00:00+00:00,628.951,0.64,YES,1,0.64,0.65,11976.91,66941.85,66874.73,67.1200000000099,True,1,YES,True,0.015925,0.33407499999999996,67010.61,66874.73
KXBTC15M-26JUN030915-15,cli_predictor_polymarket_KXBTC15M-26JUN030915-15.csv,600,2026-06-03T13:05:01.569Z,2026-06-03T13:15:00+00:00,598.431,0.415,NO,0,0.585,0.59,285.38,66977.84,66995.99,-18.15000000000873,True,1,YES,False,0.016933000000000004,-0.606933,67058.47,66995.99
KXBTC15M-26JUN030915-15,cli_predictor_polymarket_KXBTC15M-26JUN030915-15.csv,630,2026-06-03T13:04:26.812Z,2026-06-03T13:15:00+00:00,633.188,0.435,NO,0,0.565,0.57,507.98,67073.35,66995.99,77.36000000000058,False,1,YES,False,0.017157000000000002,-0.5871569999999999,67058.47,66995.99
KXBTC15M-26JUN030930-30,cli_predictor_polymarket_KXBTC15M-26JUN030930-30.csv,600,2026-06-03T13:19:58.326Z,2026-06-03T13:30:00+00:00,601.674,0.755,YES,1,0.755,0.76,225.0,67120.61,67047.43,73.18000000000757,True,0,NO,False,0.012768,-0.772768,66774.53,67047.43
KXBTC15M-26JUN030930-30,cli_predictor_polymarket_KXBTC15M-26JUN030930-30.csv,630,2026-06-03T13:19:32.169Z,2026-06-03T13:30:00+00:00,627.831,0.715,YES,1,0.715,0.72,20.0,67127.61,67047.43,80.18000000000757,True,0,NO,False,0.014112000000000001,-0.734112,66774.53,67047.43
KXBTC15M-26JUN030945-45,cli_predictor_polymarket_KXBTC15M-26JUN030945-45.csv,600,2026-06-03T13:35:01.726Z,2026-06-03T13:45:00+00:00,598.274,0.8955,YES,1,0.8955,0.901,50.0,67018.56,66761.5,257.0599999999977,True,0,NO,False,0.006243929999999998,-0.90724393,66646.7,66761.5
KXBTC15M-26JUN030945-45,cli_predictor_polymarket_KXBTC15M-26JUN030945-45.csv,630,2026-06-03T13:34:29.055Z,2026-06-03T13:45:00+00:00,630.945,0.835,YES,1,0.835,0.84,1763.65,67078.11,66761.5,316.6100000000006,True,0,NO,False,0.009408000000000003,-0.8494079999999999,66646.7,66761.5
KXBTC15M-26JUN031000-00,cli_predictor_polymarket_KXBTC15M-26JUN031000-00.csv,600,2026-06-03T13:49:59.617Z,2026-06-03T14:00:00+00:00,600.383,0.625,YES,1,0.625,0.63,730.0,66603.14,66645.07,-41.93000000000757,False,1,YES,True,0.016317,0.35368299999999997,66812.01,66645.07
KXBTC15M-26JUN031000-00,cli_predictor_polymarket_KXBTC15M-26JUN031000-00.csv,630,2026-06-03T13:49:30.654Z,2026-06-03T14:00:00+00:00,629.346,0.54,YES,1,0.54,0.55,1162.0,66585.4,66645.07,-59.670000000012806,False,1,YES,True,0.017325,0.432675,66812.01,66645.07
