ts_unix,open,high,low,close,vwap,volume
1780272000,73569.9,73960.0,73550.1,73777.8,73769.1,28.8570524
1780275600,73777.8,73802.7,73173.0,73193.4,73445.8,38.88540186
1780279200,73194.6,73765.7,73155.0,73681.8,73334.7,51.00153603
1780282800,73680.4,73889.1,73640.8,73673.1,73805.9,12.54946947
1780286400,73673.0,73745.9,73260.5,73429.8,73373.3,15.42807506
1780290000,73429.8,73434.3,73218.4,73256.2,73371.5,25.01180135
1780293600,73256.6,73270.0,72867.8,73041.7,73049.2,50.18040824
1780297200,73042.0,73100.0,72613.7,72719.8,72821.8,64.65090393
1780300800,72719.8,72835.3,72523.5,72799.8,72718.6,53.80533108
1780304400,72799.9,72999.9,72732.7,72789.6,72857.0,89.74172298
1780308000,72789.7,72817.3,72508.6,72659.2,72660.4,39.27714073
1780311600,72659.2,72683.5,72200.0,72384.3,72447.7,116.61587946
1780315200,72391.6,72529.3,71844.0,72130.0,72087.8,186.82815353
1780318800,72127.3,72143.2,71275.0,71614.2,71683.2,279.37687143
1780322400,71614.1,71774.4,71285.0,71419.8,71479.6,136.76405361
1780326000,71432.3,71549.9,70964.6,71000.0,71168.5,167.8369122
1780329600,71000.0,71488.9,70581.5,71455.2,70946.2,224.16350958
1780333200,71455.2,71679.6,71373.0,71551.4,71508.2,189.80965875
1780336800,71550.1,71592.5,71284.9,71415.0,71420.8,69.25561439
1780340400,71415.1,71578.5,71294.5,71493.2,71458.6,54.54424904
1780344000,71495.0,71595.0,71321.5,71354.5,71498.6,61.36641477
1780347600,71354.1,71365.5,70850.6,70950.1,71057.4,79.98857136
1780351200,70950.0,71336.4,70750.0,71310.0,71112.4,228.05534521
1780354800,71310.1,71464.9,71130.1,71317.5,71307.6,43.83725116
1780358400,71315.5,71315.5,71010.0,71177.7,71181.7,30.99962985
1780362000,71177.7,71276.5,70524.8,70539.4,70835.9,62.94176528
1780365600,70539.4,70765.2,70000.0,70736.2,70360.9,114.99666655
1780369200,70740.0,70918.2,70710.0,70846.2,70859.7,45.72048916
1780372800,70846.2,70928.6,70605.6,70695.0,70721.1,81.39502827
1780376400,70695.0,70700.0,70156.7,70158.4,70489.9,139.36840945
1780380000,70156.6,70333.6,69840.0,69989.0,70052.4,174.14148053
1780383600,69989.9,70155.0,69647.8,70022.1,69934.8,166.21358076
1780387200,70020.1,70065.0,69605.8,69705.1,69817.5,89.84827911
1780390800,69705.1,69754.1,69236.5,69300.2,69439.0,117.97387901
1780394400,69300.2,69645.0,69244.2,69542.6,69489.7,292.66534282
1780398000,69533.7,69540.0,69316.3,69362.5,69406.3,95.51788504
1780401600,69360.1,69434.9,68925.3,68925.4,69163.9,191.84823227
1780405200,68925.4,69081.2,68650.0,68691.0,68826.1,266.0105028
1780408800,68691.0,68715.0,67530.1,67874.9,68060.2,560.70940233
1780412400,67875.0,67942.7,66964.6,67197.7,67301.1,426.86502769
1780416000,67197.7,68001.5,67125.1,67303.4,67669.7,351.66303055
1780419600,67303.4,67725.0,67279.2,67380.1,67433.8,139.87423526
1780423200,67380.1,67545.0,67029.5,67231.4,67336.4,172.42166947
1780426800,67234.2,67366.5,66327.3,67209.9,66941.6,444.90801655
1780430400,67206.9,67590.6,66820.6,67488.2,67223.9,140.10546017
1780434000,67490.1,67802.8,67317.7,67467.3,67627.5,86.82694095
1780437600,67467.2,67467.2,66170.0,66278.4,66776.0,360.96923995
1780441200,66285.0,66772.4,66111.8,66669.7,66409.2,174.6321663
