sample,profit_margin,profit_margin_cents,universe_contracts,base_divergences,base_divergence_rate,occurrence_contracts,occurrence_rate,divergent_occurrence_contracts,p_diverge_given_margin_occurred,wilson_ci_low,wilson_ci_high
full_contract,0.0,0,1159,89,0.07679033649698015,1159,1.0,89,0.07679033649698015,0.06282093380492677,0.09355599663856616
full_contract,0.01,1,1159,89,0.07679033649698015,1159,1.0,89,0.07679033649698015,0.06282093380492677,0.09355599663856616
full_contract,0.02,2,1159,89,0.07679033649698015,1158,0.999137187230371,89,0.0768566493955095,0.06287554995848937,0.09363597450405353
full_contract,0.03,3,1159,89,0.07679033649698015,1154,0.9956859361518551,89,0.07712305025996534,0.06309496767774718,0.0939572577734717
full_contract,0.04,4,1159,89,0.07679033649698015,1147,0.9896462467644521,89,0.07759372275501308,0.06348265680375892,0.09452483962320377
full_contract,0.05,5,1159,89,0.07679033649698015,1133,0.9775668679896462,89,0.07855251544571933,0.06427250797817698,0.09568082237145133
full_contract,0.06,6,1159,89,0.07679033649698015,1122,0.9680759275237274,89,0.07932263814616755,0.06490703183578486,0.09660911750529474
full_contract,0.07,7,1159,89,0.07679033649698015,1108,0.9559965487489215,89,0.08032490974729242,0.06573296078283428,0.0978169549605594
full_contract,0.08,8,1159,89,0.07679033649698015,1089,0.9396031061259706,88,0.08080808080808081,0.06605583373049177,0.0985074479015398
full_contract,0.09,9,1159,89,0.07679033649698015,1073,0.9257981018119068,88,0.08201304753028892,0.06704797896474671,0.09996042784271691
full_contract,0.1,10,1159,89,0.07679033649698015,1050,0.90595340811044,86,0.08190476190476191,0.0668024192617303,0.10005529445919323
full_contract,0.11,11,1159,89,0.07679033649698015,1036,0.8938740293356342,86,0.08301158301158301,0.06771185754848658,0.10139235986308845
full_contract,0.12,12,1159,89,0.07679033649698015,1024,0.8835202761000863,86,0.083984375,0.0685113205789343,0.10256718023286393
full_contract,0.13,13,1159,89,0.07679033649698015,1006,0.8679896462467644,86,0.08548707753479125,0.06974655632198672,0.10438134650950685
full_contract,0.14,14,1159,89,0.07679033649698015,981,0.8464193270060397,86,0.08766564729867482,0.07153796587469549,0.10701013769850856
full_contract,0.15,15,1159,89,0.07679033649698015,967,0.8343399482312338,86,0.0889348500517063,0.07258194522577321,0.10854090735903565
full_contract,0.16,16,1159,89,0.07679033649698015,949,0.818809318377912,84,0.08851422550052687,0.07206162479002233,0.10828482523902762
full_contract,0.17,17,1159,89,0.07679033649698015,933,0.8050043140638481,84,0.09003215434083602,0.07330749556032329,0.11011903033263448
full_contract,0.18,18,1159,89,0.07679033649698015,923,0.7963761863675582,83,0.08992416034669556,0.07312810708855812,0.11011960212086884
full_contract,0.19,19,1159,89,0.07679033649698015,899,0.7756686798964625,83,0.09232480533926585,0.07509679696715177,0.11302213773855962
full_contract,0.2,20,1159,89,0.07679033649698015,880,0.7592752372735116,82,0.09318181818181819,0.07570427405421008,0.11419581664077418
full_contract,0.21,21,1159,89,0.07679033649698015,864,0.7454702329594478,81,0.09375,0.07607209003977568,0.11502453404461944
full_contract,0.22,22,1159,89,0.07679033649698015,852,0.7351164797238999,80,0.09389671361502347,0.07609254996211973,0.11534661354664169
full_contract,0.23,23,1159,89,0.07679033649698015,839,0.7238999137187231,79,0.09415971394517282,0.07620589026214414,0.11581310832549083
full_contract,0.24,24,1159,89,0.07679033649698015,824,0.7109577221742882,78,0.09466019417475728,0.07651051300281288,0.11657183511789042
full_contract,0.25,25,1159,89,0.07679033649698015,806,0.6954270923209663,78,0.0967741935483871,0.07823467794828995,0.11913922825756562
full_contract,0.26,26,1159,89,0.07679033649698015,796,0.6867989646246765,78,0.09798994974874371,0.07922655886298052,0.1206150097676083
full_contract,0.27,27,1159,89,0.07679033649698015,789,0.6807592752372735,78,0.09885931558935361,0.07993597787338695,0.12166999234815541
full_contract,0.28,28,1159,89,0.07679033649698015,771,0.6652286453839517,78,0.10116731517509728,0.08181992649445861,0.12446946220124384
full_contract,0.29,29,1159,89,0.07679033649698015,753,0.6496980155306299,78,0.10358565737051793,0.083794845893042,0.12740073320831824
full_contract,0.3,30,1159,89,0.07679033649698015,737,0.635893011216566,78,0.10583446404341927,0.0856321454889406,0.1301246370675465
full_contract,0.31,31,1159,89,0.07679033649698015,723,0.6238136324417601,78,0.1078838174273859,0.08730718792002778,0.13260537624801103
full_contract,0.32,32,1159,89,0.07679033649698015,710,0.6125970664365833,78,0.10985915492957747,0.08892236514286544,0.13499509777888077
full_contract,0.33,33,1159,89,0.07679033649698015,702,0.6056945642795514,77,0.10968660968660969,0.08865902287413965,0.13496282089364053
full_contract,0.34,34,1159,89,0.07679033649698015,680,0.5867126833477135,75,0.11029411764705882,0.0889026154358958,0.1360641020027625
full_contract,0.35,35,1159,89,0.07679033649698015,662,0.5711820534943917,73,0.11027190332326284,0.08862239694993937,0.13641851368105753
full_contract,0.36,36,1159,89,0.07679033649698015,645,0.5565142364106989,73,0.11317829457364341,0.0909838551751989,0.13995324873429146
full_contract,0.37,37,1159,89,0.07679033649698015,627,0.5409836065573771,72,0.11483253588516747,0.09218828019665776,0.14216785611394697
full_contract,0.38,38,1159,89,0.07679033649698015,610,0.5263157894736842,71,0.11639344262295082,0.09331076153721336,0.1442775674388612
full_contract,0.39,39,1159,89,0.07679033649698015,599,0.5168248490077653,68,0.11352253756260434,0.09054205498369954,0.14142866501969772
full_contract,0.4,40,1159,89,0.07679033649698015,583,0.5030198446937014,68,0.11663807890222985,0.09305589604655884,0.14523941226150927
full_contract,0.41,41,1159,89,0.07679033649698015,575,0.49611734253666956,68,0.11826086956521739,0.09436592007223317,0.14722279780844438
full_contract,0.42,42,1159,89,0.07679033649698015,557,0.48058671268334774,67,0.12028725314183124,0.09584028035217287,0.1499360671940862
full_contract,0.43,43,1159,89,0.07679033649698015,546,0.4710957722174288,67,0.1227106227106227,0.09779505438029432,0.15289823619648266
full_contract,0.44,44,1159,89,0.07679033649698015,511,0.44089732528041414,67,0.13111545988258316,0.10458237806133988,0.1631535624687183
full_contract,0.45,45,1159,89,0.07679033649698015,477,0.4115616911130285,65,0.13626834381551362,0.10837200068312447,0.16997662805448888
full_contract,0.46,46,1159,89,0.07679033649698015,457,0.3943054357204487,65,0.1422319474835886,0.11318449325883609,0.17724414859988494
full_contract,0.47,47,1159,89,0.07679033649698015,429,0.3701466781708369,65,0.15151515151515152,0.12068815514431108,0.18852796456322168
full_contract,0.48,48,1159,89,0.07679033649698015,368,0.3175150992234685,64,0.17391304347826086,0.13860873613431943,0.21595514267859447
full_contract,0.49,49,1159,89,0.07679033649698015,302,0.26056945642795515,62,0.2052980132450331,0.16357945211933259,0.2544199305676531
full_contract,0.5,50,1159,89,0.07679033649698015,274,0.2364106988783434,62,0.22627737226277372,0.1807160445892836,0.2794079973108495
full_contract,0.51,51,1159,89,0.07679033649698015,250,0.21570319240724764,62,0.248,0.19855073569865583,0.3050767233151544
full_contract,0.52,52,1159,89,0.07679033649698015,227,0.19585849870578084,62,0.27312775330396477,0.21930019419216465,0.3345063987269626
full_contract,0.53,53,1159,89,0.07679033649698015,207,0.17860224331320104,59,0.28502415458937197,0.22788065367203045,0.35000150999965485
full_contract,0.54,54,1159,89,0.07679033649698015,191,0.16479723899913717,56,0.2931937172774869,0.2332204178393718,0.3613220207363737
full_contract,0.55,55,1159,89,0.07679033649698015,181,0.15616911130284727,56,0.30939226519337015,0.246597339342569,0.380110068513671
full_contract,0.56,56,1159,89,0.07679033649698015,174,0.15012942191544434,56,0.3218390804597701,0.2569164335290792,0.3944587227898023
full_contract,0.57,57,1159,89,0.07679033649698015,164,0.14150129421915444,54,0.32926829268292684,0.26197101765012754,0.40438106669606555
full_contract,0.58,58,1159,89,0.07679033649698015,151,0.13028472821397757,53,0.3509933774834437,0.27942214983028035,0.42995827506845485
full_contract,0.59,59,1159,89,0.07679033649698015,147,0.12683347713546161,52,0.35374149659863946,0.2810725051452991,0.43386024550173724
full_contract,0.6,60,1159,89,0.07679033649698015,144,0.12424503882657463,52,0.3611111111111111,0.2872092991896756,0.44223085838437665
full_contract,0.61,61,1159,89,0.07679033649698015,136,0.11734253666954271,51,0.375,0.29811996168499116,0.4587478087066518
full_contract,0.62,62,1159,89,0.07679033649698015,127,0.1095772217428818,49,0.3858267716535433,0.30570036651903987,0.47265758691473037
full_contract,0.63,63,1159,89,0.07679033649698015,123,0.10612597066436583,48,0.3902439024390244,0.308610087268568,0.47852599426935016
full_contract,0.64,64,1159,89,0.07679033649698015,118,0.10181190681622088,48,0.4067796610169492,0.32244335262312795,0.49699434353319305
full_contract,0.65,65,1159,89,0.07679033649698015,114,0.09836065573770492,48,0.42105263157894735,0.3344446604426018,0.5128079226859368
full_contract,0.66,66,1159,89,0.07679033649698015,110,0.09490940465918896,48,0.43636363636363634,0.3473834458841848,0.5296386620271587
full_contract,0.67,67,1159,89,0.07679033649698015,104,0.08973252804141502,47,0.4519230769230769,0.35968758127067046,0.5475838241980912
full_contract,0.68,68,1159,89,0.07679033649698015,102,0.08800690250215704,46,0.45098039215686275,0.35794458285356257,0.5475746080883734
full_contract,0.69,69,1159,89,0.07679033649698015,93,0.08024158757549611,45,0.4838709677419355,0.3849752909016495,0.5840462866022331
full_contract,0.7,70,1159,89,0.07679033649698015,85,0.07333908541846419,44,0.5176470588235295,0.41297360126349636,0.6207943632936481
full_contract,0.71,71,1159,89,0.07679033649698015,81,0.06988783433994823,43,0.5308641975308642,0.42326527260622987,0.6356680808430215
full_contract,0.72,72,1159,89,0.07679033649698015,78,0.06729939603106126,43,0.5512820512820513,0.4410917185751463,0.6566580810377646
full_contract,0.73,73,1159,89,0.07679033649698015,75,0.06471095772217429,43,0.5733333333333334,0.46052588692688007,0.6789943663404308
full_contract,0.74,74,1159,89,0.07679033649698015,73,0.06298533218291631,42,0.5753424657534246,0.46099174047029373,0.6821598857321799
full_contract,0.75,75,1159,89,0.07679033649698015,69,0.059534081104400345,41,0.5942028985507246,0.47635673681697405,0.7021127092138654
full_contract,0.76,76,1159,89,0.07679033649698015,67,0.057808455565142365,41,0.6119402985074627,0.4922287051487494,0.7195112894307066
full_contract,0.77,77,1159,89,0.07679033649698015,64,0.055220017256255395,40,0.625,0.5025015331382642,0.7333419611189468
full_contract,0.78,78,1159,89,0.07679033649698015,62,0.05349439171699741,39,0.6290322580645161,0.504577349121774,0.7384301112072582
full_contract,0.79,79,1159,89,0.07679033649698015,61,0.05263157894736842,39,0.639344262295082,0.5139167326739971,0.7482606349418546
full_contract,0.8,80,1159,89,0.07679033649698015,60,0.05176876617773943,38,0.6333333333333333,0.5068276736679673,0.7437926115379172
full_contract,0.81,81,1159,89,0.07679033649698015,56,0.04831751509922347,37,0.6607142857142857,0.5299920896078809,0.7708020068066535
full_contract,0.82,82,1159,89,0.07679033649698015,52,0.04486626402070751,34,0.6538461538461539,0.5180330221508072,0.7684917192606138
full_contract,0.83,83,1159,89,0.07679033649698015,51,0.04400345125107852,33,0.6470588235294118,0.5098580497281073,0.7636569461874021
full_contract,0.84,84,1159,89,0.07679033649698015,49,0.04227782571182054,32,0.6530612244897959,0.5131093521943979,0.7707579039068555
full_contract,0.85,85,1159,89,0.07679033649698015,45,0.03882657463330457,31,0.6888888888888889,0.5433492001245104,0.8047147453645809
full_contract,0.86,86,1159,89,0.07679033649698015,44,0.03796376186367558,30,0.6818181818181818,0.5344282746687306,0.8000087006832644
full_contract,0.87,87,1159,89,0.07679033649698015,43,0.03710094909404659,29,0.6744186046511628,0.5251593250655096,0.7950688481822019
full_contract,0.88,88,1159,89,0.07679033649698015,42,0.0362381363244176,29,0.6904761904761905,0.5397372223365942,0.8092907348027727
full_contract,0.89,89,1159,89,0.07679033649698015,40,0.03451251078515962,28,0.7,0.545696893456796,0.8192532908430471
full_contract,0.9,90,1159,89,0.07679033649698015,36,0.031061259706643658,27,0.75,0.5892923231679656,0.8624967616077461
full_contract,0.91,91,1159,89,0.07679033649698015,35,0.030198446937014668,26,0.7428571428571429,0.5793037572935127,0.8583713127344985
full_contract,0.92,92,1159,89,0.07679033649698015,34,0.029335634167385678,26,0.7647058823529411,0.6000353719173557,0.8756316189075566
full_contract,0.93,93,1159,89,0.07679033649698015,32,0.027610008628127698,24,0.75,0.5789310822975338,0.8674775601737845
full_contract,0.94,94,1159,89,0.07679033649698015,24,0.02070750647109577,18,0.75,0.5510017468789357,0.8800079652065766
full_contract,0.95,95,1159,89,0.07679033649698015,24,0.02070750647109577,18,0.75,0.5510017468789357,0.8800079652065766
full_contract,0.96,96,1159,89,0.07679033649698015,20,0.01725625539257981,15,0.75,0.5312949900419365,0.888139947210597
full_contract,0.97,97,1159,89,0.07679033649698015,14,0.012079378774805867,10,0.7142857142857143,0.4535045882751561,0.882788120898909
full_contract,0.98,98,1159,89,0.07679033649698015,8,0.006902502157031924,5,0.625,0.30573785458380187,0.863158240538479
