threshold,precision,recall,f1
0.01,0.08415841584158416,0.9444444444444444,0.15454545454545454
0.02,0.09444444444444444,0.9444444444444444,0.1717171717171717
0.03,0.11258278145695365,0.9444444444444444,0.20118343195266272
0.04,0.1588785046728972,0.9444444444444444,0.272
0.05,0.18478260869565216,0.9444444444444444,0.3090909090909091
0.060000000000000005,0.20238095238095238,0.9444444444444444,0.3333333333333333
0.06999999999999999,0.23943661971830985,0.9444444444444444,0.38202247191011235
0.08,0.25,0.8888888888888888,0.3902439024390244
0.09,0.2962962962962963,0.8888888888888888,0.4444444444444444
0.09999999999999999,0.3,0.8333333333333334,0.4411764705882353
0.11,0.32608695652173914,0.8333333333333334,0.46875
0.12,0.3488372093023256,0.8333333333333334,0.4918032786885246
0.13,0.38461538461538464,0.8333333333333334,0.5263157894736842
0.14,0.45454545454545453,0.8333333333333334,0.5882352941176471
0.15000000000000002,0.4827586206896552,0.7777777777777778,0.5957446808510638
0.16,0.4827586206896552,0.7777777777777778,0.5957446808510638
0.17,0.4642857142857143,0.7222222222222222,0.5652173913043478
0.18000000000000002,0.4444444444444444,0.6666666666666666,0.5333333333333333
0.19,0.44,0.6111111111111112,0.5116279069767442
0.2,0.4782608695652174,0.6111111111111112,0.5365853658536586
0.21000000000000002,0.55,0.6111111111111112,0.5789473684210527
0.22,0.5882352941176471,0.5555555555555556,0.5714285714285714
0.23,0.5625,0.5,0.5294117647058824
0.24000000000000002,0.6,0.5,0.5454545454545454
0.25,0.5714285714285714,0.4444444444444444,0.5
0.26,0.6153846153846154,0.4444444444444444,0.5161290322580645
0.27,0.6363636363636364,0.3888888888888889,0.4827586206896552
0.28,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.29000000000000004,0.625,0.2777777777777778,0.38461538461538464
0.3,0.5,0.16666666666666666,0.25
0.31,0.5,0.16666666666666666,0.25
0.32,0.5,0.16666666666666666,0.25
0.33,0.6,0.16666666666666666,0.2608695652173913
0.34,0.6,0.16666666666666666,0.2608695652173913
0.35000000000000003,0.6,0.16666666666666666,0.2608695652173913
0.36000000000000004,0.75,0.16666666666666666,0.2727272727272727
0.37,1.0,0.16666666666666666,0.2857142857142857
0.38,1.0,0.05555555555555555,0.10526315789473684
0.39,1.0,0.05555555555555555,0.10526315789473684
0.4,1.0,0.05555555555555555,0.10526315789473684
0.41000000000000003,1.0,0.05555555555555555,0.10526315789473684
0.42000000000000004,1.0,0.05555555555555555,0.10526315789473684
0.43,1.0,0.05555555555555555,0.10526315789473684
0.44,1.0,0.05555555555555555,0.10526315789473684
0.45,1.0,0.05555555555555555,0.10526315789473684
0.46,1.0,0.05555555555555555,0.10526315789473684
0.47000000000000003,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0
0.49,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.51,0.0,0.0,0.0
0.52,0.0,0.0,0.0
0.53,0.0,0.0,0.0
0.54,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.56,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0
0.5800000000000001,0.0,0.0,0.0
0.59,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.61,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.63,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.67,0.0,0.0,0.0
0.68,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.7100000000000001,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9600000000000001,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
