sample,direction,trades,divergences,favorable_splits,adverse_splits,adverse_split_rate,adverse_rate_ci_low,adverse_rate_ci_high,mean_all_in_cost,mean_polymarket_price
calibration,K+NP,84,4,0,4,0.047619047619047616,0.018671444654442905,0.11613484302702007,0.6133718014285714,0.5867857142857144
calibration,NK+P,80,5,1,4,0.05,0.01961323712729557,0.121624525510822,0.612962923125,0.5795625
test,K+NP,76,0,0,0,0.0,0.0,0.04811526823109757,0.5969333053947368,0.5680263157894737
test,NK+P,82,4,2,2,0.024390243902439025,0.006714229565123547,0.08463541909007394,0.6156275136585366,0.5873170731707317
all,K+NP,380,4,0,4,0.010526315789473684,0.004100814426956865,0.026749411291151853,0.6098212065789473,0.5845263157894737
all,NK+P,371,9,3,6,0.016172506738544475,0.007432438574381578,0.0348296796110066,0.6129133180053908,0.5849460916442049
