sample,profit_margin,contracts_evaluated,model_signal_contracts,model_signal_rate,approved_trades,approved_trade_rate,approved_trade_rate_ci_low,approved_trade_rate_ci_high,expected_minutes_between_trades,minutes_between_trades_ci_low,minutes_between_trades_ci_high,divergent_trades,divergence_rate,divergence_rate_ci_low,divergence_rate_ci_high,expected_entry_price,entry_price_ci_low,entry_price_ci_high,expected_profit_per_traded_contract,profit_per_traded_contract_ci_low,profit_per_traded_contract_ci_high,expected_profit_per_15m_contract,profit_per_15m_contract_ci_low,profit_per_15m_contract_ci_high,total_profit,total_profit_ci_low,total_profit_ci_high
all,0.01,1158,991,0.8557858376511226,887,0.7659758203799655,0.7417962003454232,0.7901554404145078,19.582863585118375,18.983606557377048,20.221187427240977,14,0.015783540022547914,0.007954545454545454,0.024664369152410996,0.8057604170349492,0.7928515976892077,0.8186395616492916,0.1784560429425028,0.16219408119966702,0.19414581980162773,0.13669301389464594,0.12325676805224525,0.14943475629835923,158.29051009,142.7313374045,173.0454477935
all,0.02,1158,991,0.8557858376511226,861,0.7435233160621761,0.7184801381692574,0.768566493955095,20.174216027874564,19.51685393258427,20.877403846153847,14,0.016260162601626018,0.008215962441314555,0.025404157043879907,0.7672500051684087,0.7534826474553575,0.7808164896400185,0.21648983222996518,0.19972360216921717,0.23284228332475634,0.1609652379533679,0.14726813533268568,0.17445437276683934,186.39774555000002,170.53650071525,202.01816366399996
all,0.03,1158,991,0.8557858376511226,831,0.7176165803108808,0.6917098445595855,0.7435233160621761,20.902527075812273,20.174216027874564,21.685393258426966,14,0.01684717208182912,0.00853658536585366,0.026284348864994027,0.7399911439711192,0.7259226014268164,0.753682727976567,0.24316168394705176,0.22588368061786937,0.25983721570326807,0.1744968560967185,0.16058442655246116,0.18853794003713295,202.06735936,185.95676594775,218.32693456299995
all,0.04,1158,991,0.8557858376511226,808,0.697754749568221,0.6709844559585493,0.7236614853195165,21.49752475247525,20.727923627684966,22.355212355212355,14,0.017326732673267328,0.008771655358672024,0.0270611037391162,0.722025625470297,0.7077903424050597,0.735778611693348,0.26064764185643563,0.24306960965992108,0.2776835974006738,0.18186813006908462,0.16782622768933506,0.19604256513514678,210.60329461999999,194.34277166425,227.0172904265
all,0.05,1158,991,0.8557858376511226,785,0.6778929188255614,0.6502590673575129,0.7046632124352331,22.127388535031844,21.28676470588235,23.067729083665338,13,0.016560509554140127,0.008652390544644355,0.02635046518785064,0.7043646449681529,0.6904159115698847,0.718009707838206,0.279074845477707,0.2616351693335459,0.29602942443435704,0.1891828615716753,0.17534119785319516,0.20317255570315199,219.0737537,203.045107114,235.27381950424999
all,0.06,1158,991,0.8557858376511226,770,0.6649395509499136,0.6381692573402418,0.6917098445595855,22.558441558441558,21.685393258426966,23.50473612990528,13,0.016883116883116882,0.00880503144654088,0.026855079558962693,0.6880126022337663,0.6740246996067193,0.7019435490735471,0.2951042808831169,0.2775142387479647,0.31214373400501444,0.19622650801381694,0.18191793726748703,0.2102118415893782,227.23029628,210.66097135575,243.42531256049995
all,0.07,1158,991,0.8557858376511226,748,0.6459412780656304,0.6183074265975821,0.6735751295336787,23.22192513368984,22.26923076923077,24.25977653631285,12,0.016042780748663103,0.007947019867549669,0.025677415220098122,0.6747315917914438,0.6608024341123772,0.6882754240143524,0.30922562745989307,0.29205083885343613,0.3256988458202897,0.19974159701208982,0.1855377653972366,0.2137285735127375,231.30076934000002,214.85273232999998,247.49768812775
all,0.08,1158,991,0.8557858376511226,736,0.6355785837651122,0.6079447322970639,0.6632124352331606,23.60054347826087,22.6171875,24.673295454545453,12,0.016304347826086956,0.008075370121130552,0.026170798898071626,0.6675887282744566,0.654080537380389,0.6811850594708218,0.3161069238994565,0.2987330170323252,0.332704570289049,0.2009107910103627,0.18673562241645078,0.2149631287379102,232.65469599,216.23985075825001,248.9273030785
all,0.09,1158,991,0.8557858376511226,708,0.6113989637305699,0.582901554404145,0.6390328151986183,24.533898305084747,23.472972972972972,25.733333333333334,12,0.01694915254237288,0.008391608391608392,0.02726032049261989,0.654767420621469,0.6412071980254531,0.6681546808434377,0.32828342683615824,0.3108302747250848,0.34489126630640493,0.20071214697754752,0.18629024331433505,0.21487240240932637,232.42466620000002,215.72410175800002,248.82224198999995
all,0.1,1158,991,0.8557858376511226,692,0.5975820379965457,0.5682210708117443,0.6252158894645942,25.101156069364162,23.99171270718232,26.398176291793312,12,0.017341040462427744,0.008608013056365183,0.027819365652923964,0.6449649974132948,0.6317128731714169,0.6577137175322216,0.3376939621242775,0.32039113467148644,0.35454241519430957,0.20179984610535406,0.18736014638234022,0.21579751647042314,233.68422179,216.96304951075,249.89352407275
