horizon,contracts_test,test_divergences,test_base_rate,auc_roc,brier,log_loss,classification_threshold,precision,recall,f1,mean_predicted_prob,contracts_total,contracts_core_train,contracts_calibration,train_base_rate,calibration_base_rate,recommended_trade_threshold,tradable_test_contracts,nontradable_test_contracts,trade_threshold_pass_contracts,trade_threshold_fail_contracts,trade_threshold_pass_divergences,trade_threshold_fail_divergences,trade_threshold_pass_diverge_rate,trade_threshold_fail_diverge_rate,trade_threshold_pass_mean_arb_return,trade_threshold_fail_mean_arb_return,trade_threshold_pass_mean_entry_cost,trade_threshold_fail_mean_entry_cost,trade_threshold_pass_mean_predicted_diverge_prob,trade_threshold_fail_mean_predicted_diverge_prob,trade_threshold_pass_expected_return,trade_threshold_fail_expected_return,trade_threshold_pass_test_return,trade_threshold_fail_test_return
5m,232,18,0.07758620689655173,0.6788681204569056,0.06844429433494469,0.25761731339506844,0.14,0.4166666666666667,0.2777777777777778,0.3333333333333333,0.0783195548541202,1157,693,232,0.07647907647907648,0.07758620689655173,0.07389830508474575,107,125,43,64,3,10,0.06976744186046512,0.15625,0.1384651162790698,0.08957812499999998,0.8615348837209303,0.910421875,0.050254940258211346,0.10712124870809737,0.08821017602085832,-0.01754312370809742,0.06869767441860454,-0.06667187500000005
3m,232,18,0.07758620689655173,0.7590861889927311,0.06930964771175441,0.2620675208661419,0.09,0.208955223880597,0.7777777777777778,0.32941176470588235,0.0733893829996766,1157,693,232,0.07503607503607504,0.07758620689655173,0.07389830508474575,124,108,55,69,2,13,0.03636363636363636,0.18840579710144928,0.26072727272727275,0.10552173913043476,0.739272727272727,0.8944782608695653,0.04596203627138661,0.0970156918367739,0.2147652364558864,0.00850604729366082,0.22436363636363665,-0.08288405797101456
2m,232,18,0.07758620689655173,0.7871235721703012,0.0661111505511206,0.24540587842095768,0.17,0.5,0.2777777777777778,0.35714285714285715,0.07426104557472998,1158,694,232,0.07636887608069164,0.07758620689655173,0.0935593220338983,139,93,91,48,1,12,0.01098901098901099,0.25,0.27606593406593405,0.15910416666666666,0.7239340659340661,0.8408958333333333,0.04535567493662295,0.13628674161590024,0.23071025912931098,0.022817425050766477,0.26507692307692293,-0.09089583333333329
1m,232,18,0.07758620689655173,0.8712357217030114,0.05273535453157238,0.22862329872374404,0.26,0.6,0.5,0.5454545454545454,0.07547147235097282,1159,695,232,0.07625899280575539,0.07758620689655173,0.1083050847457627,182,50,140,42,2,14,0.014285714285714285,0.3333333333333333,0.2912928571428572,0.2330952380952381,0.7087071428571429,0.766904761904762,0.032235447968265274,0.24224219311981912,0.25905740917459186,-0.0091469550245811,0.27700714285714284,-0.10023809523809529
