sample,contracts,P(5m),5m_pass_count,P(3m),3m_pass_count,P(2m),2m_pass_count,P(1m),1m_pass_count,P(all_four),all_four_count
test,232,0.1896551724137931,44,0.5818965517241379,135,0.6206896551724138,144,0.853448275862069,198,0.15086206896551724,35
all,1156,0.21193771626297578,245,0.5302768166089965,613,0.578719723183391,669,0.8486159169550173,981,0.1522491349480969,176
