feature,importance,importance_normalized,importance_type
implied_prob_spread_roll10_std_change,1.078730054104062,0.017322865723390892,abs_scaled_logit_coefficient
kalshi_btc_price_roll10_mean_std,0.9309814015659585,0.014950233145859495,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_5_mean,0.824414129415866,0.013238914786886598,abs_scaled_logit_coefficient
price_spread_mean,0.7516291558159347,0.012070091947886944,abs_scaled_logit_coefficient
kalshi_order_book_imbalance_last,0.6985506560725493,0.011217726965233921,abs_scaled_logit_coefficient
polymarket_order_book_imbalance_max,0.6511203931619411,0.010456064608187612,abs_scaled_logit_coefficient
price_spread_roll10_std_last,0.6369119544925979,0.010227897353301502,abs_scaled_logit_coefficient
price_spread_abs_range,0.624369771183918,0.010026487782382607,abs_scaled_logit_coefficient
kalshi_order_book_imbalance_max,0.6128075464688509,0.009840814948441655,abs_scaled_logit_coefficient
price_spread_abs_max,0.6098642654098855,0.009793550053599168,abs_scaled_logit_coefficient
k_no_p_yes_polymarket_fee_change,0.6074395933039696,0.009754613278681074,abs_scaled_logit_coefficient
k_yes_p_no_polymarket_fee_change,0.6022932352461018,0.00967197011020555,abs_scaled_logit_coefficient
kalshi_bid_ask_spread_yes_std,0.5981320511799891,0.009605147430561704,abs_scaled_logit_coefficient
kalshi_distance_to_target_change,0.5967099903902074,0.009582311163028259,abs_scaled_logit_coefficient
price_between_targets_mean,0.5883752623873859,0.009448467321851721,abs_scaled_logit_coefficient
kalshi_order_book_imbalance_min,0.5860114895063697,0.009410508501605033,abs_scaled_logit_coefficient
implied_prob_spread_roll10_std_last,0.5730225331707286,0.009201924393251643,abs_scaled_logit_coefficient
polymarket_bid_ask_spread_yes_range,0.5576041450916512,0.008954327076991814,abs_scaled_logit_coefficient
kalshi_btc_price_lag10_change,0.5470300481836353,0.008784522165942202,abs_scaled_logit_coefficient
price_spread_abs_x_elapsed_fraction_range,0.5367690232044083,0.008619744743432045,abs_scaled_logit_coefficient
k_yes_p_no_kalshi_fee_std,0.5367636278034789,0.008619658100990343,abs_scaled_logit_coefficient
price_spread_abs_x_elapsed_fraction_max,0.5303244817441626,0.008516254601537942,abs_scaled_logit_coefficient
price_between_targets_last,0.4930511046487207,0.007917697340594727,abs_scaled_logit_coefficient
feeds_on_same_side_own_targets_range,0.48738167318873016,0.007826654359511798,abs_scaled_logit_coefficient
price_spread_abs_std,0.4848149571839312,0.007785436562221317,abs_scaled_logit_coefficient
price_spread_abs_x_elapsed_fraction_std,0.47944513086068563,0.007699204812209706,abs_scaled_logit_coefficient
polymarket_yes_mid_range,0.473736452266842,0.00760753157814812,abs_scaled_logit_coefficient
polymarket_bid_ask_spread_yes_max,0.4720686868776609,0.007580749645277159,abs_scaled_logit_coefficient
kalshi_distance_to_target_range,0.456119460876688,0.007324627829299446,abs_scaled_logit_coefficient
feeds_on_same_side_own_targets_min,0.4203004824190846,0.006749426135595418,abs_scaled_logit_coefficient
k_yes_p_no_kalshi_fee_range,0.40718283305124875,0.0065387754007419484,abs_scaled_logit_coefficient
kalshi_last_price_std,0.4041959409195984,0.00649081017428888,abs_scaled_logit_coefficient
k_no_p_yes_polymarket_fee_min,0.40404399139401354,0.0064883700816832975,abs_scaled_logit_coefficient
polymarket_order_book_imbalance_range,0.4037796846030016,0.006484125691686875,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_10_max,0.4001674628779286,0.0064261185640755785,abs_scaled_logit_coefficient
kalshi_yes_mid_std,0.3991878828029221,0.006410387905566448,abs_scaled_logit_coefficient
feeds_on_same_side_x_elapsed_fraction_mean,0.3979692614827606,0.006390818585682844,abs_scaled_logit_coefficient
feeds_on_same_side_mean,0.39676655470521316,0.006371504830649506,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_10_min,0.3877685107996033,0.006227009082378623,abs_scaled_logit_coefficient
price_between_targets_range,0.3852810706673104,0.006187064342503482,abs_scaled_logit_coefficient
kalshi_btc_price_lag5_std,0.37623253555376296,0.0060417577774652485,abs_scaled_logit_coefficient
kalshi_btc_price_roll10_mean_range,0.3729620182333536,0.005989237935108089,abs_scaled_logit_coefficient
kalshi_order_book_imbalance_change,0.37144727048429776,0.005964913247238429,abs_scaled_logit_coefficient
price_between_targets_max,0.3707181484666462,0.0059532045878201685,abs_scaled_logit_coefficient
kalshi_distance_to_target_std,0.36727742261368035,0.005897951439254256,abs_scaled_logit_coefficient
kalshi_btc_price_roll10_std_last,0.36451733788471363,0.005853628416118702,abs_scaled_logit_coefficient
price_spread_range,0.3629110610973992,0.005827833902472414,abs_scaled_logit_coefficient
kalshi_btc_price_lag5_change,0.34557140935725816,0.0055493838327426905,abs_scaled_logit_coefficient
price_spread_last,0.3401614959797333,0.005462508341828632,abs_scaled_logit_coefficient
implied_prob_spread_roll10_std_max,0.3357747502185095,0.005392063463153727,abs_scaled_logit_coefficient
k_yes_p_no_kalshi_fee_change,0.3329457533867592,0.005346633809959341,abs_scaled_logit_coefficient
feeds_on_same_side_x_elapsed_fraction_last,0.32878170537216533,0.005279765139388675,abs_scaled_logit_coefficient
feeds_on_same_side_last,0.32774930223218574,0.0052631862178148916,abs_scaled_logit_coefficient
kalshi_yes_mid_max,0.32613299452257194,0.005237230621866862,abs_scaled_logit_coefficient
price_spread_max,0.32457344651591324,0.005212186505773361,abs_scaled_logit_coefficient
k_no_p_yes_kalshi_fee_max,0.3166754175716234,0.005085355428470132,abs_scaled_logit_coefficient
k_yes_p_no_polymarket_fee_min,0.3159518754975297,0.0050737363749849135,abs_scaled_logit_coefficient
implied_prob_spread_roll10_std_range,0.3158664551911272,0.005072364646727013,abs_scaled_logit_coefficient
feeds_on_same_side_x_elapsed_fraction_std,0.3085109631920909,0.0049542459387666524,abs_scaled_logit_coefficient
price_between_targets_change,0.3062820468230672,0.00491845272171261,abs_scaled_logit_coefficient
polymarket_order_book_imbalance_mean,0.30142157952415305,0.0048404005509663775,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_5_max,0.30063951130356736,0.004827841651063483,abs_scaled_logit_coefficient
k_yes_p_no_kalshi_fee_max,0.2984937034811254,0.004793383038702639,abs_scaled_logit_coefficient
kalshi_bid_ask_spread_yes_min,0.29231794749195933,0.004694209208017441,abs_scaled_logit_coefficient
k_no_p_yes_total_fee_std,0.29106679724675966,0.0046741175200043705,abs_scaled_logit_coefficient
implied_prob_spread_roll10_std_std,0.2903769489382597,0.004663039540326148,abs_scaled_logit_coefficient
kalshi_yes_mid_range,0.28925321742512156,0.00464499401537097,abs_scaled_logit_coefficient
elapsed_fraction_mean,0.2883184865408617,0.00462998357088216,abs_scaled_logit_coefficient
time_to_close_seconds_mean,0.2883184865407364,0.004629983570880148,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_5_last,0.28754543187544906,0.004617569415816362,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_10_last,0.28432198350721305,0.0045658054336812645,abs_scaled_logit_coefficient
k_no_p_yes_kalshi_fee_change,0.2738438570986106,0.004397541671938119,abs_scaled_logit_coefficient
feeds_on_same_side_std,0.2724677876909603,0.004375443960389153,abs_scaled_logit_coefficient
k_no_p_yes_kalshi_fee_range,0.27220204396006026,0.004371176495188104,abs_scaled_logit_coefficient
kalshi_order_book_imbalance_mean,0.2664766974599801,0.004279235598331247,abs_scaled_logit_coefficient
kalshi_last_price_range,0.2660565612234569,0.004272488809750421,abs_scaled_logit_coefficient
spread_vs_distance_ratio_x_elapsed_fraction_last,0.264053310456353,0.004240319460322549,abs_scaled_logit_coefficient
spread_vs_distance_ratio_last,0.2639358328042817,0.004238432936827085,abs_scaled_logit_coefficient
feeds_on_same_side_own_targets_std,0.25988433146166384,0.0041733716052462224,abs_scaled_logit_coefficient
k_no_p_yes_kalshi_fee_std,0.25931387920482796,0.004164210955824082,abs_scaled_logit_coefficient
polymarket_bid_ask_spread_yes_std,0.2570813386995795,0.004128359540312561,abs_scaled_logit_coefficient
price_spread_roll10_std_std,0.25607683921207064,0.004112228711589352,abs_scaled_logit_coefficient
price_spread_roll10_std_change,0.2533461074390543,0.004068377055050638,abs_scaled_logit_coefficient
polymarket_yes_mid_std,0.251937197506378,0.004045751971520938,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_10_change,0.24887721844423294,0.003996613073231919,abs_scaled_logit_coefficient
feeds_on_same_side_max,0.247452159852914,0.0039737286652825315,abs_scaled_logit_coefficient
k_no_p_yes_kalshi_fee_min,0.2446141931173975,0.003928154968230368,abs_scaled_logit_coefficient
k_no_p_yes_polymarket_fee_max,0.24443284896156975,0.00392524283979826,abs_scaled_logit_coefficient
kalshi_yes_mid_min,0.24099468396923465,0.003870030815000684,abs_scaled_logit_coefficient
kalshi_bid_ask_spread_yes_range,0.23969745831833084,0.0038491992217044267,abs_scaled_logit_coefficient
polymarket_distance_to_target_std,0.2374587766679453,0.003813249188163128,abs_scaled_logit_coefficient
polymarket_distance_to_own_target_std,0.23745877666794463,0.003813249188163118,abs_scaled_logit_coefficient
best_total_fee_std,0.23642922606205274,0.003796716074217281,abs_scaled_logit_coefficient
k_yes_p_no_polymarket_fee_max,0.2360129117498596,0.0037900306602887362,abs_scaled_logit_coefficient
k_no_p_yes_entry_cost_range,0.2308114931758577,0.003706503298474921,abs_scaled_logit_coefficient
nk_plus_p_range,0.23081149317585423,0.003706503298474865,abs_scaled_logit_coefficient
kalshi_distance_to_target_min,0.22900435452595955,0.0036774832298705137,abs_scaled_logit_coefficient
k_yes_p_no_entry_cost_range,0.22561965056326502,0.003623129712940012,abs_scaled_logit_coefficient
k_plus_np_range,0.225619650563262,0.0036231297129399632,abs_scaled_logit_coefficient
k_no_p_yes_polymarket_fee_mean,0.22359041652347397,0.0035905431092212252,abs_scaled_logit_coefficient
kalshi_btc_price_lag10_std,0.21197116045224468,0.003403954433062785,abs_scaled_logit_coefficient
polymarket_order_book_imbalance_change,0.20450388491840826,0.003284040641006954,abs_scaled_logit_coefficient
window_rows,0.2039527765551437,0.003275190626919047,abs_scaled_logit_coefficient
k_yes_p_no_polymarket_fee_mean,0.2012788941509471,0.0032322518901407283,abs_scaled_logit_coefficient
price_spread_abs_x_elapsed_fraction_change,0.20102372309288907,0.003228154206982261,abs_scaled_logit_coefficient
polymarket_yes_mid_min,0.2004291770910679,0.0032186066463884464,abs_scaled_logit_coefficient
polymarket_bid_ask_spread_yes_mean,0.20039455233777956,0.0032180506222472473,abs_scaled_logit_coefficient
polymarket_bid_ask_spread_yes_min,0.19785815967182122,0.00317731977451845,abs_scaled_logit_coefficient
price_spread_abs_change,0.19664964493679762,0.003157912751973833,abs_scaled_logit_coefficient
best_total_fee_range,0.19382958170371534,0.0031126265596291415,abs_scaled_logit_coefficient
price_spread_roll10_std_range,0.192423823005474,0.00309005208042883,abs_scaled_logit_coefficient
price_spread_abs_min,0.19092829078984466,0.003066035966612599,abs_scaled_logit_coefficient
polymarket_distance_to_target_range,0.1901023572017163,0.0030527726514864907,abs_scaled_logit_coefficient
polymarket_distance_to_own_target_range,0.1901023572017163,0.0030527726514864907,abs_scaled_logit_coefficient
price_spread_min,0.19001329683236887,0.0030513424690107064,abs_scaled_logit_coefficient
feeds_on_same_side_own_targets_last,0.1894729519213975,0.003042665300611195,abs_scaled_logit_coefficient
spread_vs_distance_ratio_mean,0.18829446842080397,0.0030237405368481528,abs_scaled_logit_coefficient
price_spread_roll10_std_min,0.18803597875251404,0.0030195895615437807,abs_scaled_logit_coefficient
spread_vs_distance_ratio_x_elapsed_fraction_mean,0.18742744957065627,0.003009817451027362,abs_scaled_logit_coefficient
polymarket_bid_ask_spread_yes_last,0.18627825058267944,0.0029913629547588644,abs_scaled_logit_coefficient
kalshi_distance_to_target_mean,0.1855130738242587,0.002979075307640521,abs_scaled_logit_coefficient
k_no_p_yes_kalshi_fee_mean,0.17716924774045162,0.0028450853642629234,abs_scaled_logit_coefficient
kalshi_distance_to_target_max,0.17332087490476666,0.002783285986714771,abs_scaled_logit_coefficient
price_spread_abs_last,0.1715491654599626,0.0027548348605999115,abs_scaled_logit_coefficient
price_spread_abs_x_elapsed_fraction_last,0.16921621713130147,0.002717371038688904,abs_scaled_logit_coefficient
k_no_p_yes_total_fee_range,0.16714133603768333,0.0026840514084069777,abs_scaled_logit_coefficient
k_no_p_yes_polymarket_fee_range,0.16593643578693432,0.0026647024293232897,abs_scaled_logit_coefficient
feeds_on_same_side_change,0.1610660602265775,0.0025864911460336828,abs_scaled_logit_coefficient
kalshi_btc_price_lag10_range,0.16067530275948566,0.002580216138577377,abs_scaled_logit_coefficient
kalshi_yes_mid_change,0.15885717537284758,0.002551019606537756,abs_scaled_logit_coefficient
polymarket_yes_mid_last,0.15664368042104931,0.0025154740354437427,abs_scaled_logit_coefficient
kalshi_distance_to_target_last,0.15538242211840483,0.002495220026448537,abs_scaled_logit_coefficient
polymarket_order_book_imbalance_std,0.1551165730607843,0.0024909508698506195,abs_scaled_logit_coefficient
