strategy,contract_id,decision_horizon,nominal_horizon,entry_time,direction,all_in_cost,diverge,predicted_diverge_prob,hold_return,emergency_full_loss_return,expected_return_at_entry,would_emergency_exit_if_current_logic
single_5m_hold,KXBTC15M-26MAY280045-45,5m,5m,2026-05-28 04:42:01.519000+00:00,NK+P,0.55207933,0,0.02488176600580092,0.44792067,0.44792067,0.4230389039941991,False
single_5m_hold,KXBTC15M-26MAY280545-45,5m,5m,2026-05-28 09:40:01.465000+00:00,NK+P,0.945917,0,0.040145797846585535,0.05408299999999999,0.05408299999999999,0.013937202153414457,False
single_5m_hold,KXBTC15M-26MAY281015-15,5m,5m,2026-05-28 14:10:01.104000+00:00,K+NP,0.9672549699999999,1,0.024667727457591222,-0.9672549699999999,-0.9672549699999999,0.008077302542408842,False
single_5m_hold,KXBTC15M-26MAY281100-00,5m,5m,2026-05-28 14:57:32.338000+00:00,NK+P,0.5463781700000001,0,0.04449143343729051,0.4536218299999999,0.4536218299999999,0.4091303965627094,False
single_5m_hold,KXBTC15M-26MAY281215-15,5m,5m,2026-05-28 16:10:39.600000+00:00,NK+P,0.959743,0,0.04773189997170761,0.04025699999999999,-0.959743,-0.007474899971707624,True
single_5m_hold,KXBTC15M-26MAY281515-15,5m,5m,2026-05-28 19:10:07.055000+00:00,K+NP,0.84448208,0,0.045932331767731864,0.15551791999999998,0.15551791999999998,0.1095855882322681,False
single_5m_hold,KXBTC15M-26MAY281630-30,5m,5m,2026-05-28 20:25:06.655000+00:00,NK+P,0.9503570800000001,0,0.03741393542769721,0.049642919999999924,0.049642919999999924,0.01222898457230271,False
single_5m_hold,KXBTC15M-26MAY281945-45,5m,5m,2026-05-28 23:40:17.741000+00:00,K+NP,0.53746128,0,0.04650307499217402,0.46253871999999996,0.46253871999999996,0.4160356450078259,False
single_5m_hold,KXBTC15M-26MAY282115-15,5m,5m,2026-05-29 01:10:00.772000+00:00,NK+P,0.7309880000000001,0,0.015532156517185314,0.2690119999999999,0.2690119999999999,0.2534798434828146,False
single_5m_hold,KXBTC15M-26MAY290330-30,5m,5m,2026-05-29 07:25:36.059000+00:00,K+NP,0.960148,0,0.044081514688608665,0.039852,0.039852,-0.004229514688608667,False
single_5m_hold,KXBTC15M-26MAY290600-00,5m,5m,2026-05-29 09:55:07.329000+00:00,K+NP,0.56169232,0,0.012977323126820442,0.43830768,0.43830768,0.42533035687317955,False
single_5m_hold,KXBTC15M-26MAY290615-15,5m,5m,2026-05-29 10:10:04.523000+00:00,K+NP,0.9684479999999999,0,0.044440771700787585,0.031552000000000135,0.031552000000000135,-0.01288877170078745,False
single_5m_hold,KXBTC15M-26MAY290930-30,5m,5m,2026-05-29 13:25:00.223000+00:00,K+NP,0.55944448,0,0.048661732676837925,0.44055552,0.44055552,0.39189378732316205,False
single_5m_hold,KXBTC15M-26MAY291030-30,5m,5m,2026-05-29 14:25:00.396000+00:00,K+NP,0.51425653,0,0.0017010302426994964,0.48574346999999996,0.48574346999999996,0.48404243975730044,False
single_3m_hold,KXBTC15M-26MAY170030-30,3m,3m,2026-05-17 04:27:23.062000+00:00,NK+P,0.7309880000000001,0,0.04498342286629008,0.2690119999999999,0.2690119999999999,0.22402857713370983,False
single_3m_hold,KXBTC15M-26MAY171015-15,3m,3m,2026-05-17 14:12:03.278000+00:00,K+NP,0.6095815699999999,0,0.07632760602631675,0.3904184300000001,0.3904184300000001,0.3140908239736834,False
single_3m_hold,KXBTC15M-26MAY171145-45,3m,3m,2026-05-17 15:42:34.404000+00:00,K+NP,0.806617,0,0.07543060623452034,0.19338299999999997,-0.806617,0.11795239376547963,True
single_3m_hold,KXBTC15M-26MAY172100-00,3m,3m,2026-05-18 00:59:05.325000+00:00,NK+P,0.49568936999999996,0,0.07624352075594375,0.50431063,-0.49568936999999996,0.4280671092440562,True
single_3m_hold,KXBTC15M-26MAY172130-30,3m,3m,2026-05-18 01:28:00.585000+00:00,K+NP,0.67099933,0,0.059687988477100544,0.32900067,0.32900067,0.26931268152289944,False
single_3m_hold,KXBTC15M-26MAY172215-15,3m,3m,2026-05-18 02:12:34.861000+00:00,NK+P,0.94932877,0,0.07736167999393499,0.050671229999999956,0.050671229999999956,-0.026690449993935036,False
