contract_id,source_file,entry_time,decision_horizon,direction,profit_margin,all_in_cost,fee_adjusted_edge,predicted_diverge_prob,diverge,realized_profit,model_expected_profit,sample
KXBTC15M-26MAY171000-00,combined_KXBTC15M-26MAY171000-00.csv,2026-05-17 13:59:16.005000+00:00,2m,K+NP,0.05,0.57552937,0.42447062999999996,0.07032758439322705,0,0.42447062999999996,0.3541430456067729,all
KXBTC15M-26MAY171015-15,combined_KXBTC15M-26MAY171015-15.csv,2026-05-17 14:13:00.397000+00:00,2m,K+NP,0.05,0.60744325,0.39255675,0.042031887623869404,0,0.39255675,0.3505248623761306,all
KXBTC15M-26MAY171030-30,combined_KXBTC15M-26MAY171030-30.csv,2026-05-17 14:29:14.692000+00:00,2m,NK+P,0.05,0.949707,0.05029300000000003,0.07360609429485014,1,-0.949707,-0.02331309429485011,all
KXBTC15M-26MAY171045-45,combined_KXBTC15M-26MAY171045-45.csv,2026-05-17 14:43:03.505000+00:00,2m,K+NP,0.05,0.92480473,0.07519527000000004,0.05463728509859147,0,0.07519527000000004,0.020557984901408567,all
KXBTC15M-26MAY171130-30,combined_KXBTC15M-26MAY171130-30.csv,2026-05-17 15:28:38.360000+00:00,2m,K+NP,0.05,0.78206437,0.21793563000000005,0.048253976464397955,0,0.21793563000000005,0.1696816535356021,all
KXBTC15M-26MAY171200-00,combined_KXBTC15M-26MAY171200-00.csv,2026-05-17 15:59:00.779000+00:00,1m,NK+P,0.05,0.91091748,0.08908252000000005,0.10652326237586822,0,0.08908252000000005,-0.017440742375868165,all
KXBTC15M-26MAY171245-45,combined_KXBTC15M-26MAY171245-45.csv,2026-05-17 16:44:02.328000+00:00,1m,NK+P,0.05,0.92051248,0.07948752000000003,0.1240838127311259,0,0.07948752000000003,-0.044596292731125864,all
KXBTC15M-26MAY171315-15,combined_KXBTC15M-26MAY171315-15.csv,2026-05-17 17:13:00.062000+00:00,2m,K+NP,0.05,0.69515888,0.30484111999999997,0.04665396367473189,0,0.30484111999999997,0.25818715632526806,all
KXBTC15M-26MAY171515-15,combined_KXBTC15M-26MAY171515-15.csv,2026-05-17 19:14:39.317000+00:00,1m,K+NP,0.05,0.94495972,0.05504028000000005,0.07056236582169499,0,0.05504028000000005,-0.01552208582169494,all
KXBTC15M-26MAY171615-15,combined_KXBTC15M-26MAY171615-15.csv,2026-05-17 20:14:00.977000+00:00,1m,K+NP,0.05,0.92688937,0.07311062999999995,0.10297013085954251,0,0.07311062999999995,-0.02985950085954256,all
KXBTC15M-26MAY171630-30,combined_KXBTC15M-26MAY171630-30.csv,2026-05-17 20:28:22.606000+00:00,2m,K+NP,0.05,0.90877888,0.09122112000000004,0.0726252801489866,0,0.09122112000000004,0.018595839851013443,all
KXBTC15M-26MAY171715-15,combined_KXBTC15M-26MAY171715-15.csv,2026-05-17 21:13:01.611000+00:00,2m,K+NP,0.05,0.801157,0.198843,0.04075083858736702,0,0.198843,0.15809216141263296,all
KXBTC15M-26MAY171800-00,combined_KXBTC15M-26MAY171800-00.csv,2026-05-17 21:58:00.375000+00:00,2m,NK+P,0.05,0.78802,0.21197999999999995,0.06130982408106691,0,0.21197999999999995,0.15067017591893303,all
KXBTC15M-26MAY171815-15,combined_KXBTC15M-26MAY171815-15.csv,2026-05-17 22:13:01.336000+00:00,2m,K+NP,0.05,0.86279248,0.13720752000000003,0.016325728506812503,0,0.13720752000000003,0.12088179149318752,all
KXBTC15M-26MAY171830-30,combined_KXBTC15M-26MAY171830-30.csv,2026-05-17 22:28:18.504000+00:00,2m,K+NP,0.05,0.61520937,0.38479063,0.0538448370285674,0,0.38479063,0.3309457929714326,all
KXBTC15M-26MAY171845-45,combined_KXBTC15M-26MAY171845-45.csv,2026-05-17 22:44:14.908000+00:00,1m,NK+P,0.05,0.93864628,0.061353719999999945,0.08061861004409039,0,0.061353719999999945,-0.019264890044090446,all
KXBTC15M-26MAY171915-15,combined_KXBTC15M-26MAY171915-15.csv,2026-05-17 23:13:05.717000+00:00,2m,K+NP,0.05,0.85851472,0.14148528000000005,0.07821296004295959,0,0.14148528000000005,0.06327231995704045,all
KXBTC15M-26MAY171930-30,combined_KXBTC15M-26MAY171930-30.csv,2026-05-17 23:29:00.923000+00:00,1m,K+NP,0.05,0.904595,0.09540499999999996,0.11312240437648188,0,0.09540499999999996,-0.01771740437648192,all
KXBTC15M-26MAY172000-00,combined_KXBTC15M-26MAY172000-00.csv,2026-05-17 23:58:01.837000+00:00,2m,NK+P,0.05,0.94923748,0.05076252000000003,0.049573794931724965,0,0.05076252000000003,0.0011887250682750677,all
KXBTC15M-26MAY172045-45,combined_KXBTC15M-26MAY172045-45.csv,2026-05-18 00:44:07.544000+00:00,2m,K+NP,0.05,0.92581972,0.07418027999999999,0.03853666501136614,0,0.07418027999999999,0.035643614988633845,all
KXBTC15M-26MAY172100-00,combined_KXBTC15M-26MAY172100-00.csv,2026-05-18 00:59:05.325000+00:00,2m,NK+P,0.05,0.49568936999999996,0.50431063,0.008927415318495363,0,0.50431063,0.4953832146815046,all
KXBTC15M-26MAY172130-30,combined_KXBTC15M-26MAY172130-30.csv,2026-05-18 01:28:00.585000+00:00,2m,K+NP,0.05,0.67099933,0.32900067,0.044372402206207626,0,0.32900067,0.28462826779379236,all
