sample,profit_margin,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_fee_adjusted_edge,mean_predicted_diverge_prob,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,bootstrap_expected_total_profit,bootstrap_total_profit_ci_low,bootstrap_total_profit_ci_high,bootstrap_expected_trades,bootstrap_trades_ci_low,bootstrap_trades_ci_high,arb_opportunities,total_arb_opportunity_seconds,avg_arb_opportunity_seconds,bootstrap_expected_avg_arb_opportunity_seconds,bootstrap_avg_arb_opportunity_seconds_ci_low,bootstrap_avg_arb_opportunity_seconds_ci_high
calibration,0.0,232,205,190,0.8189655172413793,10,0.05263157894736842,0.8633779113157893,0.13662208868421052,0.05323728289479576,0.08399050973684212,0.06878533125000001,15.958196850000002,15.843113099988809,15.950189572380001,7.952855019500002,24.046907698749997,190.053,178.0,201.02499999999986,393,9612.347000000002,24.45889821882952,24.52272245306374,21.87798004477135,27.350400467321112
calibration,0.01,232,205,184,0.7931034482758621,10,0.05434782608695652,0.8249014979891305,0.17509850201086954,0.053189927251123016,0.12075067592391303,0.09576777745689655,22.218124369999998,22.431177755793364,22.12880191327,13.619634277750002,30.328553012999997,183.9735,172.0,196.0,400,7955.735,19.8893375,19.95520198471033,17.699464556598066,22.2734220021645
calibration,0.02,232,205,177,0.7629310344827587,10,0.05649717514124294,0.7919748067231639,0.20802519327683613,0.05277654793980697,0.15152801813559322,0.11560542762931034,26.82045921,27.479010224654168,26.87239506917,17.75702596475,35.45890527725,177.0315,164.975,190.0,387,6979.525000000001,18.034948320413438,18.07536822910472,16.086666639894222,20.33011079837752
calibration,0.03,232,205,174,0.75,10,0.05747126436781609,0.7712262320689655,0.22877376793103446,0.052653543050463575,0.17130250356321838,0.12847687767241378,29.806635619999998,30.64491912921934,30.01356090549,20.878748805500003,38.5522041395,174.0205,160.0,187.0,358,6244.455,17.442611731843574,17.460052982073577,15.308337160798157,20.061581127360803
calibration,0.04,232,205,170,0.7327586206896551,10,0.058823529411764705,0.757293748235294,0.2427062517647059,0.05298760030781375,0.18388272235294117,0.13474165,31.2600628,32.252170747671656,31.165692992385,21.982406964249996,39.66202985975,169.7515,157.0,182.0,329,5651.883,17.178975683890577,17.26738377029003,15.01284235002419,19.781773615980605
calibration,0.05,232,205,160,0.6896551724137931,9,0.05625,0.7318704556875,0.26812954431249997,0.05223565789648625,0.21187954431249997,0.1461238236637931,33.90072709,34.543021826562196,33.996813284495005,25.854163185499996,42.098512425,159.7575,146.0,173.0,288,5166.139999999999,17.93798611111111,17.99712776639578,15.425463144720874,20.687321243914724
calibration,0.06,232,205,158,0.6810344827586207,9,0.056962025316455694,0.709666684556962,0.2903333154430379,0.05211333232225685,0.23337129012658228,0.15893389586206896,36.87266384,37.63875733308342,36.89640912847,28.248442533500004,44.794646617999994,158.1165,144.0,172.0,270,4943.491,18.309225925925926,18.328082727122798,15.907494573447757,20.938229356060607
calibration,0.07,232,205,151,0.6508620689655172,8,0.052980132450331126,0.6924085994039735,0.30759140059602647,0.05091961179767772,0.25461126814569535,0.16571681676724137,38.446301489999996,38.75744010855066,38.416338812910006,30.39970839575,46.2926978095,150.9245,136.0,165.0,256,4763.585,18.60775390625,18.64394723243722,16.04291619170602,21.341193907692308
calibration,0.08,232,205,147,0.6336206896551724,8,0.05442176870748299,0.6845464057142857,0.3154535942857143,0.05064491025704444,0.2610318255782313,0.16539516534482757,38.37167836,38.926876552214466,38.47993930467,30.6915151915,46.3996097525,147.128,132.0,162.0,248,4512.367,18.195028225806453,18.265770549042333,15.847385928910251,20.892087225109957
calibration,0.09,232,205,143,0.6163793103448276,8,0.055944055944055944,0.6745338085314685,0.32546619146853145,0.050635389580818355,0.2695221355244755,0.16612786801724136,38.54166538,39.30080466994298,38.65879381995,30.353422551499996,46.56763051099999,143.2125,129.0,157.0,236,4320.027,18.30519915254237,18.32067996580845,15.953757959641258,21.049577140611575
