threshold,precision,recall,f1
0.01,0.0779816513761468,0.9444444444444444,0.1440677966101695
0.02,0.08629441624365482,0.9444444444444444,0.15813953488372093
0.03,0.09497206703910614,0.9444444444444444,0.17258883248730963
0.04,0.10625,0.9444444444444444,0.19101123595505617
0.05,0.12056737588652482,0.9444444444444444,0.2138364779874214
0.060000000000000005,0.14049586776859505,0.9444444444444444,0.2446043165467626
0.06999999999999999,0.1588785046728972,0.9444444444444444,0.272
0.08,0.1797752808988764,0.8888888888888888,0.29906542056074764
0.09,0.17567567567567569,0.7222222222222222,0.2826086956521739
0.09999999999999999,0.1875,0.6666666666666666,0.2926829268292683
0.11,0.20689655172413793,0.6666666666666666,0.3157894736842105
0.12,0.21739130434782608,0.5555555555555556,0.3125
0.13,0.1951219512195122,0.4444444444444444,0.2711864406779661
0.14,0.2413793103448276,0.3888888888888889,0.2978723404255319
0.15000000000000002,0.3,0.3333333333333333,0.3157894736842105
0.16,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.17,0.375,0.3333333333333333,0.35294117647058826
0.18000000000000002,0.6,0.3333333333333333,0.42857142857142855
0.19,0.75,0.3333333333333333,0.46153846153846156
0.2,0.7142857142857143,0.2777777777777778,0.4
0.21000000000000002,0.6666666666666666,0.2222222222222222,0.3333333333333333
0.22,0.6,0.16666666666666666,0.2608695652173913
0.23,0.3333333333333333,0.05555555555555555,0.09523809523809523
0.24000000000000002,0.3333333333333333,0.05555555555555555,0.09523809523809523
0.25,0.3333333333333333,0.05555555555555555,0.09523809523809523
0.26,0.3333333333333333,0.05555555555555555,0.09523809523809523
0.27,0.0,0.0,0.0
0.28,0.0,0.0,0.0
0.29000000000000004,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.31,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.33,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0
0.36000000000000004,0.0,0.0,0.0
0.37,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.39,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.41000000000000003,0.0,0.0,0.0
0.42000000000000004,0.0,0.0,0.0
0.43,0.0,0.0,0.0
0.44,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.46,0.0,0.0,0.0
0.47000000000000003,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0
0.49,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.51,0.0,0.0,0.0
0.52,0.0,0.0,0.0
0.53,0.0,0.0,0.0
0.54,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.56,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0
0.5800000000000001,0.0,0.0,0.0
0.59,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.61,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.63,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.67,0.0,0.0,0.0
0.68,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.7100000000000001,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9600000000000001,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
