sample,condition,denominator_pass_count,joint_count,joint_probability,conditional_probability
test,3m given 5m,44,35,0.15086206896551724,0.7954545454545454
test,2m given 3m,135,114,0.49137931034482757,0.8444444444444444
test,1m given 2m,144,139,0.5991379310344828,0.9652777777777778
all,3m given 5m,245,202,0.17474048442906576,0.8244897959183674
all,2m given 3m,613,496,0.4290657439446367,0.8091353996737357
all,1m given 2m,669,653,0.5648788927335641,0.976083707025411
