sample,contract_id,source_file,threshold_2m,threshold_1m,decision_horizon,entry_time,direction,all_in_cost,fee_adjusted_edge,predicted_diverge_prob,diverge,realized_profit,model_expected_profit,selection
calibration,KXBTC15M-26MAY201100-00,combined_KXBTC15M-26MAY201100-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-20 14:58:15.530000+00:00,NK+P,0.5886724799999999,0.41132752000000006,0.06150571787924782,0,0.41132752000000006,0.34982180212075226,saved_thresholds_calibration
calibration,KXBTC15M-26MAY201115-15,combined_KXBTC15M-26MAY201115-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-20 15:13:00.849000+00:00,K+NP,0.7462724799999999,0.2537275200000001,0.06637841867714216,0,0.2537275200000001,0.18734910132285792,saved_thresholds_calibration
calibration,KXBTC15M-26MAY201300-00,combined_KXBTC15M-26MAY201300-00.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-20 16:59:25.683000+00:00,K+NP,0.80043472,0.19956527999999996,0.025093129383629318,1,-0.80043472,0.17447215061637064,saved_thresholds_calibration
calibration,KXBTC15M-26MAY201400-00,combined_KXBTC15M-26MAY201400-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-20 17:58:02.113000+00:00,K+NP,0.65686825,0.34313174999999996,0.05042265455466234,0,0.34313174999999996,0.29270909544533763,saved_thresholds_calibration
calibration,KXBTC15M-26MAY201415-15,combined_KXBTC15M-26MAY201415-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-20 18:13:44.006000+00:00,K+NP,0.64700325,0.35299674999999997,0.07120102937154708,0,0.35299674999999997,0.2817957206284529,saved_thresholds_calibration
calibration,KXBTC15M-26MAY201645-45,combined_KXBTC15M-26MAY201645-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-20 20:44:29.029000+00:00,NK+P,0.7517597199999999,0.2482402800000001,0.0005731386194544873,0,0.2482402800000001,0.2476671413805456,saved_thresholds_calibration
calibration,KXBTC15M-26MAY201745-45,combined_KXBTC15M-26MAY201745-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-20 21:43:39.149000+00:00,NK+P,0.6252679999999999,0.37473200000000007,0.06333833390942298,0,0.37473200000000007,0.31139366609057706,saved_thresholds_calibration
calibration,KXBTC15M-26MAY202215-15,combined_KXBTC15M-26MAY202215-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-21 02:13:54.844000+00:00,K+NP,0.813295,0.186705,0.05960338427761473,1,-0.813295,0.12710161572238526,saved_thresholds_calibration
calibration,KXBTC15M-26MAY210000-00,combined_KXBTC15M-26MAY210000-00.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-21 03:59:01.407000+00:00,NK+P,0.72350437,0.27649563,0.010751393314233783,0,0.27649563,0.2657442366857662,saved_thresholds_calibration
calibration,KXBTC15M-26MAY210630-30,combined_KXBTC15M-26MAY210630-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-21 10:29:29.245000+00:00,K+NP,0.34319472,0.6568052799999999,0.0004060427747448292,0,0.6568052799999999,0.6563992372252551,saved_thresholds_calibration
calibration,KXBTC15M-26MAY210645-45,combined_KXBTC15M-26MAY210645-45.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-21 10:44:22.030000+00:00,K+NP,0.81695088,0.18304911999999995,0.13190088854018073,0,0.18304911999999995,0.05114823145981923,saved_thresholds_calibration
calibration,KXBTC15M-26MAY210830-30,combined_KXBTC15M-26MAY210830-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-21 12:28:33.433000+00:00,K+NP,0.46879248000000007,0.5312075199999999,0.00570197873728428,0,0.5312075199999999,0.5255055412627156,saved_thresholds_calibration
calibration,KXBTC15M-26MAY211030-30,combined_KXBTC15M-26MAY211030-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-21 14:29:58.120000+00:00,K+NP,0.76151472,0.23848528000000002,0.06324575380855328,0,0.23848528000000002,0.17523952619144673,saved_thresholds_calibration
calibration,KXBTC15M-26MAY211115-15,combined_KXBTC15M-26MAY211115-15.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-21 15:14:01.165000+00:00,NK+P,0.55455972,0.44544028,0.008847622132318957,0,0.44544028,0.4365926578676811,saved_thresholds_calibration
calibration,KXBTC15M-26MAY211515-15,combined_KXBTC15M-26MAY211515-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-21 19:13:00.626000+00:00,NK+P,0.6437947199999999,0.35620528000000007,0.045371955059116315,0,0.35620528000000007,0.3108333249408838,saved_thresholds_calibration
calibration,KXBTC15M-26MAY211900-00,combined_KXBTC15M-26MAY211900-00.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-21 22:59:24.985000+00:00,K+NP,0.69067933,0.30932066999999996,0.13028997608453474,0,0.30932066999999996,0.17903069391546522,saved_thresholds_calibration
calibration,KXBTC15M-26MAY212000-00,combined_KXBTC15M-26MAY212000-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-21 23:58:01.574000+00:00,K+NP,0.55455972,0.44544028,0.01689103873214984,0,0.44544028,0.42854924126785016,saved_thresholds_calibration
calibration,KXBTC15M-26MAY212230-30,combined_KXBTC15M-26MAY212230-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-22 02:29:16.267000+00:00,K+NP,0.8170853299999999,0.18291467000000006,0.07355058791985015,0,0.18291467000000006,0.1093640820801499,saved_thresholds_calibration
calibration,KXBTC15M-26MAY212330-30,combined_KXBTC15M-26MAY212330-30.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-22 03:29:01.443000+00:00,NK+P,0.39391972000000003,0.60608028,0.07864218314099451,0,0.60608028,0.5274380968590056,saved_thresholds_calibration
calibration,KXBTC15M-26MAY220345-45,combined_KXBTC15M-26MAY220345-45.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-22 07:44:43.103000+00:00,K+NP,0.52463472,0.47536528,0.0650936985198679,0,0.47536528,0.4102715814801321,saved_thresholds_calibration
calibration,KXBTC15M-26MAY220445-45,combined_KXBTC15M-26MAY220445-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-22 08:43:01.009000+00:00,K+NP,0.5167788799999999,0.48322112000000006,0.04707932039238086,0,0.48322112000000006,0.43614179960761923,saved_thresholds_calibration
calibration,KXBTC15M-26MAY220530-30,combined_KXBTC15M-26MAY220530-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-22 09:28:00.776000+00:00,NK+P,0.56665388,0.43334611999999995,0.04487738855321885,0,0.43334611999999995,0.38846873144678107,saved_thresholds_calibration
calibration,KXBTC15M-26MAY220745-45,combined_KXBTC15M-26MAY220745-45.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-22 11:44:21.918000+00:00,NK+P,0.5953893699999999,0.4046106300000001,0.10455800401838579,0,0.4046106300000001,0.3000526259816143,saved_thresholds_calibration
calibration,KXBTC15M-26MAY220845-45,combined_KXBTC15M-26MAY220845-45.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-22 12:44:14.136000+00:00,NK+P,0.8183170000000001,0.18168299999999993,0.06999369346127716,0,0.18168299999999993,0.11168930653872276,saved_thresholds_calibration
calibration,KXBTC15M-26MAY221130-30,combined_KXBTC15M-26MAY221130-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-22 15:29:11.276000+00:00,NK+P,0.55562937,0.44437063,0.05114597303588616,0,0.44437063,0.39322465696411385,saved_thresholds_calibration
calibration,KXBTC15M-26MAY221230-30,combined_KXBTC15M-26MAY221230-30.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-22 16:29:08.739000+00:00,NK+P,0.52570437,0.47429562999999997,0.08805757341492902,0,0.47429562999999997,0.38623805658507093,saved_thresholds_calibration
calibration,KXBTC15M-26MAY221500-00,combined_KXBTC15M-26MAY221500-00.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-22 18:59:01.727000+00:00,K+NP,0.48204433,0.51795567,0.0643528967105991,0,0.51795567,0.4536027732894009,saved_thresholds_calibration
calibration,KXBTC15M-26MAY221530-30,combined_KXBTC15M-26MAY221530-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-22 19:29:05.142000+00:00,NK+P,0.8025070000000001,0.19749299999999992,0.028443908766944154,0,0.19749299999999992,0.16904909123305575,saved_thresholds_calibration
calibration,KXBTC15M-26MAY221545-45,combined_KXBTC15M-26MAY221545-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-22 19:43:01.243000+00:00,K+NP,0.49461972,0.50538028,0.009747376650839615,0,0.50538028,0.4956329033491604,saved_thresholds_calibration
calibration,KXBTC15M-26MAY221800-00,combined_KXBTC15M-26MAY221800-00.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-22 21:59:06.043000+00:00,NK+P,0.707012,0.292988,0.10874129718159443,0,0.292988,0.1842467028184056,saved_thresholds_calibration
calibration,KXBTC15M-26MAY221815-15,combined_KXBTC15M-26MAY221815-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-22 22:13:26.957000+00:00,K+NP,0.54279973,0.45720026999999996,0.06153682518500839,0,0.45720026999999996,0.3956634448149916,saved_thresholds_calibration
calibration,KXBTC15M-26MAY221845-45,combined_KXBTC15M-26MAY221845-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-22 22:43:02.084000+00:00,K+NP,0.6853338800000001,0.31466611999999994,0.037027240875882154,0,0.31466611999999994,0.2776388791241178,saved_thresholds_calibration
calibration,KXBTC15M-26MAY221915-15,combined_KXBTC15M-26MAY221915-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-22 23:13:00.902000+00:00,NK+P,0.56451472,0.43548528,0.0387020068485842,0,0.43548528,0.39678327315141576,saved_thresholds_calibration
calibration,KXBTC15M-26MAY222100-00,combined_KXBTC15M-26MAY222100-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-23 00:58:01.284000+00:00,NK+P,0.5730680000000001,0.42693199999999987,0.026121453590792057,0,0.42693199999999987,0.4008105464092078,saved_thresholds_calibration
calibration,KXBTC15M-26MAY222130-30,combined_KXBTC15M-26MAY222130-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-23 01:29:24.898000+00:00,NK+P,0.53461972,0.46538028,0.05155115675735755,0,0.46538028,0.4138291232426424,saved_thresholds_calibration
calibration,KXBTC15M-26MAY222215-15,combined_KXBTC15M-26MAY222215-15.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-23 02:14:38.126000+00:00,NK+P,0.41413972000000004,0.5858602799999999,0.059516101888718094,1,-0.41413972000000004,0.5263441781112818,saved_thresholds_calibration
