contract_id,baseline_entry_time,baseline_direction,baseline_all_in_cost,diverge,trade_quality,taken_by_any_2_1_latch_hold,good_missed,bad_avoided
KXBTC15M-26MAY202145-45,2026-05-21 01:43:00.502000+00:00,NK+P,0.938605,0,good,True,False,False
KXBTC15M-26MAY202330-30,2026-05-21 03:28:00.491000+00:00,NK+P,0.30991933,0,good,True,False,False
KXBTC15M-26MAY210100-00,2026-05-21 04:58:42.902000+00:00,NK+P,0.57873748,0,good,True,False,False
KXBTC15M-26MAY210115-15,2026-05-21 05:13:00.862000+00:00,K+NP,0.40140433000000003,0,good,True,False,False
KXBTC15M-26MAY210515-15,2026-05-21 09:13:42.553000+00:00,K+NP,0.931248,0,good,False,True,False
KXBTC15M-26MAY210600-00,2026-05-21 09:58:00.554000+00:00,K+NP,0.9579880000000001,0,good,True,False,False
KXBTC15M-26MAY211100-00,2026-05-21 14:58:00.389000+00:00,NK+P,0.8272,1,bad,False,False,True
KXBTC15M-26MAY211130-30,2026-05-21 15:28:20.955000+00:00,NK+P,0.52998157,0,good,True,False,False
KXBTC15M-26MAY211145-45,2026-05-21 15:43:00.432000+00:00,K+NP,0.94066453,0,good,True,False,False
KXBTC15M-26MAY211200-00,2026-05-21 15:58:00.255000+00:00,NK+P,0.9565706799999999,0,good,False,True,False
KXBTC15M-26MAY211300-00,2026-05-21 16:58:00.563000+00:00,NK+P,0.5677232500000001,0,good,True,False,False
KXBTC15M-26MAY211315-15,2026-05-21 17:13:00.871000+00:00,NK+P,0.7343588799999999,0,good,True,False,False
KXBTC15M-26MAY211345-45,2026-05-21 17:43:07.440000+00:00,K+NP,0.957825,0,good,False,True,False
KXBTC15M-26MAY211545-45,2026-05-21 19:43:39.986000+00:00,NK+P,0.7081815699999999,0,good,False,True,False
KXBTC15M-26MAY211615-15,2026-05-21 20:13:00.069000+00:00,NK+P,0.808532,0,good,False,True,False
KXBTC15M-26MAY211730-30,2026-05-21 21:28:01.352000+00:00,NK+P,0.88842,0,good,True,False,False
KXBTC15M-26MAY211800-00,2026-05-21 21:58:15.617000+00:00,K+NP,0.6371282500000001,0,good,True,False,False
KXBTC15M-26MAY212015-15,2026-05-22 00:13:00.444000+00:00,K+NP,0.82951972,0,good,True,False,False
KXBTC15M-26MAY212115-15,2026-05-22 01:13:37.946000+00:00,NK+P,0.55990657,0,good,True,False,False
KXBTC15M-26MAY220045-45,2026-05-22 04:43:00.529000+00:00,K+NP,0.54566437,0,good,True,False,False
KXBTC15M-26MAY220130-30,2026-05-22 05:28:02.143000+00:00,K+NP,0.5167788799999999,0,good,True,False,False
KXBTC15M-26MAY220400-00,2026-05-22 07:58:17.861000+00:00,K+NP,0.5199865699999999,0,good,True,False,False
KXBTC15M-26MAY220930-30,2026-05-22 13:28:00.100000+00:00,K+NP,0.42530437,0,good,True,False,False
KXBTC15M-26MAY221000-00,2026-05-22 13:58:01.852000+00:00,NK+P,0.8610163200000002,0,good,True,False,False
KXBTC15M-26MAY221145-45,2026-05-22 15:43:07.633000+00:00,K+NP,0.51784825,0,good,True,False,False
KXBTC15M-26MAY221300-00,2026-05-22 16:58:46.487000+00:00,NK+P,0.7809947199999999,0,good,False,True,False
KXBTC15M-26MAY221515-15,2026-05-22 19:13:00.422000+00:00,K+NP,0.48887248,0,good,True,False,False
KXBTC15M-26MAY221645-45,2026-05-22 20:43:00.364000+00:00,K+NP,0.965297,0,good,False,True,False
KXBTC15M-26MAY221830-30,2026-05-22 22:28:00.208000+00:00,K+NP,0.50463472,0,good,True,False,False
KXBTC15M-26MAY222115-15,2026-05-23 01:13:03.297000+00:00,K+NP,0.96382,0,good,True,False,False
KXBTC15M-26MAY222145-45,2026-05-23 01:43:01.147000+00:00,K+NP,0.598228,0,good,False,True,False
KXBTC15M-26MAY230045-45,2026-05-23 04:43:00.627000+00:00,K+NP,0.8282001200000001,0,good,True,False,False
KXBTC15M-26MAY230100-00,2026-05-23 04:58:48.082000+00:00,NK+P,0.9370080000000001,0,good,True,False,False
KXBTC15M-26MAY230245-45,2026-05-23 06:43:01.081000+00:00,K+NP,0.7968930000000001,0,good,False,True,False
KXBTC15M-26MAY230315-15,2026-05-23 07:13:29.327000+00:00,K+NP,0.96840925,0,good,True,False,False
KXBTC15M-26MAY230330-30,2026-05-23 07:28:00.704000+00:00,K+NP,0.8713682500000001,0,good,True,False,False
KXBTC15M-26MAY230700-00,2026-05-23 10:58:26.654000+00:00,K+NP,0.59081052,0,good,True,False,False
KXBTC15M-26MAY230815-15,2026-05-23 12:13:01.026000+00:00,K+NP,0.77232937,0,good,True,False,False
KXBTC15M-26MAY230915-15,2026-05-23 13:13:06.015000+00:00,NK+P,0.5278432500000001,0,good,True,False,False
KXBTC15M-26MAY231045-45,2026-05-23 14:43:02.509000+00:00,NK+P,0.45552937,0,good,True,False,False
KXBTC15M-26MAY231315-15,2026-05-23 17:13:00.766000+00:00,K+NP,0.8444919999999999,1,bad,False,False,True
KXBTC15M-26MAY231430-30,2026-05-23 18:28:00.350000+00:00,NK+P,0.50169232,0,good,True,False,False
KXBTC15M-26MAY231515-15,2026-05-23 19:13:03.117000+00:00,K+NP,0.9482200000000001,0,good,True,False,False
KXBTC15M-26MAY231715-15,2026-05-23 21:13:01.541000+00:00,K+NP,0.5677232500000001,0,good,True,False,False
KXBTC15M-26MAY231930-30,2026-05-23 23:28:00.059000+00:00,K+NP,0.92881132,0,good,True,False,False
KXBTC15M-26MAY232200-00,2026-05-24 01:58:22.528000+00:00,NK+P,0.96205732,0,good,True,False,False
KXBTC15M-26MAY232215-15,2026-05-24 02:13:01.629000+00:00,NK+P,0.966925,0,good,True,False,False
KXBTC15M-26MAY232300-00,2026-05-24 02:58:03.202000+00:00,NK+P,0.8981630000000002,1,bad,False,False,True
KXBTC15M-26MAY240015-15,2026-05-24 04:13:01.130000+00:00,K+NP,0.917833,0,good,True,False,False
KXBTC15M-26MAY240045-45,2026-05-24 04:43:14.306000+00:00,NK+P,0.9643480000000001,0,good,True,False,False
KXBTC15M-26MAY240215-15,2026-05-24 06:13:09.817000+00:00,K+NP,0.9690280000000001,0,good,True,False,False
KXBTC15M-26MAY240315-15,2026-05-24 07:13:00.264000+00:00,K+NP,0.56986157,0,good,True,False,False
KXBTC15M-26MAY240345-45,2026-05-24 07:43:52.716000+00:00,K+NP,0.96520492,0,good,True,False,False
KXBTC15M-26MAY240445-45,2026-05-24 08:43:02.187000+00:00,K+NP,0.696193,0,good,False,True,False
KXBTC15M-26MAY241030-30,2026-05-24 14:28:16.148000+00:00,NK+P,0.826012,0,good,True,False,False
KXBTC15M-26MAY241530-30,2026-05-24 19:29:23.109000+00:00,NK+P,0.9643480000000001,0,good,True,False,False
KXBTC15M-26MAY241615-15,2026-05-24 20:14:04.470000+00:00,K+NP,0.92581972,0,good,True,False,False
KXBTC15M-26MAY242030-30,2026-05-25 00:28:27.926000+00:00,K+NP,0.9489970000000001,1,bad,True,False,False
KXBTC15M-26MAY242345-45,2026-05-25 03:43:02.002000+00:00,K+NP,0.958867,0,good,False,True,False
KXBTC15M-26MAY250230-30,2026-05-25 06:28:56.506000+00:00,K+NP,0.96512937,0,good,True,False,False
KXBTC15M-26MAY250245-45,2026-05-25 06:43:00.477000+00:00,NK+P,0.6437947199999999,0,good,True,False,False
KXBTC15M-26MAY250315-15,2026-05-25 07:13:24.991000+00:00,K+NP,0.37740925000000003,0,good,True,False,False
KXBTC15M-26MAY250545-45,2026-05-25 09:43:34.215000+00:00,NK+P,0.76351817,0,good,True,False,False
KXBTC15M-26MAY250730-30,2026-05-25 11:28:09.986000+00:00,K+NP,0.9631601200000001,0,good,True,False,False
KXBTC15M-26MAY250815-15,2026-05-25 12:13:54.105000+00:00,NK+P,0.969652,0,good,True,False,False
KXBTC15M-26MAY250915-15,2026-05-25 13:13:00.938000+00:00,K+NP,0.92480012,0,good,True,False,False
KXBTC15M-26MAY250930-30,2026-05-25 13:28:51.632000+00:00,NK+P,0.962092,0,good,False,True,False
KXBTC15M-26MAY250945-45,2026-05-25 13:43:00.193000+00:00,K+NP,0.808308,1,bad,False,False,True
KXBTC15M-26MAY251130-30,2026-05-25 15:28:00.119000+00:00,K+NP,0.93333232,0,good,True,False,False
KXBTC15M-26MAY251145-45,2026-05-25 15:43:00.836000+00:00,K+NP,0.937268,0,good,True,False,False
KXBTC15M-26MAY251200-00,2026-05-25 15:58:00.017000+00:00,K+NP,0.9530199999999999,0,good,True,False,False
KXBTC15M-26MAY251215-15,2026-05-25 16:13:00.916000+00:00,K+NP,0.963068,0,good,True,False,False
KXBTC15M-26MAY251230-30,2026-05-25 16:28:40.873000+00:00,NK+P,0.63391972,0,good,True,False,False
KXBTC15M-26MAY251500-00,2026-05-25 18:58:01.719000+00:00,K+NP,0.483113,0,good,True,False,False
KXBTC15M-26MAY251715-15,2026-05-25 21:13:12.520000+00:00,NK+P,0.56879248,0,good,True,False,False
KXBTC15M-26MAY251845-45,2026-05-25 22:43:01.721000+00:00,K+NP,0.50677388,0,good,True,False,False
KXBTC15M-26MAY251900-00,2026-05-25 22:58:02.010000+00:00,NK+P,0.838345,0,good,True,False,False
KXBTC15M-26MAY251945-45,2026-05-25 23:43:00.696000+00:00,NK+P,0.5189174799999999,0,good,True,False,False
KXBTC15M-26MAY252000-00,2026-05-25 23:59:04.259000+00:00,NK+P,0.965297,1,bad,True,False,False
KXBTC15M-26MAY252015-15,2026-05-26 00:13:04.118000+00:00,K+NP,0.8852793299999999,0,good,True,False,False
KXBTC15M-26MAY252100-00,2026-05-26 00:58:54.768000+00:00,NK+P,0.9483870000000001,0,good,False,True,False
KXBTC15M-26MAY252300-00,2026-05-26 02:58:06.248000+00:00,NK+P,0.965297,0,good,True,False,False
KXBTC15M-26MAY260045-45,2026-05-26 04:43:00.621000+00:00,NK+P,0.81057372,0,good,True,False,False
KXBTC15M-26MAY260345-45,2026-05-26 07:43:00.963000+00:00,K+NP,0.95771632,0,good,True,False,False
KXBTC15M-26MAY260515-15,2026-05-26 09:13:00.976000+00:00,K+NP,0.8824200000000001,0,good,True,False,False
KXBTC15M-26MAY260600-00,2026-05-26 09:58:01.343000+00:00,K+NP,0.87751537,0,good,True,False,False
KXBTC15M-26MAY260630-30,2026-05-26 10:28:01.853000+00:00,NK+P,0.81983472,0,good,True,False,False
KXBTC15M-26MAY260715-15,2026-05-26 11:13:13.668000+00:00,K+NP,0.55562937,0,good,True,False,False
KXBTC15M-26MAY260915-15,2026-05-26 13:13:11.789000+00:00,K+NP,0.58760325,0,good,True,False,False
KXBTC15M-26MAY261100-00,2026-05-26 14:58:42.377000+00:00,NK+P,0.52998157,0,good,True,False,False
KXBTC15M-26MAY261145-45,2026-05-26 15:43:04.341000+00:00,K+NP,0.9695540800000001,0,good,True,False,False
KXBTC15M-26MAY261215-15,2026-05-26 16:13:06.998000+00:00,K+NP,0.57445972,0,good,True,False,False
KXBTC15M-26MAY261345-45,2026-05-26 17:43:09.406000+00:00,K+NP,0.953513,0,good,True,False,False
KXBTC15M-26MAY261430-30,2026-05-26 18:28:00.398000+00:00,NK+P,0.5631130000000001,0,good,True,False,False
KXBTC15M-26MAY261515-15,2026-05-26 19:13:00.350000+00:00,NK+P,0.844527,0,good,True,False,False
KXBTC15M-26MAY261530-30,2026-05-26 19:28:39.127000+00:00,NK+P,0.54673388,0,good,True,False,False
KXBTC15M-26MAY261545-45,2026-05-26 19:43:01.522000+00:00,NK+P,0.52463472,0,good,True,False,False
KXBTC15M-26MAY261600-00,2026-05-26 19:58:53.084000+00:00,NK+P,0.9598369999999999,0,good,True,False,False
KXBTC15M-26MAY261615-15,2026-05-26 20:13:00.613000+00:00,NK+P,0.96093052,0,good,True,False,False
KXBTC15M-26MAY261700-00,2026-05-26 20:58:08.934000+00:00,NK+P,0.96521008,0,good,True,False,False
KXBTC15M-26MAY261830-30,2026-05-26 22:28:00.744000+00:00,K+NP,0.734507,0,good,False,True,False
KXBTC15M-26MAY261900-00,2026-05-26 22:58:06.896000+00:00,K+NP,0.5363931700000001,0,good,True,False,False
