threshold,contracts,mean_proxy_return,total_proxy_return,diverge_rate
0.01,3,0.47948024,1.43844072,0.0
0.014915254237288136,4,0.3630134625,1.45205385,0.0
0.01983050847457627,7,0.24812794428571427,1.73689561,0.0
0.024745762711864405,10,0.086472381,0.86472381,0.1
0.02966101694915254,13,0.10143679307692308,1.31867831,0.07692307692307693
0.034576271186440674,15,0.08870414333333332,1.3305621499999998,0.06666666666666667
0.039491525423728815,17,0.08866260176470589,1.50726423,0.058823529411764705
0.04440677966101695,20,0.079336819,1.58673638,0.05
0.049322033898305084,23,0.046318404347826074,1.0653232999999998,0.08695652173913043
0.05423728813559322,37,0.023109133243243242,0.85503793,0.08108108108108109
0.05915254237288135,41,0.0025975475609756027,0.10649944999999972,0.0975609756097561
0.06406779661016948,53,0.01828577075471698,0.9691458499999999,0.07547169811320754
0.06898305084745762,61,0.018517119999999998,1.12954432,0.06557377049180328
0.07389830508474575,69,0.024583293188405797,1.69624723,0.057971014492753624
0.07881355932203389,76,0.032633854999999996,2.48017298,0.05263157894736842
0.08372881355932202,84,0.020034324166666666,1.6828832299999998,0.05952380952380952
0.08864406779661016,96,0.0020228267708333318,0.19419136999999986,0.07291666666666667
0.0935593220338983,103,0.0050326587378640795,0.5183638500000002,0.06796116504854369
0.09847457627118643,108,0.007544068518518521,0.8147594000000002,0.06481481481481481
0.10338983050847457,117,0.009670063760683757,1.1313974599999996,0.05982905982905983
0.1083050847457627,120,0.010526903833333328,1.2632284599999994,0.058333333333333334
0.11322033898305084,124,0.004416423064516126,0.5476364599999997,0.06451612903225806
0.11813559322033897,125,0.0052897316799999945,0.6612164599999993,0.064
0.12305084745762711,127,-0.0004949491338582722,-0.06285854000000057,0.07086614173228346
0.12796610169491526,130,-0.015023119538461544,-1.9530055400000008,0.08461538461538462
0.13288135593220338,132,-0.01402655712121213,-1.8515055400000011,0.08333333333333333
0.13779661016949152,134,-0.012812093582089557,-1.7168205400000007,0.08208955223880597
0.14271186440677966,134,-0.012812093582089557,-1.7168205400000007,0.08208955223880597
0.1476271186440678,135,-0.019370559555555566,-2.6150255400000013,0.08888888888888889
0.15254237288135594,137,-0.02622835430656935,-3.593284540000001,0.0948905109489051
0.15745762711864406,137,-0.02622835430656935,-3.593284540000001,0.0948905109489051
0.1623728813559322,137,-0.02622835430656935,-3.593284540000001,0.0948905109489051
0.16728813559322034,137,-0.02622835430656935,-3.593284540000001,0.0948905109489051
0.17220338983050848,137,-0.02622835430656935,-3.593284540000001,0.0948905109489051
0.17711864406779662,138,-0.023018786521739137,-3.176592540000001,0.09420289855072464
0.18203389830508473,138,-0.023018786521739137,-3.176592540000001,0.09420289855072464
0.18694915254237288,138,-0.023018786521739137,-3.176592540000001,0.09420289855072464
0.19186440677966102,138,-0.023018786521739137,-3.176592540000001,0.09420289855072464
0.19677966101694916,138,-0.023018786521739137,-3.176592540000001,0.09420289855072464
0.20169491525423727,140,-0.029678553857142857,-4.15499754,0.1
0.20661016949152541,140,-0.029678553857142857,-4.15499754,0.1
0.21152542372881356,140,-0.029678553857142857,-4.15499754,0.1
0.2164406779661017,140,-0.029678553857142857,-4.15499754,0.1
0.22135593220338984,140,-0.029678553857142857,-4.15499754,0.1
0.22627118644067795,140,-0.029678553857142857,-4.15499754,0.1
0.2311864406779661,140,-0.029678553857142857,-4.15499754,0.1
0.23610169491525423,140,-0.029678553857142857,-4.15499754,0.1
0.24101694915254238,140,-0.029678553857142857,-4.15499754,0.1
0.24593220338983052,140,-0.029678553857142857,-4.15499754,0.1
0.25084745762711863,140,-0.029678553857142857,-4.15499754,0.1
0.25576271186440674,140,-0.029678553857142857,-4.15499754,0.1
0.2606779661016949,140,-0.029678553857142857,-4.15499754,0.1
0.265593220338983,140,-0.029678553857142857,-4.15499754,0.1
0.2705084745762712,140,-0.029678553857142857,-4.15499754,0.1
0.2754237288135593,140,-0.029678553857142857,-4.15499754,0.1
0.2803389830508474,140,-0.029678553857142857,-4.15499754,0.1
0.2852542372881356,140,-0.029678553857142857,-4.15499754,0.1
0.2901694915254237,140,-0.029678553857142857,-4.15499754,0.1
0.2950847457627119,140,-0.029678553857142857,-4.15499754,0.1
0.3,140,-0.029678553857142857,-4.15499754,0.1
