feature,importance,importance_normalized,importance_type
polymarket_order_book_imbalance_std,1.1978172020477702,0.022866337993696677,abs_scaled_logit_coefficient
kalshi_bid_ask_spread_yes_mean,0.8812988610475915,0.01682400085398879,abs_scaled_logit_coefficient
kalshi_bid_ask_spread_yes_last,0.7931010622213152,0.015140304314304876,abs_scaled_logit_coefficient
kalshi_yes_mid_std,0.6520157373449426,0.01244698456646828,abs_scaled_logit_coefficient
price_between_targets_mean,0.6042773099130146,0.011535657683635209,abs_scaled_logit_coefficient
implied_prob_spread_roll10_std_range,0.58167284615459,0.011104138326939754,abs_scaled_logit_coefficient
polymarket_order_book_imbalance_change,0.5426330673727591,0.010358868702076833,abs_scaled_logit_coefficient
implied_prob_spread_roll10_std_max,0.5248109298376067,0.010018643983353274,abs_scaled_logit_coefficient
feeds_on_same_side_own_targets_change,0.5159269589584181,0.009849048922852897,abs_scaled_logit_coefficient
k_yes_p_no_kalshi_fee_last,0.5143958160252662,0.009819819394535674,abs_scaled_logit_coefficient
price_spread_roll10_std_std,0.49545970862614347,0.009458328984034781,abs_scaled_logit_coefficient
kalshi_bid_ask_spread_yes_std,0.47464648552631855,0.009061004422887067,abs_scaled_logit_coefficient
k_no_p_yes_kalshi_fee_last,0.46530160505598533,0.008882610595364784,abs_scaled_logit_coefficient
kalshi_btc_price_roll10_mean_range,0.45822834699499604,0.00874758205406256,abs_scaled_logit_coefficient
kalshi_btc_price_lag10_range,0.4477943742141585,0.00854839744741659,abs_scaled_logit_coefficient
price_spread_mean,0.4231205806999801,0.008077374572542746,abs_scaled_logit_coefficient
k_yes_p_no_total_fee_last,0.4199998534981923,0.008017799870442786,abs_scaled_logit_coefficient
price_between_targets_max,0.41953443901852305,0.008008915105070338,abs_scaled_logit_coefficient
price_between_targets_std,0.4144765328350416,0.007912359643908008,abs_scaled_logit_coefficient
implied_prob_spread_roll10_std_std,0.40963942352978633,0.00782001919655316,abs_scaled_logit_coefficient
kalshi_order_book_imbalance_last,0.4062146698902622,0.007754640627826128,abs_scaled_logit_coefficient
price_spread_roll10_std_change,0.4048564705570434,0.007728712593929887,abs_scaled_logit_coefficient
implied_prob_spread_roll10_std_min,0.4035536388827101,0.007703841528993377,abs_scaled_logit_coefficient
feeds_on_same_side_x_elapsed_fraction_last,0.4024675075708484,0.007683107275352582,abs_scaled_logit_coefficient
feeds_on_same_side_last,0.400960671235983,0.007654341760151004,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_10_last,0.3889975552783044,0.007425965800548484,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_5_max,0.387320322011679,0.007393947406837522,abs_scaled_logit_coefficient
kalshi_yes_mid_range,0.38298581897400275,0.007311201716322504,abs_scaled_logit_coefficient
k_no_p_yes_total_fee_last,0.38192976395316824,0.007291041619268413,abs_scaled_logit_coefficient
price_between_targets_range,0.37003519045526084,0.007063974135658196,abs_scaled_logit_coefficient
kalshi_last_price_std,0.36187261393721487,0.006908150498093166,abs_scaled_logit_coefficient
kalshi_last_price_change,0.3558540519947091,0.006793256112390523,abs_scaled_logit_coefficient
k_no_p_yes_kalshi_fee_mean,0.35444383665548823,0.006766335092609381,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_10_change,0.3517645058602985,0.006715186650714418,abs_scaled_logit_coefficient
price_spread_abs_last,0.3479488151979441,0.006642345091738953,abs_scaled_logit_coefficient
k_yes_p_no_kalshi_fee_mean,0.3475806376591984,0.006635316580186228,abs_scaled_logit_coefficient
price_spread_abs_x_elapsed_fraction_last,0.3471019839242508,0.00662617907734644,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_5_min,0.3424647740464083,0.006537654711330342,abs_scaled_logit_coefficient
window_rows,0.3419862224083477,0.006528519157520777,abs_scaled_logit_coefficient
best_total_fee_last,0.3378217837473225,0.006449019997036003,abs_scaled_logit_coefficient
k_yes_p_no_polymarket_fee_mean,0.33770816221207245,0.006446850961206538,abs_scaled_logit_coefficient
feeds_on_same_side_x_elapsed_fraction_std,0.3372757395797515,0.006438596010409478,abs_scaled_logit_coefficient
kalshi_order_book_imbalance_mean,0.3319919608554922,0.00633772864100932,abs_scaled_logit_coefficient
kalshi_btc_price_momentum_5_change,0.32948345879454916,0.006289841320735955,abs_scaled_logit_coefficient
polymarket_order_book_imbalance_min,0.324285580834819,0.006190613797476161,abs_scaled_logit_coefficient
price_spread_min,0.3218839557417245,0.0061447667591977345,abs_scaled_logit_coefficient
k_no_p_yes_polymarket_fee_mean,0.31736735757233353,0.006058544871461907,abs_scaled_logit_coefficient
polymarket_order_book_imbalance_range,0.31314286861482726,0.005977899350435966,abs_scaled_logit_coefficient
price_between_targets_change,0.3039263422422429,0.005801955803454806,abs_scaled_logit_coefficient
kalshi_btc_price_roll10_mean_std,0.30344514749970863,0.005792769792764053,abs_scaled_logit_coefficient
feeds_on_same_side_std,0.2975277000336062,0.005679805683058066,abs_scaled_logit_coefficient
feeds_on_same_side_own_targets_mean,0.2946546183652903,0.0056249585357647305,abs_scaled_logit_coefficient
k_yes_p_no_kalshi_fee_change,0.293401702738892,0.005601040368500286,abs_scaled_logit_coefficient
price_spread_roll10_std_last,0.287257808646174,0.0054837533912541845,abs_scaled_logit_coefficient
price_spread_max,0.2840590708226793,0.005422689465890442,abs_scaled_logit_coefficient
price_spread_abs_mean,0.2824775441055842,0.005392498110817787,abs_scaled_logit_coefficient
price_spread_abs_x_elapsed_fraction_mean,0.27476982376757925,0.005245357680618254,abs_scaled_logit_coefficient
k_no_p_yes_fee_adjusted_edge_last,0.26287871342500496,0.005018356308665338,abs_scaled_logit_coefficient
k_no_p_yes_all_in_cost_last,0.26287871342500485,0.005018356308665336,abs_scaled_logit_coefficient
k_no_p_yes_polymarket_fee_std,0.262695480762149,0.005014858395967819,abs_scaled_logit_coefficient
k_no_p_yes_polymarket_fee_change,0.26141264830076966,0.004990369116133603,abs_scaled_logit_coefficient
kalshi_btc_price_roll10_std_change,0.2603452997420207,0.004969993425369007,abs_scaled_logit_coefficient
