sample,threshold_2m,threshold_1m,profit_margin,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_fee_adjusted_edge,mean_predicted_diverge_prob,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,trades_from_2m,trades_from_1m,selection,bootstrap_expected_total_profit,bootstrap_total_profit_ci_low,bootstrap_total_profit_ci_high
calibration,0.07881355932203389,0.13288135593220338,0.18,232,206,126,0.5431034482758621,7,0.05555555555555555,0.6220893196031746,0.37791068039682546,0.05013084869610585,0.3223551248412699,0.17507217987068968,40.616745730000005,41.30025879429066,88,38,saved_thresholds_calibration,40.48408903309,32.59484699925,48.18220231074999
test,0.07881355932203389,0.13288135593220338,0.18,232,199,130,0.5603448275862069,4,0.03076923076923077,0.591131995,0.40886800500000003,0.04454934458206111,0.37809877423076926,0.21186569245689657,49.15284065,47.361425854332055,97,33,saved_thresholds_test,49.25573458484,41.474687395,57.03038641449999
calibration,0.17,0.295,0.18,232,229,149,0.6422413793103449,12,0.08053691275167785,0.6343926446979865,0.3656073553020134,0.07269123965239341,0.28507044255033553,0.1830840342241379,42.475495939999995,43.644501231793384,142,7,calibration_optimal_calibration,42.50194840377,33.619167782249995,51.184381163249995
test,0.17,0.295,0.18,232,229,160,0.6896551724137931,15,0.09375,0.6180934799375001,0.3819065200625,0.07151768172237136,0.28815652006250003,0.1987286345258621,46.105043210000005,49.66221413442058,150,10,calibration_optimal_test,46.26610341916,36.36113901175,55.733861197
all,0.17,0.295,0.18,1158,1139,775,0.6692573402417962,67,0.08645161290322581,0.6211497895354838,0.3788502104645161,0.07765267484809747,0.29239859756129033,0.19568990769430053,226.60891311,233.42809010272444,729,46,calibration_optimal_all,225.85474888138498,205.80404306525,245.87076543249995
test,0.07881355932203389,0.125,0.18,232,198,130,0.5603448275862069,4,0.03076923076923077,0.591131995,0.40886800500000003,0.04454934458206111,0.37809877423076926,0.21186569245689657,49.15284065,47.361425854332055,97,33,test_optimal_test_reference,49.21396078010499,41.3798928905,57.33586391825
