horizon,threshold,strategy,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_return_per_trade,total_return,mean_expected_return_at_entry,would_emergency_exits,would_emergency_exit_rate
2m,0.08372881355932202,single_2m_threshold_0.0837,232,144,126,0.5431034482758621,4,0.031746031746031744,0.7537808229365077,0.2144731453174603,27.023616309999998,0.20283079401816204,126,1.0
3m,0.1083050847457627,single_3m_threshold_0.1083,232,211,198,0.853448275862069,14,0.0707070707070707,0.8078654549494949,0.1214274743434343,24.042639919999992,0.11849921799607448,198,1.0
1m,0.11322033898305084,single_1m_threshold_0.1132,232,184,103,0.44396551724137934,6,0.05825242718446602,0.7639722522330097,0.1777753205825243,18.31085802,0.18379757022272727,0,0.0
5m,0.12305084745762711,single_5m_threshold_0.1231,232,213,207,0.8922413793103449,13,0.06280193236714976,0.8626261639613525,0.07457190367149757,15.436384059999998,0.06540738040347699,207,1.0
