sample,threshold_2m,threshold_1m,profit_margin,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_fee_adjusted_edge,mean_predicted_diverge_prob,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,trades_from_2m,trades_from_1m
calibration,0.0,0.0,0.18,232,0,0,0.0,0,,,,,,0.0,0.0,0.0,0,0
calibration,0.0,0.005,0.18,232,9,2,0.008620689655172414,0,0.0,0.5044243,0.49557569999999995,0.002541413328677455,0.49557569999999995,0.004272204310344827,0.9911513999999999,0.986068573342645,0,2
calibration,0.0,0.01,0.18,232,25,7,0.03017241379310345,0,0.0,0.51985955,0.48014045,0.006353816026621077,0.48014045,0.014486996336206896,3.36098315,3.3165064378136524,0,7
calibration,0.0,0.015,0.18,232,38,12,0.05172413793103448,0,0.0,0.5602317133333333,0.43976828666666673,0.008990754793767677,0.43976828666666673,0.022746635517241383,5.2772194400000005,5.169330382474788,0,12
calibration,0.0,0.02,0.18,232,44,13,0.05603448275862069,1,0.07692307692307693,0.5644607638461537,0.4355392361538462,0.009476310117149346,0.3586161592307692,0.02009487099137931,4.66201007,5.538818038477059,0,13
calibration,0.0,0.025,0.18,232,52,15,0.06465517241379311,1,0.06666666666666667,0.5855946013333332,0.4144053986666668,0.011065225252594539,0.34773873200000005,0.022483107672413797,5.216080980000001,6.050102601211083,0,15
calibration,0.0,0.03,0.18,232,67,22,0.09482758620689655,2,0.09090909090909091,0.605219275,0.394780725,0.01616345992598191,0.3038716340909091,0.02881541357758621,6.6851759500000005,8.329579831628399,0,22
calibration,0.0,0.035,0.18,232,77,24,0.10344827586206896,2,0.08333333333333333,0.60513347875,0.39486652125,0.0173834948498956,0.3115331879166667,0.03222757116379311,7.476796510000001,9.059592633602506,0,24
calibration,0.0,0.04,0.18,232,90,30,0.12931034482758622,2,0.06666666666666667,0.599711313,0.40028868700000003,0.021459487830984985,0.3336220203333334,0.04314077849137932,10.008660610000002,11.36487597507045,0,30
calibration,0.0,0.045,0.18,232,103,34,0.14655172413793102,2,0.058823529411764705,0.6063671302941178,0.39363286970588235,0.023904450836898416,0.3348093402941177,0.049066886077586205,11.38351757,12.570766241545455,0,34
calibration,0.0,0.05,0.18,232,111,36,0.15517241379310345,2,0.05555555555555555,0.6160958755555556,0.3839041244444445,0.02526993934851376,0.3283485688888889,0.050950640000000005,11.820548480000001,12.910830663453506,0,36
calibration,0.0,0.055,0.18,232,119,40,0.1724137931034483,2,0.05,0.617681808,0.382318192,0.027991027957941415,0.33231819200000007,0.05729624000000001,13.292727680000002,14.173086561682345,0,40
calibration,0.0,0.06,0.18,232,127,44,0.1896551724137931,3,0.06818181818181818,0.6161951218181817,0.3838048781818182,0.0306039116598413,0.31562306,0.05985954586206897,13.887414640000001,15.540842526966983,0,44
calibration,0.0,0.065,0.18,232,139,50,0.21551724137931033,3,0.06,0.6120925678,0.38790743219999996,0.034388319051004694,0.3279074322,0.07066970521551724,16.39537161,17.675955657449766,0,50
calibration,0.0,0.07,0.18,232,151,56,0.2413793103448276,3,0.05357142857142857,0.6123281619642856,0.3876718380357143,0.03801159211643389,0.33410040946428576,0.0806449264224138,18.709622930000002,19.5809737714797,0,56
calibration,0.0,0.075,0.18,232,157,57,0.24568965517241378,3,0.05263157894736842,0.6130532770175439,0.3869467229824561,0.03862957325701046,0.33431514403508766,0.08213777245689655,19.055963209999998,19.854077534350406,0,57
calibration,0.0,0.07881355932203389,0.18,232,165,61,0.2629310344827586,4,0.06557377049180328,0.6101521377049178,0.38984786229508195,0.04114847616822345,0.32427409180327865,0.0852617224137931,19.780719599999998,21.27066255373837,0,61
calibration,0.0,0.08,0.18,232,166,61,0.2629310344827586,4,0.06557377049180328,0.6101521377049178,0.38984786229508195,0.04114847616822345,0.32427409180327865,0.0852617224137931,19.780719599999998,21.27066255373837,0,61
calibration,0.0,0.085,0.18,232,172,64,0.27586206896551724,4,0.0625,0.6138838103125,0.38611618968750006,0.04306157504583823,0.3236161896875,0.08927343163793103,20.71143614,21.955495337066353,0,64
calibration,0.0,0.09,0.18,232,176,66,0.28448275862068967,4,0.06060606060606061,0.6139441133333333,0.3860558866666666,0.04439057269092414,0.325449826060606,0.09258486431034481,21.479688519999996,22.54991072239901,0,66
calibration,0.0,0.095,0.18,232,179,68,0.29310344827586204,4,0.058823529411764705,0.6145467730882351,0.3854532269117646,0.04576465648596074,0.3266296974999999,0.0957362906465517,22.210819429999994,23.09882278895467,0,68
calibration,0.0,0.1,0.18,232,183,70,0.3017241379310345,4,0.05714285714285714,0.6190611944285713,0.38093880557142856,0.04724598811310885,0.32379594842857146,0.09769705340517242,22.66571639,23.35849722208238,0,70
calibration,0.0,0.105,0.18,232,185,71,0.30603448275862066,4,0.056338028169014086,0.6187277884507041,0.3812722115492958,0.04805319960473247,0.3249341833802817,0.09944106474137931,23.07032702,23.658549848063995,0,71
calibration,0.0,0.11,0.18,232,186,72,0.3103448275862069,4,0.05555555555555555,0.6199539580555555,0.38004604194444447,0.048896089848855545,0.3244904863888889,0.10070394405172414,23.36331502,23.8427965508824,0,72
calibration,0.0,0.115,0.18,232,191,76,0.3275862068965517,4,0.05263157894736842,0.6231120977631579,0.3768879022368421,0.05216655452698571,0.3242563232894737,0.10622189900862068,24.643480569999998,24.678822425949086,0,76
calibration,0.0,0.12,0.18,232,192,76,0.3275862068965517,4,0.05263157894736842,0.6231120977631579,0.3768879022368421,0.05216655452698571,0.3242563232894737,0.10622189900862068,24.643480569999998,24.678822425949086,0,76
calibration,0.0,0.125,0.18,232,194,77,0.33189655172413796,5,0.06493506493506493,0.62508042012987,0.37491957987012986,0.0531020216612695,0.30998451493506496,0.10288279159482759,23.86880765,24.77995198208225,0,77
calibration,0.0,0.13,0.18,232,196,78,0.33620689655172414,5,0.0641025641025641,0.6267982773076922,0.37320172269230767,0.05403847857398459,0.3090991585897436,0.10392126883620689,24.109734369999998,24.894733041229202,0,78
calibration,0.0,0.13288135593220338,0.18,232,199,81,0.34913793103448276,5,0.06172839506172839,0.6322639803703703,0.3677360196296296,0.05690700668530962,0.30600762456790115,0.10683886892241377,24.786617589999995,25.17715004848992,0,81
calibration,0.0,0.135,0.18,232,199,81,0.34913793103448276,5,0.06172839506172839,0.6322639803703703,0.3677360196296296,0.05690700668530962,0.30600762456790115,0.10683886892241377,24.786617589999995,25.17715004848992,0,81
calibration,0.0,0.14,0.18,232,201,83,0.3577586206896552,6,0.07228915662650602,0.6366411268674699,0.36335887313253007,0.05885738392022759,0.29106971650602403,0.10413270030172411,24.158786469999995,25.27362360462111,0,83
calibration,0.0,0.145,0.18,232,202,83,0.3577586206896552,6,0.07228915662650602,0.6366411268674699,0.36335887313253007,0.05885738392022759,0.29106971650602403,0.10413270030172411,24.158786469999995,25.27362360462111,0,83
calibration,0.0,0.15,0.18,232,205,86,0.3706896551724138,6,0.06976744186046512,0.6390311053488371,0.36096889465116283,0.061922393509939166,0.29120145279069776,0.10794536612068968,25.043324940000005,25.71799909814523,0,86
calibration,0.0,0.155,0.18,232,208,87,0.375,6,0.06896551724137931,0.6381991832183908,0.3618008167816092,0.062935672853145,0.2928352995402299,0.10981323732758622,25.47667106,26.001267521776384,0,87
calibration,0.0,0.16,0.18,232,210,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.165,0.18,232,211,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.17,0.18,232,211,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.175,0.18,232,211,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.18,0.18,232,211,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.185,0.18,232,211,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.19,0.18,232,211,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.195,0.18,232,211,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.2,0.18,232,211,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.205,0.18,232,212,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.21,0.18,232,213,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.215,0.18,232,213,89,0.38362068965517243,7,0.07865168539325842,0.6409841491011236,0.3590158508988764,0.06506278575743013,0.280364165505618,0.10755349452586208,24.95241073,26.16182279758872,0,89
calibration,0.0,0.22,0.18,232,214,90,0.3879310344827586,8,0.08888888888888889,0.6370201363333332,0.3629798636666667,0.06674097414379586,0.2740909747777778,0.10632839538793103,24.66818773,26.661500057058372,0,90
calibration,0.0,0.225,0.18,232,214,90,0.3879310344827586,8,0.08888888888888889,0.6370201363333332,0.3629798636666667,0.06674097414379586,0.2740909747777778,0.10632839538793103,24.66818773,26.661500057058372,0,90
calibration,0.0,0.23,0.18,232,214,90,0.3879310344827586,8,0.08888888888888889,0.6370201363333332,0.3629798636666667,0.06674097414379586,0.2740909747777778,0.10632839538793103,24.66818773,26.661500057058372,0,90
calibration,0.0,0.235,0.18,232,215,91,0.3922413793103448,8,0.08791208791208792,0.6378750469230768,0.3621249530769231,0.0685691293925596,0.2742128651648351,0.10755763245689653,24.953370729999996,26.713579955277076,0,91
calibration,0.0,0.24,0.18,232,215,91,0.3922413793103448,8,0.08791208791208792,0.6378750469230768,0.3621249530769231,0.0685691293925596,0.2742128651648351,0.10755763245689653,24.953370729999996,26.713579955277076,0,91
calibration,0.0,0.245,0.18,232,216,92,0.39655172413793105,9,0.09782608695652174,0.639560676847826,0.360439323152174,0.07048503773835893,0.2626132361956522,0.10413973159482758,24.16041773,26.67579425807098,0,92
calibration,0.0,0.25,0.18,232,216,92,0.39655172413793105,9,0.09782608695652174,0.639560676847826,0.360439323152174,0.07048503773835893,0.2626132361956522,0.10413973159482758,24.16041773,26.67579425807098,0,92
calibration,0.0,0.255,0.18,232,216,92,0.39655172413793105,9,0.09782608695652174,0.639560676847826,0.360439323152174,0.07048503773835893,0.2626132361956522,0.10413973159482758,24.16041773,26.67579425807098,0,92
calibration,0.0,0.26,0.18,232,216,92,0.39655172413793105,9,0.09782608695652174,0.639560676847826,0.360439323152174,0.07048503773835893,0.2626132361956522,0.10413973159482758,24.16041773,26.67579425807098,0,92
calibration,0.0,0.265,0.18,232,216,92,0.39655172413793105,9,0.09782608695652174,0.639560676847826,0.360439323152174,0.07048503773835893,0.2626132361956522,0.10413973159482758,24.16041773,26.67579425807098,0,92
calibration,0.0,0.27,0.18,232,216,92,0.39655172413793105,9,0.09782608695652174,0.639560676847826,0.360439323152174,0.07048503773835893,0.2626132361956522,0.10413973159482758,24.16041773,26.67579425807098,0,92
calibration,0.0,0.275,0.18,232,217,93,0.40086206896551724,10,0.10752688172043011,0.6368220068817203,0.3631779931182796,0.07264264542746586,0.2556511113978495,0.10248083344827588,23.775553360000004,27.019787335245674,0,93
calibration,0.0,0.28,0.18,232,218,94,0.4051724137931034,10,0.10638297872340426,0.6386474323404254,0.3613525676595745,0.07484663815918423,0.2549695889361702,0.10330664379310345,23.96714136,26.931557373036682,0,94
calibration,0.0,0.285,0.18,232,218,94,0.4051724137931034,10,0.10638297872340426,0.6386474323404254,0.3613525676595745,0.07484663815918423,0.2549695889361702,0.10330664379310345,23.96714136,26.931557373036682,0,94
calibration,0.0,0.29,0.18,232,218,94,0.4051724137931034,10,0.10638297872340426,0.6386474323404254,0.3613525676595745,0.07484663815918423,0.2549695889361702,0.10330664379310345,23.96714136,26.931557373036682,0,94
calibration,0.0,0.295,0.18,232,220,96,0.41379310344827586,10,0.10416666666666667,0.6419487696875,0.3580512303125,0.07938222074239308,0.25388456364583334,0.10505568150862069,24.37291811,26.752224918730267,0,96
calibration,0.0,0.3,0.18,232,220,96,0.41379310344827586,10,0.10416666666666667,0.6419487696875,0.3580512303125,0.07938222074239308,0.25388456364583334,0.10505568150862069,24.37291811,26.752224918730267,0,96
calibration,0.005,0.0,0.18,232,4,3,0.01293103448275862,0,0.0,0.5265163866666667,0.47348361333333333,0.0003649116405656535,0.47348361333333333,0.006122632931034482,1.42045084,1.419356105078303,3,0
calibration,0.005,0.005,0.18,232,11,4,0.017241379310344827,0,0.0,0.56130076,0.43869924,0.0012790215396228106,0.43869924,0.00756378,1.75479696,1.7496808738415088,3,1
calibration,0.005,0.01,0.18,232,27,9,0.03879310344827586,0,0.0,0.5417079211111111,0.45829207888888895,0.00494555240972043,0.45829207888888895,0.017778572025862072,4.1246287100000005,4.080118738312517,3,6
calibration,0.005,0.015,0.18,232,40,14,0.0603448275862069,0,0.0,0.5685096428571428,0.4314903571428572,0.007708736930453461,0.4314903571428572,0.026038211206896558,6.040865000000001,5.932942682973652,3,11
calibration,0.005,0.02,0.18,232,46,15,0.06465517241379311,1,0.06666666666666667,0.571622958,0.4283770420000001,0.008215019401605189,0.36171037533333344,0.023386446681034487,5.425655630000001,6.302430338975922,3,12
calibration,0.005,0.025,0.18,232,53,17,0.07327586206896551,1,0.058823529411764705,0.5894278505882353,0.4105721494117647,0.009765390487650258,0.35174862,0.025774683362068968,5.979726540000001,6.813714901709946,3,14
