family,threshold,strategy,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_return_per_trade,total_return,mean_expected_return_at_entry,would_emergency_exits,would_emergency_exit_rate
any_3_2_1_latch,0.06406779661016948,any_3_2_1_latch_threshold_0.0641,232,160,138,0.5948275862068966,6,0.043478260869565216,0.7241623790579711,0.23235936007246374,32.06559169,0.234286630647496,20,0.14492753623188406
any_5_3_2_1_latch,0.049322033898305084,any_5_3_2_1_latch_threshold_0.0493,232,147,123,0.5301724137931034,4,0.032520325203252036,0.7226519307317073,0.24482774406504065,30.11381252,0.2478432347664447,50,0.4065040650406504
any_2_1_latch,0.06406779661016948,any_2_1_latch_threshold_0.0641,232,156,128,0.5517241379310345,5,0.0390625,0.7269040571875001,0.23403344281250002,29.956280680000003,0.23788684446191627,12,0.09375
