price_col,low,high,spot_mode,min_favorable_distance,max_abs_distance,trades,contracts,total_opportunities,skipped_opportunities,total_contracts,successes,failures,success_rate,avg_price,gross_profit,fees,net_profit,net_per_contract,net_per_total_contract,roi_on_cost
mid_p,0.5,0.575,none,,,19,38.0,157,138,314.0,12,7,0.631578947368421,0.5294736842105263,3.8799999999999994,0.6604359999999999,3.2195639999999988,0.0847253684210526,0.010253388535031844,0.16001809145129217
mid_p,0.5,0.575,agrees,,,11,22.0,157,146,314.0,9,2,0.8181818181818182,0.5399999999999999,6.12,0.38164,5.73836,0.2608345454545455,0.01827503184713376,0.4830269360269361
mid_p,0.5,0.575,agrees,,75.0,8,16.0,157,149,314.0,6,2,0.75,0.54375,3.2999999999999994,0.277214,3.022786,0.188924125,0.009626707006369428,0.3474466666666667
mid_p,0.5,0.575,agrees,,100.0,9,18.0,157,148,314.0,7,2,0.7777777777777778,0.5455555555555556,4.18,0.31171000000000004,3.86829,0.214905,0.0123193949044586,0.39391955193482686
mid_p,0.5,0.575,agrees,,150.0,9,18.0,157,148,314.0,7,2,0.7777777777777778,0.5455555555555556,4.18,0.31171000000000004,3.86829,0.214905,0.0123193949044586,0.39391955193482686
mid_p,0.5,0.575,agrees,,200.0,10,20.0,157,147,314.0,8,2,0.8,0.5429999999999999,5.14,0.346654,4.793346,0.23966729999999997,0.015265433121019108,0.44137624309392265
mid_p,0.5,0.575,agrees,25.0,,8,16.0,157,149,314.0,7,1,0.875,0.5375,5.3999999999999995,0.27759200000000006,5.122408,0.3201505,0.01631340127388535,0.5956288372093024
mid_p,0.5,0.575,agrees,25.0,75.0,5,10.0,157,152,314.0,4,1,0.8,0.542,2.58,0.17316600000000004,2.406834,0.2406834,0.007665076433121019,0.4440653136531365
mid_p,0.5,0.575,agrees,25.0,100.0,6,12.0,157,151,314.0,5,1,0.8333333333333334,0.545,3.4599999999999995,0.207662,3.252338,0.2710281666666667,0.010357764331210191,0.4972993883792048
mid_p,0.5,0.575,agrees,25.0,150.0,6,12.0,157,151,314.0,5,1,0.8333333333333334,0.545,3.4599999999999995,0.207662,3.252338,0.2710281666666667,0.010357764331210191,0.4972993883792048
mid_p,0.5,0.575,agrees,25.0,200.0,7,14.0,157,150,314.0,6,1,0.8571428571428571,0.5414285714285715,4.42,0.24260600000000004,4.177394,0.2983852857142857,0.013303802547770699,0.5511073878627968
mid_p,0.5,0.575,agrees,50.0,,6,12.0,157,151,314.0,6,0,1.0,0.5416666666666666,5.5,0.20777400000000001,5.292225999999999,0.4410188333333333,0.016854222929936304,0.8141886153846153
mid_p,0.5,0.575,agrees,50.0,75.0,3,6.0,157,154,314.0,3,0,1.0,0.5533333333333333,2.6799999999999997,0.10334800000000001,2.576652,0.42944200000000005,0.008205898089171975,0.7761000000000001
mid_p,0.5,0.575,agrees,50.0,100.0,4,8.0,157,153,314.0,4,0,1.0,0.5549999999999999,3.56,0.13784400000000002,3.422156,0.4277695,0.010898585987261147,0.7707558558558559
