price_col,low,high,spot_mode,min_favorable_distance,max_abs_distance,rule,opportunities,known_quantity_rows,missing_quantity_rows,successes,failures,total_floor_contract_capacity,median_floor_contract_capacity,max_floor_contract_capacity,scaled_gross_profit_before_fees,scaled_fees,scaled_net_profit,scaled_turnover_cost,max_single_trade_cost,min_cumulative_pnl,max_drawdown
mid_p,0.6,0.925,agrees,50.0,,0.60 < mid p < 0.93; spot agrees with selected side; favored spot distance >= $50,58,40,18,50,8,38544,491.0,5236,8189.37,540.703821,7648.666178999999,27588.629999999997,3508.1200000000003,-654.231354,-984.4312500000001
mid_p,0.6,0.85,agrees,50.0,,0.60 < mid p < 0.85; spot agrees with selected side; favored spot distance >= $50,49,40,9,42,7,38544,491.0,5236,8189.369999999999,540.7038210000001,7648.666178999999,27588.629999999997,3508.1200000000003,-654.231354,-984.4312500000001
mid_p,0.6,0.825,agrees,50.0,,0.60 < mid p < 0.82; spot agrees with selected side; favored spot distance >= $50,43,40,3,36,7,38544,491.0,5236,8189.370000000001,540.703821,7648.666178999999,27588.629999999997,3508.1200000000003,-654.231354,-984.4312500000001
mid_p,0.6,0.8,agrees,50.0,,0.60 < mid p < 0.80; spot agrees with selected side; favored spot distance >= $50,40,40,0,34,6,38544,491.0,5236,8189.37,540.7038210000001,7648.666178999999,27588.63,3508.1200000000003,-654.231354,-984.4312500000001
mid_p,0.6,0.775,agrees,50.0,,0.60 < mid p < 0.78; spot agrees with selected side; favored spot distance >= $50,30,30,0,27,3,30587,489.0,5236,8016.080000000001,444.017098,7572.062902,21413.919999999995,3508.1200000000003,-654.231354,-181.883034
ask_p,0.575,0.95,agrees,50.0,,0.57 < ask p < 0.95; spot agrees with selected side; favored spot distance >= $50,69,48,21,57,12,44212,441.5,5236,8153.039999999999,630.0790160000001,7522.960983999999,31196.959999999995,3508.1200000000003,-740.262572,-1009.023288
ask_p,0.575,0.925,agrees,50.0,,0.57 < ask p < 0.93; spot agrees with selected side; favored spot distance >= $50,65,48,17,53,12,44212,441.5,5236,8153.039999999998,630.079016,7522.960983999999,31196.96,3508.1200000000003,-740.262572,-1009.023288
ask_p,0.575,0.9,agrees,50.0,,0.57 < ask p < 0.90; spot agrees with selected side; favored spot distance >= $50,62,48,14,51,11,44212,441.5,5236,8153.04,630.079016,7522.960983999999,31196.96,3508.1200000000003,-740.262572,-1009.023288
ask_p,0.575,0.875,agrees,50.0,,0.57 < ask p < 0.88; spot agrees with selected side; favored spot distance >= $50,61,48,13,50,11,44212,441.5,5236,8153.039999999999,630.0790160000001,7522.960983999999,31196.959999999995,3508.1200000000003,-740.262572,-1009.023288
ask_p,0.575,0.85,agrees,50.0,,0.57 < ask p < 0.85; spot agrees with selected side; favored spot distance >= $50,56,48,8,45,11,44212,441.5,5236,8153.04,630.0790160000001,7522.960983999999,31196.96,3508.1200000000003,-740.262572,-1009.023288
ask_p,0.575,0.825,agrees,50.0,,0.57 < ask p < 0.82; spot agrees with selected side; favored spot distance >= $50,51,48,3,40,11,44212,441.5,5236,8153.040000000001,630.0790160000001,7522.960983999999,31196.959999999995,3508.1200000000003,-740.262572,-1009.023288
mid_p,0.625,0.875,agrees,,,0.62 < mid p < 0.88; spot agrees with selected side,56,41,15,49,7,39523,549.0,5236,8048.0599999999995,542.836014,7505.223986000001,28710.94,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.825,agrees,,,0.62 < mid p < 0.82; spot agrees with selected side,44,41,3,38,6,39523,549.0,5236,8048.06,542.8360140000001,7505.223986000001,28710.94,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.95,agrees,,,0.62 < mid p < 0.95; spot agrees with selected side,66,41,25,58,8,39523,549.0,5236,8048.0599999999995,542.8360140000001,7505.223986,28710.940000000002,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.925,agrees,,,0.62 < mid p < 0.93; spot agrees with selected side,62,41,21,54,8,39523,549.0,5236,8048.06,542.8360140000001,7505.223986,28710.94,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.9,agrees,,,0.62 < mid p < 0.90; spot agrees with selected side,58,41,17,51,7,39523,549.0,5236,8048.0599999999995,542.8360140000001,7505.223986,28710.94,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.85,agrees,,,0.62 < mid p < 0.85; spot agrees with selected side,52,41,11,45,7,39523,549.0,5236,8048.059999999999,542.836014,7505.223986,28710.94,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.8,agrees,,,0.62 < mid p < 0.80; spot agrees with selected side,41,41,0,36,5,39523,549.0,5236,8048.06,542.8360140000001,7505.223985999999,28710.94,3508.1200000000003,-145.98815399999998,-984.4312500000001
ask_p,0.5,0.775,agrees,50.0,,0.50 < ask p < 0.78; spot agrees with selected side; favored spot distance >= $50,45,41,4,37,8,38541,433.0,5236,8057.97,566.5634030000001,7491.406597000001,26605.03,3508.1200000000003,-654.231354,-984.4312500000001
ask_p,0.525,0.775,agrees,50.0,,0.53 < ask p < 0.78; spot agrees with selected side; favored spot distance >= $50,43,41,2,35,8,38541,433.0,5236,8057.970000000002,566.5634030000001,7491.406597,26605.03,3508.1200000000003,-654.231354,-984.4312500000001
ask_p,0.55,0.775,agrees,50.0,,0.55 < ask p < 0.78; spot agrees with selected side; favored spot distance >= $50,41,41,0,33,8,38541,433.0,5236,8057.969999999999,566.563403,7491.406596999999,26605.03,3508.1200000000003,-654.231354,-984.4312500000001
ask_p,0.575,0.8,agrees,50.0,150.0,0.57 < ask p < 0.80; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,32,32,0,26,6,32432,491.0,5236,7943.019999999999,472.2569460000001,7470.763053999999,22559.98,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.575,0.775,agrees,,150.0,0.57 < ask p < 0.78; spot agrees with selected side; |spot-target| <= $150,39,39,0,33,6,54856,897.0,5236,8309.71,842.5166050000004,7467.193394999999,36479.29000000001,3508.1200000000003,-4672.648603000001,-5730.537883000001
mid_p,0.5,0.95,agrees,50.0,150.0,0.50 < mid p < 0.95; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,51,35,16,43,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.5,0.95,agrees,50.0,150.0,0.50 < ask p < 0.95; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,51,35,16,43,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.525,0.95,agrees,50.0,150.0,0.53 < ask p < 0.95; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,51,35,16,43,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.5,0.925,agrees,50.0,150.0,0.50 < mid p < 0.93; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,49,35,14,41,8,34433,549.0,5236,7885.8099999999995,498.5862630000001,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.525,0.95,agrees,50.0,150.0,0.53 < mid p < 0.95; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,49,35,14,41,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.190000000002,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.55,0.95,agrees,50.0,150.0,0.55 < mid p < 0.95; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,49,35,14,41,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.190000000002,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.5,0.925,agrees,50.0,150.0,0.50 < ask p < 0.93; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,49,35,14,41,8,34433,549.0,5236,7885.8099999999995,498.5862630000001,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.525,0.925,agrees,50.0,150.0,0.53 < ask p < 0.93; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,49,35,14,41,8,34433,549.0,5236,7885.8099999999995,498.5862630000001,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.55,0.95,agrees,50.0,150.0,0.55 < ask p < 0.95; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,49,35,14,41,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.190000000002,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.5,0.875,agrees,50.0,150.0,0.50 < mid p < 0.88; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,47,35,12,39,8,34433,549.0,5236,7885.810000000001,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.525,0.925,agrees,50.0,150.0,0.53 < mid p < 0.93; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,47,35,12,39,8,34433,549.0,5236,7885.81,498.586263,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.55,0.925,agrees,50.0,150.0,0.55 < mid p < 0.93; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,47,35,12,39,8,34433,549.0,5236,7885.81,498.586263,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.5,0.875,agrees,50.0,150.0,0.50 < ask p < 0.88; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,47,35,12,39,8,34433,549.0,5236,7885.810000000001,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.525,0.875,agrees,50.0,150.0,0.53 < ask p < 0.88; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,47,35,12,39,8,34433,549.0,5236,7885.810000000001,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.55,0.925,agrees,50.0,150.0,0.55 < ask p < 0.93; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,47,35,12,39,8,34433,549.0,5236,7885.81,498.586263,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.525,0.9,agrees,50.0,150.0,0.53 < mid p < 0.90; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,46,35,11,38,8,34433,549.0,5236,7885.810000000001,498.586263,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
