ledger,n_trades,n_days,win_rate,true_mean_ev,true_ev_ci_lo,true_ev_ci_hi,true_ev_p_neg,median,win_capped_ev,win_capped_ci_lo,win_capped_ci_hi,trim10_mean,sharpe_per_trade,top1_share,top5_share,top10_share,trades_to_flip_negative,GATE_PASS
2026-06-15-research/settlement_lgb_v3p1_results/cv_v3p1_records.csv,999,6,0.5545545545545546,0.07846030176273484,0.005229062026442225,0.1476968207389458,0.0098,0.1904761904761904,-0.1047477853022198,-0.14986319751750446,-0.06217894189026799,-0.12135437908848037,0.05832042040096077,0.1467176553350827,0.6060077068188198,1.0483337484644824,10.0,False
2026-06-15-research/settlement_lgb_v3p1_results/cv_v3_records.csv,1013,6,0.56071076011846,0.03973053597343221,-0.01331614456593315,0.11867937410468272,0.097,0.1904761904761904,-0.1066631024827795,-0.15340643933789871,-0.04897221682122496,-0.13066482630005719,0.03194241832247018,0.2857353489096594,1.1228730266516715,1.87748465641667,5.0,False
2026-06-17-research/regime_model_results/cv_sma_regime_records.csv,811,6,0.5474722564734895,0.043694827470643134,-0.04753288626040065,0.13131175849183838,0.1722,0.1904761904761904,-0.11242978612312032,-0.18569715685517568,-0.04860094979654896,-0.13343122097763066,0.03300031786659362,0.4421052988119653,1.4109743579105276,2.0738599945532252,4.0,False
live-data/polymarket_5m_trader_trades.csv,66,2,0.5,-0.20061171748021772,-0.33069898482444526,-0.18007162263639237,1.0,-0.4233288770053476,-0.26901848125125266,-0.34015524959985893,-0.25778635993305166,-0.3172077269688335,-0.20867993283539546,-0.23287359434415136,-0.7121959308857757,-1.020090978004866,,False
