timestamp_utc,ticker,title,event_ticker,close_time,status,yes_bid,yes_ask,no_bid,no_ask,yes_mid,last_price,volume,open_interest,best_yes_bid_qty,best_no_bid_qty,yes_levels_json,no_levels_json
2026-05-16T03:45:29.059Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.52,0.53,0.47,0.48,0.525,0.53,11709.78,9012.22,3387.03,584.0,"[[""0.4600"",""1460.00""],[""0.4700"",""807.85""],[""0.4800"",""140.00""],[""0.4900"",""260.00""],[""0.5000"",""232.00""],[""0.5100"",""300.00""],[""0.5200"",""100.00""],[""0.5300"",""282.00""],[""0.5400"",""516.00""],[""0.5500"",""3387.03""]]","[[""0.3400"",""500.00""],[""0.3500"",""291.00""],[""0.3600"",""250.00""],[""0.3700"",""666.00""],[""0.3800"",""1481.00""],[""0.3900"",""2492.00""],[""0.4000"",""1488.00""],[""0.4100"",""263.00""],[""0.4200"",""343.00""],[""0.4300"",""584.00""]]"
2026-05-16T03:45:38.588Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.52,0.53,0.47,0.48,0.525,0.53,11709.78,9012.22,1616.0,308.16,"[[""0.4900"",""108.00""],[""0.5000"",""380.00""],[""0.5100"",""300.00""],[""0.5200"",""100.00""],[""0.5300"",""100.00""],[""0.5400"",""327.00""],[""0.5500"",""490.00""],[""0.5600"",""2664.50""],[""0.5700"",""845.51""],[""0.5800"",""1616.00""]]","[[""0.3200"",""100.00""],[""0.3300"",""132.00""],[""0.3400"",""175.00""],[""0.3500"",""688.00""],[""0.3600"",""249.00""],[""0.3700"",""1515.00""],[""0.3800"",""3482.00""],[""0.3900"",""828.00""],[""0.4000"",""867.00""],[""0.4100"",""308.16""]]"
2026-05-16T03:45:38.992Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.52,0.53,0.47,0.48,0.525,0.53,11709.78,9012.22,1904.82,227.16,"[[""0.4900"",""108.00""],[""0.5000"",""230.00""],[""0.5100"",""300.00""],[""0.5200"",""100.00""],[""0.5300"",""100.00""],[""0.5400"",""327.00""],[""0.5500"",""571.00""],[""0.5600"",""2183.50""],[""0.5700"",""1245.51""],[""0.5800"",""1904.82""]]","[[""0.3200"",""100.00""],[""0.3300"",""133.00""],[""0.3400"",""575.00""],[""0.3500"",""436.00""],[""0.3600"",""249.00""],[""0.3700"",""2616.00""],[""0.3800"",""2411.00""],[""0.3900"",""671.00""],[""0.4000"",""828.00""],[""0.4100"",""227.16""]]"
2026-05-16T03:45:49.282Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.52,0.53,0.47,0.48,0.525,0.53,11709.78,9012.22,100.13,2246.11,"[[""0.5100"",""250.00""],[""0.5200"",""177.00""],[""0.5300"",""100.00""],[""0.5400"",""115.00""],[""0.5500"",""1614.63""],[""0.5600"",""1764.87""],[""0.5700"",""1166.51""],[""0.5800"",""1139.00""],[""0.5900"",""27.00""],[""0.6000"",""100.13""]]","[[""0.3000"",""159.00""],[""0.3100"",""126.00""],[""0.3200"",""104.00""],[""0.3300"",""139.00""],[""0.3400"",""507.00""],[""0.3500"",""1538.00""],[""0.3600"",""480.00""],[""0.3700"",""1369.00""],[""0.3800"",""1634.00""],[""0.3900"",""2246.11""]]"
2026-05-16T03:45:59.321Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.58,0.59,0.41,0.42,0.585,0.58,25625.26,20530.06,993.6,247.0,"[[""0.5000"",""243.00""],[""0.5100"",""1350.00""],[""0.5200"",""327.00""],[""0.5300"",""100.00""],[""0.5400"",""115.00""],[""0.5500"",""764.00""],[""0.5600"",""1184.87""],[""0.5700"",""2486.14""],[""0.5800"",""516.73""],[""0.5900"",""993.60""]]","[[""0.3100"",""126.00""],[""0.3200"",""104.00""],[""0.3300"",""139.00""],[""0.3400"",""1757.00""],[""0.3500"",""1234.00""],[""0.3600"",""250.00""],[""0.3700"",""350.00""],[""0.3800"",""3734.00""],[""0.3900"",""723.46""],[""0.4000"",""247.00""]]"
2026-05-16T03:46:09.191Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.58,0.59,0.41,0.42,0.585,0.58,25625.26,20530.06,169.67,2062.33,"[[""0.4700"",""12.85""],[""0.4800"",""191.00""],[""0.4900"",""1534.00""],[""0.5000"",""245.00""],[""0.5100"",""100.79""],[""0.5200"",""120.00""],[""0.5300"",""1202.62""],[""0.5400"",""591.00""],[""0.5500"",""2509.63""],[""0.5600"",""169.67""]]","[[""0.3300"",""141.00""],[""0.3400"",""107.00""],[""0.3500"",""252.00""],[""0.3600"",""1500.00""],[""0.3700"",""669.00""],[""0.3800"",""384.00""],[""0.3900"",""202.52""],[""0.4000"",""1114.00""],[""0.4100"",""1605.00""],[""0.4200"",""2062.33""]]"
2026-05-16T03:46:19.785Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.58,0.59,0.41,0.42,0.585,0.58,25625.26,20530.06,2501.35,159.68,"[[""0.4700"",""12.85""],[""0.4800"",""251.00""],[""0.4900"",""1382.00""],[""0.5000"",""243.00""],[""0.5100"",""135.79""],[""0.5200"",""122.00""],[""0.5300"",""1600.62""],[""0.5400"",""591.00""],[""0.5500"",""101.00""],[""0.5600"",""2501.35""]]","[[""0.3400"",""100.00""],[""0.3500"",""327.00""],[""0.3600"",""1500.00""],[""0.3700"",""273.00""],[""0.3800"",""635.00""],[""0.3900"",""1121.52""],[""0.4000"",""1212.00""],[""0.4100"",""1543.00""],[""0.4200"",""894.64""],[""0.4300"",""159.68""]]"
2026-05-16T03:46:29.842Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.57,0.58,0.42,0.43,0.575,0.57,38118.02,27797.81,2261.04,682.19,"[[""0.4800"",""101.00""],[""0.4900"",""108.00""],[""0.5000"",""1643.00""],[""0.5100"",""935.79""],[""0.5200"",""102.00""],[""0.5300"",""100.00""],[""0.5400"",""1236.62""],[""0.5500"",""501.00""],[""0.5600"",""257.00""],[""0.5700"",""2261.04""]]","[[""0.3200"",""324.00""],[""0.3300"",""132.00""],[""0.3400"",""100.00""],[""0.3500"",""1502.00""],[""0.3600"",""650.00""],[""0.3700"",""493.00""],[""0.3800"",""1235.00""],[""0.3900"",""2219.52""],[""0.4000"",""603.00""],[""0.4100"",""682.19""]]"
2026-05-16T03:46:39.900Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.57,0.58,0.42,0.43,0.575,0.57,38118.02,27797.81,1034.54,623.59,"[[""0.5300"",""474.00""],[""0.5400"",""1510.00""],[""0.5500"",""152.00""],[""0.5600"",""102.00""],[""0.5700"",""104.00""],[""0.5800"",""22.00""],[""0.5900"",""1200.62""],[""0.6000"",""192.00""],[""0.6100"",""3246.28""],[""0.6200"",""1034.54""]]","[[""0.2800"",""1377.00""],[""0.2900"",""100.00""],[""0.3000"",""1181.00""],[""0.3100"",""1355.00""],[""0.3200"",""300.00""],[""0.3300"",""284.00""],[""0.3400"",""3217.00""],[""0.3500"",""252.00""],[""0.3600"",""450.00""],[""0.3700"",""623.59""]]"
2026-05-16T03:46:49.487Z,KXBTC15M-26MAY160000-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160000,2026-05-16T04:00:00Z,active,0.57,0.58,0.42,0.43,0.575,0.57,38118.02,27797.81,2154.46,1099.05,"[[""0.5400"",""112.00""],[""0.5500"",""1526.00""],[""0.5600"",""924.00""],[""0.5700"",""175.00""],[""0.5800"",""20.00""],[""0.5900"",""1206.62""],[""0.6000"",""500.00""],[""0.6100"",""1105.00""],[""0.6200"",""716.00""],[""0.6300"",""2154.46""]]","[[""0.2700"",""210.00""],[""0.2800"",""1302.00""],[""0.2900"",""110.00""],[""0.3000"",""2031.00""],[""0.3100"",""505.00""],[""0.3200"",""451.00""],[""0.3300"",""237.00""],[""0.3400"",""2102.00""],[""0.3500"",""1800.00""],[""0.3600"",""1099.05""]]"
