timestamp_utc,kalshi_timestamp_utc,kalshi_ticker,kalshi_title,kalshi_event_ticker,kalshi_close_time,kalshi_status,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,kalshi_yes_mid,kalshi_last_price,kalshi_volume,kalshi_open_interest,kalshi_best_yes_bid_qty,kalshi_best_no_bid_qty,polymarket_timestamp_utc,polymarket_ticker,polymarket_title,polymarket_event_ticker,polymarket_close_time,polymarket_status,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,polymarket_yes_mid,polymarket_last_price,polymarket_volume,polymarket_open_interest,polymarket_best_yes_bid_qty,polymarket_best_no_bid_qty,source_timestamp_utc,kalshi_btc_source,kalshi_btc_price,kalshi_btc_target,kalshi_btc_settlement_avg,kalshi_btc_settlement_sample_count,kalshi_btc_settlement_window_start,kalshi_btc_settlement_window_end,polymarket_btc_source,polymarket_btc_price,polymarket_btc_target,k_plus_np,nk_plus_p,polymarket_error
2026-05-17T03:15:30.427Z,2026-05-17T03:15:29.269Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.53,0.54,0.46,0.47,0.535,0.53,5636.87,5024.32,1061.0,133.0,2026-05-17T03:15:29.496Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.5,0.51,0.49,0.5,0.505,0.5,152.79254500000002,,154.65,16.67,2026-05-17T03:15:30.427Z,BRTI,77925.57,77935.35,,,,,Polymarket RTDS,77929.01684880505,77929.86498865283,1.04,0.98,
2026-05-17T03:15:33.861Z,2026-05-17T03:15:31.742Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.53,0.54,0.46,0.47,0.535,0.53,5636.87,5024.32,797.09,1324.87,2026-05-17T03:15:32.184Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.51,0.52,0.48,0.49,0.515,0.5,152.79254500000002,,143.29,15.5,2026-05-17T03:15:33.861Z,BRTI,77925.57,77935.35,,,,,Polymarket RTDS,77934.62,77929.86498865283,1.03,0.99,
2026-05-17T03:15:36.692Z,2026-05-17T03:15:34.582Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.59,0.6,0.4,0.41,0.595,0.53,5636.87,5024.32,125.0,203.0,2026-05-17T03:15:35.347Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.52,0.53,0.47,0.48,0.525,0.5,152.79254500000002,,177.1,49.0,2026-05-17T03:15:36.692Z,BRTI,77921.75,77935.35,,,,,Polymarket RTDS,77938.39419842258,77929.86498865283,1.08,0.94,
2026-05-17T03:15:37.980Z,2026-05-17T03:15:36.952Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.67,0.68,0.32,0.33,0.675,0.53,5636.87,5024.32,1158.2,2.0,2026-05-17T03:15:37.160Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.64,0.65,0.35,0.36,0.645,0.5,152.79254500000002,,91.47,383.58,2026-05-17T03:15:37.980Z,BRTI,77941.1,77935.35,,,,,Polymarket RTDS,77951.98426,77929.86498865283,1.04,0.98,
2026-05-17T03:15:39.998Z,2026-05-17T03:15:38.934Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.68,0.69,0.31,0.32,0.685,0.53,5636.87,5024.32,1002.0,228.46,2026-05-17T03:15:39.120Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.64,0.65,0.35,0.36,0.645,0.5,152.79254500000002,,77.71,366.08,2026-05-17T03:15:39.998Z,BRTI,77940.71,77935.35,,,,,Polymarket RTDS,77952.85513089188,77929.86498865283,1.0499999999999998,0.97,
2026-05-17T03:15:42.102Z,2026-05-17T03:15:41.001Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.68,0.69,0.31,0.32,0.685,0.53,5636.87,5024.32,1045.87,141.63,2026-05-17T03:15:41.203Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.64,0.65,0.35,0.36,0.645,0.5,152.79254500000002,,95.82,395.71,2026-05-17T03:15:42.102Z,BRTI,77930.63,77935.35,,,,,Polymarket RTDS,77954.33556798942,77929.86498865283,1.0499999999999998,0.97,
2026-05-17T03:15:45.322Z,2026-05-17T03:15:43.493Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.67,0.69,0.31,0.33,0.6799999999999999,0.53,5636.87,5024.32,1033.6,353.57,2026-05-17T03:15:44.053Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.64,0.65,0.35,0.37,0.645,0.5,152.79254500000002,,35.0,458.47,2026-05-17T03:15:45.322Z,BRTI,77925.57,77935.35,,,,,Polymarket RTDS,77955.10737802935,77929.86498865283,1.06,0.98,
2026-05-17T03:15:47.742Z,2026-05-17T03:15:46.051Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.58,0.59,0.41,0.42,0.585,0.53,5636.87,5024.32,1001.0,125.0,2026-05-17T03:15:46.519Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.58,0.61,0.39,0.42,0.595,0.5,152.79254500000002,,6.98,38.68,2026-05-17T03:15:47.742Z,BRTI,77940.57,77935.35,,,,,Polymarket RTDS,77950.4652621507,77929.86498865283,1.01,1.03,
2026-05-17T03:15:50.678Z,2026-05-17T03:15:48.545Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.55,0.56,0.44,0.45,0.555,0.53,5636.87,5024.32,1651.0,1203.12,2026-05-17T03:15:49.006Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.57,0.58,0.42,0.43,0.575,0.5,152.79254500000002,,5.0,7.37,2026-05-17T03:15:50.678Z,BRTI,77963.09,77935.35,,,,,Polymarket RTDS,77939.02130403958,77929.86498865283,0.99,1.03,
2026-05-17T03:15:53.615Z,2026-05-17T03:15:52.156Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.61,0.62,0.38,0.39,0.615,0.53,5636.87,5024.32,120.0,1235.04,2026-05-17T03:15:52.657Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.53,0.55,0.45,0.47,0.54,0.5,152.79254500000002,,34.0,19.22,2026-05-17T03:15:53.615Z,BRTI,77940.57,77935.35,,,,,Polymarket RTDS,77936.62089717308,77929.86498865283,1.0899999999999999,0.9400000000000001,
