timestamp_utc,kalshi_ticker,polymarket_ticker,kalshi_price,polymarket_price,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,arbitrage_direction,arbitrage_kalshi_price,arbitrage_polymarket_price,kalshi_spend,polymarket_spend,expected_profit,guaranteed_payout
2026-05-18T02:00:32.656Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.47,0.44,0.45,0.55,0.56,0.46,0.47,0.53,0.54,buy_kalshi_yes_buy_polymarket_no,0.45,0.54,0.4545454545454546,0.5454545454545455,0.010101010101010166,1.0101010101010102
2026-05-18T02:00:34.214Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.46,0.44,0.45,0.55,0.56,0.45,0.46,0.54,0.55,,,,,,0.0,
2026-05-18T02:00:36.212Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.46,0.44,0.45,0.55,0.56,0.45,0.46,0.54,0.55,,,,,,0.0,
2026-05-18T02:00:38.200Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.45,0.44,0.45,0.55,0.56,0.44,0.45,0.55,0.56,,,,,,0.0,
2026-05-18T02:00:40.494Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.48,0.44,0.45,0.55,0.56,0.47,0.48,0.52,0.53,buy_kalshi_yes_buy_polymarket_no,0.45,0.53,0.45918367346938777,0.5408163265306123,0.020408163265306145,1.0204081632653061
2026-05-18T02:00:42.714Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.46,0.49,0.45,0.46,0.54,0.55,0.48,0.49,0.51,0.52,buy_kalshi_yes_buy_polymarket_no,0.46,0.52,0.46938775510204084,0.5306122448979592,0.020408163265306145,1.0204081632653061
2026-05-18T02:00:44.848Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.47,0.49,0.46,0.47,0.53,0.54,0.48,0.49,0.51,0.52,buy_kalshi_yes_buy_polymarket_no,0.47,0.52,0.47474747474747475,0.5252525252525253,0.010101010101010166,1.0101010101010102
2026-05-18T02:00:46.971Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.48,0.43,0.45,0.55,0.57,0.47,0.48,0.52,0.53,buy_kalshi_yes_buy_polymarket_no,0.45,0.53,0.45918367346938777,0.5408163265306123,0.020408163265306145,1.0204081632653061
2026-05-18T02:00:49.424Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.43,0.47,0.42,0.43,0.57,0.58,0.46,0.47,0.53,0.54,buy_kalshi_yes_buy_polymarket_no,0.43,0.54,0.44329896907216493,0.5567010309278351,0.030927835051546504,1.0309278350515465
2026-05-18T02:00:51.367Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.44,0.44,0.45,0.55,0.56,0.43,0.44,0.56,0.57,,,,,,0.0,
2026-05-18T02:00:53.563Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.42,0.41,0.41,0.42,0.58,0.59,0.4,0.41,0.59,0.6,,,,,,0.0,
2026-05-18T02:00:55.790Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.42,0.41,0.41,0.42,0.58,0.59,0.4,0.41,0.59,0.6,,,,,,0.0,
2026-05-18T02:00:58.115Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.42,0.41,0.41,0.42,0.58,0.59,0.4,0.41,0.59,0.6,,,,,,0.0,
2026-05-18T02:01:00.123Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.41,0.4,0.41,0.59,0.6,0.4,0.41,0.59,0.6,,,,,,0.0,
2026-05-18T02:01:02.106Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.39,0.4,0.38,0.39,0.61,0.62,0.39,0.4,0.6,0.61,,,,,,0.0,
2026-05-18T02:01:04.408Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.4,0.4,0.41,0.59,0.6,0.39,0.4,0.6,0.61,,,,,,0.0,
2026-05-18T02:01:06.438Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.42,0.39,0.4,0.6,0.61,0.41,0.42,0.58,0.59,buy_kalshi_yes_buy_polymarket_no,0.4,0.59,0.4040404040404041,0.5959595959595959,0.010101010101010166,1.0101010101010102
2026-05-18T02:01:08.412Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.39,0.39,0.4,0.6,0.61,0.38,0.39,0.61,0.62,,,,,,0.0,
2026-05-18T02:01:10.357Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.39,0.39,0.4,0.6,0.61,0.38,0.39,0.61,0.62,,,,,,0.0,
2026-05-18T02:01:12.599Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.38,0.37,0.37,0.38,0.62,0.63,0.36,0.37,0.63,0.64,,,,,,0.0,
2026-05-18T02:01:14.730Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.36,0.37,0.35,0.36,0.64,0.65,0.36,0.37,0.63,0.64,,,,,,0.0,
2026-05-18T02:01:16.718Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.38,0.38,0.37,0.38,0.62,0.63,0.36,0.38,0.62,0.64,,,,,,0.0,
2026-05-18T02:01:19.125Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.45,0.39,0.4,0.6,0.61,0.44,0.45,0.55,0.56,buy_kalshi_yes_buy_polymarket_no,0.4,0.56,0.41666666666666663,0.5833333333333334,0.04166666666666652,1.0416666666666665
2026-05-18T02:01:21.544Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.45,0.39,0.4,0.6,0.61,0.44,0.45,0.55,0.56,buy_kalshi_yes_buy_polymarket_no,0.4,0.56,0.41666666666666663,0.5833333333333334,0.04166666666666652,1.0416666666666665
2026-05-18T02:01:23.212Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.39,0.43,0.38,0.39,0.61,0.62,0.42,0.43,0.57,0.58,buy_kalshi_yes_buy_polymarket_no,0.39,0.58,0.4020618556701031,0.5979381443298969,0.030927835051546504,1.0309278350515465
2026-05-18T02:01:25.377Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.39,0.43,0.38,0.39,0.61,0.62,0.42,0.43,0.57,0.58,buy_kalshi_yes_buy_polymarket_no,0.39,0.58,0.4020618556701031,0.5979381443298969,0.030927835051546504,1.0309278350515465
2026-05-18T02:01:27.401Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.39,0.43,0.38,0.39,0.61,0.62,0.42,0.43,0.57,0.58,buy_kalshi_yes_buy_polymarket_no,0.39,0.58,0.4020618556701031,0.5979381443298969,0.030927835051546504,1.0309278350515465
2026-05-18T02:01:29.775Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.38,0.4,0.36,0.38,0.62,0.64,0.39,0.4,0.6,0.61,buy_kalshi_yes_buy_polymarket_no,0.38,0.61,0.38383838383838387,0.6161616161616161,0.010101010101010166,1.0101010101010102
2026-05-18T02:01:31.392Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.37,0.39,0.36,0.37,0.63,0.64,0.38,0.39,0.61,0.62,buy_kalshi_yes_buy_polymarket_no,0.37,0.62,0.37373737373737376,0.6262626262626263,0.010101010101010166,1.0101010101010102
2026-05-18T02:01:33.617Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.37,0.38,0.36,0.37,0.63,0.64,0.37,0.38,0.62,0.63,,,,,,0.0,
2026-05-18T02:01:36.017Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.37,0.38,0.36,0.37,0.63,0.64,0.37,0.38,0.62,0.63,,,,,,0.0,
2026-05-18T02:01:38.323Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.36,0.38,0.35,0.36,0.64,0.65,0.37,0.38,0.62,0.63,buy_kalshi_yes_buy_polymarket_no,0.36,0.63,0.36363636363636365,0.6363636363636364,0.010101010101010166,1.0101010101010102
2026-05-18T02:01:39.915Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.36,0.38,0.35,0.36,0.64,0.65,0.37,0.38,0.62,0.63,buy_kalshi_yes_buy_polymarket_no,0.36,0.63,0.36363636363636365,0.6363636363636364,0.010101010101010166,1.0101010101010102
2026-05-18T02:01:42.122Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.37,0.41,0.36,0.37,0.63,0.64,0.4,0.41,0.59,0.6,buy_kalshi_yes_buy_polymarket_no,0.37,0.6,0.3814432989690722,0.6185567010309279,0.030927835051546504,1.0309278350515465
2026-05-18T02:01:44.135Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.39,0.41,0.37,0.39,0.61,0.63,0.4,0.41,0.59,0.6,buy_kalshi_yes_buy_polymarket_no,0.39,0.6,0.393939393939394,0.6060606060606061,0.010101010101010166,1.0101010101010102
2026-05-18T02:01:46.209Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.44,0.4,0.41,0.59,0.6,0.43,0.44,0.56,0.57,buy_kalshi_yes_buy_polymarket_no,0.41,0.57,0.4183673469387755,0.5816326530612245,0.020408163265306145,1.0204081632653061
2026-05-18T02:01:48.134Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.44,0.39,0.4,0.6,0.61,0.43,0.44,0.56,0.57,buy_kalshi_yes_buy_polymarket_no,0.4,0.57,0.4123711340206186,0.5876288659793814,0.030927835051546504,1.0309278350515465
2026-05-18T02:01:50.399Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.39,0.43,0.38,0.39,0.61,0.62,0.42,0.43,0.57,0.58,buy_kalshi_yes_buy_polymarket_no,0.39,0.58,0.4020618556701031,0.5979381443298969,0.030927835051546504,1.0309278350515465
2026-05-18T02:01:52.544Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.43,0.4,0.41,0.59,0.6,0.42,0.43,0.57,0.58,buy_kalshi_yes_buy_polymarket_no,0.41,0.58,0.41414141414141414,0.5858585858585859,0.010101010101010166,1.0101010101010102
2026-05-18T02:01:54.477Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.43,0.4,0.41,0.59,0.6,0.42,0.43,0.57,0.58,buy_kalshi_yes_buy_polymarket_no,0.41,0.58,0.41414141414141414,0.5858585858585859,0.010101010101010166,1.0101010101010102
2026-05-18T02:01:56.771Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.43,0.4,0.41,0.59,0.6,0.42,0.43,0.57,0.58,buy_kalshi_yes_buy_polymarket_no,0.41,0.58,0.41414141414141414,0.5858585858585859,0.010101010101010166,1.0101010101010102
2026-05-18T02:01:58.929Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.43,0.39,0.41,0.59,0.61,0.42,0.43,0.57,0.58,buy_kalshi_yes_buy_polymarket_no,0.41,0.58,0.41414141414141414,0.5858585858585859,0.010101010101010166,1.0101010101010102
2026-05-18T02:02:01.016Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.43,0.4,0.41,0.59,0.6,0.42,0.43,0.57,0.58,buy_kalshi_yes_buy_polymarket_no,0.41,0.58,0.41414141414141414,0.5858585858585859,0.010101010101010166,1.0101010101010102
2026-05-18T02:02:03.306Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.42,0.45,0.41,0.42,0.58,0.59,0.44,0.45,0.55,0.56,buy_kalshi_yes_buy_polymarket_no,0.42,0.56,0.42857142857142855,0.5714285714285715,0.020408163265306145,1.0204081632653061
2026-05-18T02:02:05.856Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.43,0.48,0.42,0.43,0.57,0.58,0.47,0.48,0.52,0.53,buy_kalshi_yes_buy_polymarket_no,0.43,0.53,0.4479166666666667,0.5520833333333334,0.04166666666666674,1.0416666666666667
2026-05-18T02:02:08.071Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.48,0.44,0.45,0.55,0.56,0.47,0.48,0.52,0.53,buy_kalshi_yes_buy_polymarket_no,0.45,0.53,0.45918367346938777,0.5408163265306123,0.020408163265306145,1.0204081632653061
2026-05-18T02:02:10.261Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.48,0.44,0.45,0.55,0.56,0.47,0.48,0.52,0.53,buy_kalshi_yes_buy_polymarket_no,0.45,0.53,0.45918367346938777,0.5408163265306123,0.020408163265306145,1.0204081632653061
2026-05-18T02:02:11.978Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.41,0.4,0.41,0.59,0.6,0.4,0.41,0.59,0.6,,,,,,0.0,
2026-05-18T02:02:14.169Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.41,0.41,0.4,0.41,0.59,0.6,0.4,0.41,0.59,0.6,,,,,,0.0,
2026-05-18T02:02:16.285Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.45,0.45,0.44,0.45,0.55,0.56,0.44,0.45,0.55,0.56,,,,,,0.0,
2026-05-18T02:02:18.367Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.47,0.39,0.4,0.6,0.61,0.46,0.47,0.53,0.54,buy_kalshi_yes_buy_polymarket_no,0.4,0.54,0.425531914893617,0.574468085106383,0.06382978723404253,1.0638297872340425
2026-05-18T02:02:20.454Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.44,0.47,0.43,0.44,0.56,0.57,0.46,0.47,0.53,0.54,buy_kalshi_yes_buy_polymarket_no,0.44,0.54,0.4489795918367347,0.5510204081632654,0.020408163265306145,1.0204081632653061
2026-05-18T02:02:22.480Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.41,0.39,0.4,0.6,0.61,0.4,0.41,0.59,0.6,,,,,,0.0,
2026-05-18T02:02:24.669Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.41,0.39,0.4,0.6,0.61,0.4,0.41,0.59,0.6,,,,,,0.0,
2026-05-18T02:02:27.231Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.4,0.41,0.39,0.4,0.6,0.61,0.4,0.41,0.59,0.6,,,,,,0.0,
2026-05-18T02:02:29.370Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.39,0.41,0.38,0.39,0.61,0.62,0.4,0.41,0.59,0.6,buy_kalshi_yes_buy_polymarket_no,0.39,0.6,0.393939393939394,0.6060606060606061,0.010101010101010166,1.0101010101010102
2026-05-18T02:02:31.115Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.39,0.41,0.38,0.39,0.61,0.62,0.4,0.41,0.59,0.6,buy_kalshi_yes_buy_polymarket_no,0.39,0.6,0.393939393939394,0.6060606060606061,0.010101010101010166,1.0101010101010102
2026-05-18T02:02:33.308Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.43,0.44,0.42,0.43,0.57,0.58,0.42,0.44,0.56,0.58,,,,,,0.0,
2026-05-18T02:02:35.611Z,KXBTC15M-26MAY172215-15,btc-updown-15m-1779069600,0.43,0.46,0.42,0.43,0.57,0.58,0.45,0.46,0.54,0.55,buy_kalshi_yes_buy_polymarket_no,0.43,0.55,0.4387755102040816,0.5612244897959184,0.020408163265306145,1.0204081632653061
