timestamp_utc,kalshi_ticker,polymarket_ticker,kalshi_price,polymarket_price,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,arbitrage_direction,kalshi_spend,polymarket_spend,expected_profit,guaranteed_payout
2026-05-16T14:12:27.462Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.95,0.96,,,,0.0,
2026-05-16T14:12:29.312Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.97,0.98,,,,0.0,
2026-05-16T14:12:31.322Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.97,0.99,,,,0.0,
2026-05-16T14:12:33.298Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:35.224Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:37.150Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:39.341Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:41.172Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:43.061Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:45.245Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0625,0.11499999999999999,0.062,0.063,0.937,0.938,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:47.158Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:49.082Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:51.268Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:53.192Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:55.121Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:57.135Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:12:59.165Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:01.229Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:03.143Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:04.885Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:06.744Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
