timestamp_utc,kalshi_timestamp_utc,kalshi_ticker,kalshi_title,kalshi_event_ticker,kalshi_close_time,kalshi_status,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,kalshi_yes_mid,kalshi_last_price,kalshi_volume,kalshi_open_interest,kalshi_best_yes_bid_qty,kalshi_best_no_bid_qty,polymarket_timestamp_utc,polymarket_ticker,polymarket_title,polymarket_event_ticker,polymarket_close_time,polymarket_status,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,polymarket_yes_mid,polymarket_last_price,polymarket_volume,polymarket_open_interest,polymarket_best_yes_bid_qty,polymarket_best_no_bid_qty,source_timestamp_utc,kalshi_btc_source,kalshi_btc_price,kalshi_btc_target,kalshi_btc_60_sma,kalshi_btc_60_sma_sample_count,polymarket_btc_source,polymarket_btc_price,polymarket_btc_target,k_plus_np,nk_plus_p,polymarket_error
2026-05-17T07:45:14.731Z,2026-05-17T07:45:14.169Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.5,1354.11,1197.44,38.69,123.63,2026-05-17T07:45:14.215Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.48,0.49,0.51,0.52,0.485,0.51,96.51960300000002,,238.88,127.69,2026-05-17T07:45:14.215Z,BRTI,78123.18,78127.66,78125.14083333334,60,Polymarket RTDS,78124.05422520266,78122.14428638756,1.03,0.99,
2026-05-17T07:45:16.684Z,2026-05-17T07:45:16.171Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.51,0.52,0.48,0.49,0.515,0.5,1354.11,1197.44,22.9,162.71,2026-05-17T07:45:16.220Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.48,0.49,0.51,0.52,0.485,0.51,96.51960300000002,,182.38,27.8,2026-05-17T07:45:16.220Z,BRTI,78126.31,78127.66,78124.745,2,Polymarket RTDS,78123.78013089862,78122.14428638756,1.04,0.98,
2026-05-17T07:45:18.723Z,2026-05-17T07:45:18.163Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.52,0.53,0.47,0.48,0.525,0.5,1354.11,1197.44,63.34,3953.47,2026-05-17T07:45:18.213Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.46,0.47,0.53,0.54,0.46499999999999997,0.51,96.51960300000002,,86.74,29.8,2026-05-17T07:45:18.213Z,BRTI,78122.74,78127.66,78124.07666666666,3,Polymarket RTDS,78123.69422589862,78122.14428638756,1.07,0.95,
2026-05-17T07:45:20.640Z,2026-05-17T07:45:20.154Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.52,0.53,0.47,0.48,0.525,0.5,1354.11,1197.44,55.11,3153.47,2026-05-17T07:45:20.202Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.47,0.48,0.52,0.53,0.475,0.51,96.51960300000002,,137.24,2.91,2026-05-17T07:45:20.202Z,BRTI,78126.63,78127.66,78124.715,4,Polymarket RTDS,78123.68497089863,78122.14428638756,1.06,0.96,
2026-05-17T07:45:22.649Z,2026-05-17T07:45:22.159Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.5,1354.11,1197.44,1627.5,90.19,2026-05-17T07:45:22.209Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.48,0.49,0.51,0.52,0.485,0.51,96.51960300000002,,138.19,15.0,2026-05-17T07:45:22.209Z,BRTI,78126.63,78127.66,78125.098,5,Polymarket RTDS,78123.80154089862,78122.14428638756,1.03,0.99,
2026-05-17T07:45:24.682Z,2026-05-17T07:45:24.180Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.5,1354.11,1197.44,3105.54,36.23,2026-05-17T07:45:24.237Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.49,0.5,0.5,0.51,0.495,0.51,96.51960300000002,,57.8,259.39,2026-05-17T07:45:24.237Z,BRTI,78126.63,78127.66,78125.35333333333,6,Polymarket RTDS,78123.80453589861,78122.14428638756,1.02,1.0,
2026-05-17T07:45:26.668Z,2026-05-17T07:45:26.172Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.5,0.52,0.48,0.5,0.51,0.5,1354.11,1197.44,2121.4,653.59,2026-05-17T07:45:26.222Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.49,0.5,0.5,0.51,0.495,0.51,96.51960300000002,,107.25,10.0,2026-05-17T07:45:26.222Z,BRTI,78123.18,78127.66,78125.04285714286,7,Polymarket RTDS,78123.73070567184,78122.14428638756,1.03,1.0,
2026-05-17T07:45:28.666Z,2026-05-17T07:45:28.170Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.51,0.52,0.48,0.49,0.515,0.5,1354.11,1197.44,81.0,709.59,2026-05-17T07:45:28.220Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.49,0.5,0.5,0.51,0.495,0.51,96.51960300000002,,78.1,24.0,2026-05-17T07:45:28.220Z,BRTI,78123.18,78127.66,78124.81,8,Polymarket RTDS,78123.66531067184,78122.14428638756,1.03,0.99,
2026-05-17T07:45:30.812Z,2026-05-17T07:45:30.166Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.51,0.52,0.48,0.49,0.515,0.5,1354.11,1197.44,998.7,774.0,2026-05-17T07:45:30.212Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.49,0.5,0.5,0.51,0.495,0.51,96.51960300000002,,73.1,24.0,2026-05-17T07:45:30.212Z,BRTI,78129.01,78127.66,78125.27666666667,9,Polymarket RTDS,78123.64161067184,78122.14428638756,1.03,0.99,
2026-05-17T07:45:32.694Z,2026-05-17T07:45:32.172Z,KXBTC15M-26MAY170400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY170400,2026-05-17T08:00:00Z,active,0.51,0.52,0.48,0.49,0.515,0.5,1354.11,1197.44,1062.98,152.91,2026-05-17T07:45:32.241Z,btc-updown-15m-1779003900,"Bitcoin Up or Down - May 17, 3:45AM-4:00AM ET",btc-updown-15m-1779003900,2026-05-17T08:00:00Z,,0.49,0.5,0.5,0.51,0.495,0.51,96.51960300000002,,72.1,19.0,2026-05-17T07:45:32.241Z,BRTI,78126.63,78127.66,78125.412,10,Polymarket RTDS,78123.68642067185,78122.14428638756,1.03,0.99,
