timestamp_utc,kalshi_timestamp_utc,kalshi_ticker,kalshi_title,kalshi_event_ticker,kalshi_close_time,kalshi_status,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,kalshi_yes_mid,kalshi_last_price,kalshi_volume,kalshi_open_interest,kalshi_best_yes_bid_qty,kalshi_best_no_bid_qty,polymarket_timestamp_utc,polymarket_ticker,polymarket_title,polymarket_event_ticker,polymarket_close_time,polymarket_status,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,polymarket_yes_mid,polymarket_last_price,polymarket_volume,polymarket_open_interest,polymarket_best_yes_bid_qty,polymarket_best_no_bid_qty,source_timestamp_utc,kalshi_btc_source,kalshi_btc_price,kalshi_btc_target,kalshi_btc_60_sma,kalshi_btc_60_sma_sample_count,polymarket_btc_source,polymarket_btc_price,polymarket_btc_target,k_plus_np,nk_plus_p,polymarket_error
2026-05-17T05:30:07.770Z,2026-05-17T05:30:07.268Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.5,0.51,0.49,0.5,0.505,0.54,850.42,763.42,164.42,19.75,2026-05-17T05:30:07.315Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.48,0.49,0.51,0.52,0.485,0.48,376.52153400000003,,28.65,325.3,2026-05-17T05:30:07.315Z,BRTI,78155.23,78152.26,78158.55666666666,60,Polymarket RTDS,78143.03052373652,78147.531555,1.03,0.99,
2026-05-17T05:30:09.803Z,2026-05-17T05:30:09.267Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.5,0.51,0.49,0.5,0.505,0.54,850.42,763.42,91.82,35.19,2026-05-17T05:30:09.325Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.46,0.47,0.53,0.54,0.46499999999999997,0.48,376.52153400000003,,32.8,60.65,2026-05-17T05:30:09.325Z,BRTI,78152.95,78152.26,78154.09,2,Polymarket RTDS,78146.9136,78147.531555,1.05,0.97,
2026-05-17T05:30:11.778Z,2026-05-17T05:30:11.261Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.49,0.5,0.5,0.51,0.495,0.54,850.42,763.42,643.0,106.05,2026-05-17T05:30:11.317Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.47,0.48,0.52,0.53,0.475,0.48,376.52153400000003,,11.09,223.82,2026-05-17T05:30:11.317Z,BRTI,78150.18,78152.26,78152.78666666667,3,Polymarket RTDS,78146.900885,78147.531555,1.03,0.99,
2026-05-17T05:30:13.774Z,2026-05-17T05:30:13.263Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.49,0.5,0.5,0.51,0.495,0.54,850.42,763.42,364.17,125.2,2026-05-17T05:30:13.310Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.45,0.46,0.54,0.55,0.455,0.48,376.52153400000003,,51.0,189.33,2026-05-17T05:30:13.310Z,BRTI,78150.18,78152.26,78152.135,4,Polymarket RTDS,78146.954085,78147.531555,1.05,0.97,
2026-05-17T05:30:15.858Z,2026-05-17T05:30:15.255Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.48,0.49,0.51,0.52,0.485,0.54,850.42,763.42,333.83,16.66,2026-05-17T05:30:15.311Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.41,0.45,0.55,0.59,0.43,0.48,376.52153400000003,,58.08,41.72,2026-05-17T05:30:15.311Z,BRTI,78152.6,78152.26,78152.228,5,Polymarket RTDS,78146.804765,78147.531555,1.08,0.97,
2026-05-17T05:30:17.780Z,2026-05-17T05:30:17.261Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.49,0.5,0.5,0.51,0.495,0.54,850.42,763.42,572.81,1110.52,2026-05-17T05:30:17.311Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.44,0.45,0.55,0.56,0.445,0.48,376.52153400000003,,12.0,65.53,2026-05-17T05:30:17.311Z,BRTI,78149.36,78152.26,78151.75,6,Polymarket RTDS,78146.765155,78147.531555,1.06,0.96,
2026-05-17T05:30:19.816Z,2026-05-17T05:30:19.261Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.5,0.51,0.49,0.5,0.505,0.54,850.42,763.42,12.8,3765.19,2026-05-17T05:30:19.316Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.44,0.45,0.55,0.56,0.445,0.48,376.52153400000003,,32.76,28.6,2026-05-17T05:30:19.316Z,BRTI,78151.79,78152.26,78151.75571428573,7,Polymarket RTDS,78146.772515,78147.531555,1.07,0.95,
2026-05-17T05:30:21.830Z,2026-05-17T05:30:21.264Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.49,0.5,0.5,0.51,0.495,0.54,850.42,763.42,52.63,1150.25,2026-05-17T05:30:21.311Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.44,0.45,0.55,0.56,0.445,0.48,376.52153400000003,,27.67,20.84,2026-05-17T05:30:21.311Z,BRTI,78152.98,78152.26,78151.90875,8,Polymarket RTDS,78142.427525,78147.531555,1.06,0.96,
2026-05-17T05:30:23.787Z,2026-05-17T05:30:23.274Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.49,0.5,0.5,0.51,0.495,0.54,850.42,763.42,45.31,979.48,2026-05-17T05:30:23.321Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.44,0.45,0.55,0.56,0.445,0.48,376.52153400000003,,22.58,125.8,2026-05-17T05:30:23.321Z,BRTI,78151.79,78152.26,78151.89555555554,9,Polymarket RTDS,78142.42626,78147.531555,1.06,0.96,
2026-05-17T05:30:25.744Z,2026-05-17T05:30:25.258Z,KXBTC15M-26MAY170145-45,BTC price up in next 15 mins?,KXBTC15M-26MAY170145,2026-05-17T05:45:00Z,active,0.48,0.49,0.51,0.52,0.485,0.54,850.42,763.42,256.59,540.36,2026-05-17T05:30:25.307Z,btc-updown-15m-1778995800,"Bitcoin Up or Down - May 17, 1:30AM-1:45AM ET",btc-updown-15m-1778995800,2026-05-17T05:45:00Z,,0.44,0.45,0.55,0.56,0.445,0.48,376.52153400000003,,22.58,110.0,2026-05-17T05:30:25.307Z,BRTI,78149.76,78152.26,78151.682,10,Polymarket RTDS,78142.4196,78147.531555,1.05,0.97,
