feature,allow_rule,threshold,allowed_dangerous,blocked_dangerous,blocked_safe,allowed_safe,false_positive_rate_allowed_danger,false_negative_rate_blocked_safe,score
polymarket_btc_distance_from_target,polymarket_btc_distance_from_target >= 63.4915,63.4915355569683,15,2593,10904,2409,0.005751533742331288,0.8190490498009464,0.8248005835432777
polymarket_btc_distance_from_target,polymarket_btc_distance_from_target >= 76.6432,76.6432231769868,1,2607,11683,1630,0.0003834355828220859,0.8775632840081123,0.8779467195909344
polymarket_btc_distance_from_target,polymarket_btc_distance_from_target >= 104.636,104.63611999999557,0,2608,12502,811,0.0,0.9390821002028092,0.9390821002028092
polymarket_btc_distance_from_target,polymarket_btc_distance_from_target >= 270.551,270.55070132072433,0,2608,13312,1,0.0,0.9999248854503118,0.9999248854503118
min_distance_from_target,min_distance_from_target >= 0,0.0,2608,0,15,13298,1.0,0.0011267182453241194,1.001126718245324
min_distance_from_target,min_distance_from_target >= 1.2333,1.2333046452258714,2348,260,720,12593,0.9003067484662577,0.05408247577555773,0.9543892242418154
min_distance_from_target,min_distance_from_target >= 2.57,2.570000000006985,2179,429,1323,11990,0.8355061349693251,0.09937654923758732,0.9348826842069125
min_distance_from_target,min_distance_from_target >= 4.06511,4.0651144235016545,1941,667,1939,11374,0.7442484662576687,0.14564711184556448,0.8898955781032332
min_distance_from_target,min_distance_from_target >= 5.79302,5.7930248483025935,1746,862,2635,10678,0.6694785276073619,0.19792683842860362,0.8674053660359655
min_distance_from_target,min_distance_from_target >= 7.81663,7.816628158383537,1584,1024,3365,9948,0.6073619631901841,0.2527604597010441,0.8601224228912282
min_distance_from_target,min_distance_from_target >= 9.83004,9.830043113935972,1368,1240,4068,9245,0.5245398773006135,0.30556598813190117,0.8301058654325146
min_distance_from_target,min_distance_from_target >= 12.0862,12.086150080605876,1082,1526,4626,8687,0.4148773006134969,0.3474799068579584,0.7623572074714553
min_distance_from_target,min_distance_from_target >= 14.6346,14.634550939823384,880,1728,5291,8022,0.3374233128834356,0.397431082400661,0.7348543952840966
min_distance_from_target,min_distance_from_target >= 16.7876,16.787622709060088,709,1899,5865,7448,0.2718558282208589,0.44054683392173066,0.7124026621425896
min_distance_from_target,min_distance_from_target >= 19.72,19.72000948812638,503,2105,6508,6805,0.1928680981595092,0.48884548937129124,0.6817135875308005
min_distance_from_target,min_distance_from_target >= 23.47,23.470000000001164,326,2282,7117,6196,0.125,0.5345902501314505,0.6595902501314505
min_distance_from_target,min_distance_from_target >= 28.53,28.529999999998836,228,2380,7809,5504,0.08742331288343558,0.5865695185157365,0.6739928313991721
min_distance_from_target,min_distance_from_target >= 32.3229,32.322864999994636,120,2488,8414,4899,0.046012269938650305,0.6320138210771427,0.6780260910157929
min_distance_from_target,min_distance_from_target >= 37.338,37.338039543363266,58,2550,9047,4266,0.02223926380368098,0.6795613310298205,0.7018005948335015
min_distance_from_target,min_distance_from_target >= 41.7016,41.701640297760605,30,2578,9649,3664,0.011503067484662576,0.7247802899421618,0.7362833574268244
