contract_id,seconds_to_expiry_bucket,timestamp_utc,source_price_gap,min_distance_from_target,gap_to_min_distance_ratio,price_direction_agreement
KXBTC15M-26MAY170445-45,900,2026-05-17T08:30:25.599Z,2.267772252045688,6.275708661181852,0.3613571589249998,True
KXBTC15M-26MAY170445-45,600,2026-05-17T08:34:58.265Z,16.630127004988026,2.6180634141201153,6.352071884621296,False
KXBTC15M-26MAY170445-45,300,2026-05-17T08:39:59.873Z,9.282580875820713,0.8600000000005821,10.793698692807476,False
KXBTC15M-26MAY170445-45,180,2026-05-17T08:41:59.858Z,5.004334371900768,30.52360203722492,0.16394966641871936,True
KXBTC15M-26MAY170445-45,120,2026-05-17T08:42:59.823Z,7.845010214397917,16.23292619473068,0.4832776370870497,True
KXBTC15M-26MAY170445-45,90,2026-05-17T08:43:28.769Z,3.9950641184841515,17.42300052761857,0.22929828373426614,True
KXBTC15M-26MAY170445-45,60,2026-05-17T08:43:58.688Z,5.602293224597815,16.10000000000582,0.34796852326681926,True
KXBTC15M-26MAY170445-45,30,2026-05-17T08:44:28.714Z,5.816470000005211,7.491466409133864,0.7764127451620904,True
KXBTC15M-26MAY170445-45,15,2026-05-17T08:44:44.714Z,17.431999999986147,8.709999999991851,2.001377726751143,False
KXBTC15M-26MAY170445-45,5,2026-05-17T08:44:54.703Z,23.30560000000696,11.747663590867887,1.9838497944496556,False
KXBTC15M-26MAY170445-45,0,2026-05-17T08:45:00.831Z,41.278028319298755,17.45999999999185,2.3641482428017193,False
KXBTC15M-26MAY170500-00,900,2026-05-17T08:45:30.831Z,43.30617613760114,3.116440962345223,13.896036106845367,False
KXBTC15M-26MAY170500-00,600,2026-05-17T08:49:59.207Z,5.417295000006561,12.837030175258406,0.42200531790036966,False
KXBTC15M-26MAY170500-00,300,2026-05-17T08:54:59.464Z,28.66852220367582,19.288257378924754,1.48631997388216,False
KXBTC15M-26MAY170500-00,180,2026-05-17T08:56:58.063Z,8.109710670541972,11.899445845803712,0.6815200283802986,False
KXBTC15M-26MAY170500-00,120,2026-05-17T08:57:58.779Z,3.821884141303599,11.220000000001164,0.34063138514288793,False
KXBTC15M-26MAY170500-00,90,2026-05-17T08:58:28.825Z,11.474886543350294,11.110000000000582,1.0328430732087932,False
KXBTC15M-26MAY170500-00,60,2026-05-17T08:58:58.771Z,0.6462258850660874,10.830000000001746,0.05966998015383039,False
KXBTC15M-26MAY170500-00,30,2026-05-17T08:59:28.799Z,3.245035210638889,10.520000000004075,0.3084634230644137,False
KXBTC15M-26MAY170500-00,15,2026-05-17T08:59:44.784Z,9.176899133643019,5.0200000000040745,1.8280675565011097,False
KXBTC15M-26MAY170500-00,5,2026-05-17T08:59:54.813Z,6.292234863285557,11.641970038544969,0.5404785309060949,False
KXBTC15M-26MAY170500-00,0,2026-05-17T08:59:58.793Z,6.136429411373683,11.546164586630766,0.5314690748890777,False
KXBTC15M-26MAY170530-30,900,2026-05-17T09:15:07.226Z,4.628103388429736,0.11072684823011514,41.79748148174057,True
KXBTC15M-26MAY170530-30,600,2026-05-17T09:19:59.939Z,9.44332561941701,5.950702159621869,1.586926276279483,False
