filter,mean_ev,ci_lo,ci_hi,diff_ci_lo,diff_ci_hi,pct_pos,trade_rate,win_rate,avg_yes,avg_no,yes_ev_trig,no_ev_trig,yes_wr,no_wr,beats
baseline,0.03423754134175249,0.026999490056344406,0.04121426726401426,0.021439787475353602,0.035974086720738256,0.74,0.6785694444444444,0.5519372863663344,117.155,127.13,-0.000440810193154097,0.09735827893659928,0.5523025052281166,0.5516007236686856,True
A_no_only,0.03438099444780519,0.027686431374677745,0.04082433945109928,0.02244965688793257,0.03523733376245373,0.785,0.3531388888888889,0.5516007236686856,0.0,127.13,,0.09735827893659928,,0.5516007236686856,True
B_yes_gate_025,0.04195456295265282,0.03512295636454891,0.04858931844551515,0.029572658120843146,0.04319511081140263,0.79,0.6406944444444445,0.5740949490570127,103.52,127.13,0.026337757551633985,0.09735827893659928,0.6017194744976816,0.5516007236686856,True
C_yes025_no090,0.029892062952652818,0.02468094235642462,0.03508069947559309,0.0191993530204196,0.029674266693471594,0.8,0.6228611111111111,0.5869865762832805,103.52,120.71,0.026337757551633985,0.06656166018730732,0.6017194744976816,0.5743517521332119,True
D_noonly_no090,0.022318494447805183,0.017904534576616317,0.026577138316787555,0.012426099208763745,0.021167988631029075,0.79,0.3353055555555555,0.5743517521332119,0.0,120.71,,0.06656166018730732,,0.5743517521332119,True
