fold,train,test,ev_v3,ev_v3p1,delta
1,359,359,0.09991798320136552,0.14513674103299437,0.04521875783162885
2,718,359,-0.029365328236977135,-0.0199175671416622,0.009447761095314935
3,1077,359,0.027135574697618552,0.04397731784058432,0.016841743142965767
4,1436,362,0.014300990310570048,0.048730113064127396,0.03442912275355735
