model,n_features,mean_ev,ci_lo,ci_hi,pct_pos,trade_rate,win_rate,avg_yes,avg_no,yes_ev_trig,no_ev_trig,yes_wr,no_wr
v3,13,0.04195456295265282,0.03512295636454891,0.04858931844551515,0.79,0.6406944444444445,0.5740949490570127,103.52,127.13,0.026337757551633985,0.09735827893659928,0.6017194744976816,0.5516007236686856
v3p1,14,0.06022652149958658,0.05290762708727583,0.06716479741322988,0.895,0.6468055555555555,0.5871805883616061,104.67,128.18,0.04792629217454366,0.1300132839596012,0.616079105760963,0.5635824621625839
