model,n_oos,n_yes,n_no,n_skip,ev_avail,ev_trig,win_rate,yes_ev,yes_wr,no_ev,no_wr,bench_ev
v3,1439,376,637,426,0.027968751175181966,0.03973053597343223,0.56071076011846,0.013022547992589225,0.598404255319149,0.05549537660262685,0.5384615384615384,0.0052677233459823706
v3p1,1439,400,599,440,0.05446966050102303,0.07846030176273487,0.5545545545545546,0.0071190801856912175,0.5825,0.126100516505335,0.5358931552587646,0.0052677233459823706
